"numberOfMajorBugsFoundUntil.","numberOfNonTrivialBugsFoundUntil.","directory","k"
0,4,"mylyn","bug-metrics.csv"
0,6,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
2,14,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,8,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,8,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,7,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
1,3,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
1,9,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,6,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,6,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
3,16,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
3,7,"mylyn","bug-metrics.csv"
1,2,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
5,39,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,9,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
3,13,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,16,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
1,10,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,7,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
2,9,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
4,15,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
2,12,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
1,3,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
1,11,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,5,"mylyn","bug-metrics.csv"
1,23,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
3,10,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
1,3,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,6,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,8,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,7,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
1,5,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
1,5,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,11,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
1,7,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,11,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,9,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
0,7,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,14,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,7,"mylyn","bug-metrics.csv"
0,6,"mylyn","bug-metrics.csv"
2,9,"mylyn","bug-metrics.csv"
2,7,"mylyn","bug-metrics.csv"
0,6,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
1,21,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,15,"mylyn","bug-metrics.csv"
1,7,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
1,15,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
0,6,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
1,9,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
2,13,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
1,9,"mylyn","bug-metrics.csv"
2,13,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
2,36,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
2,20,"mylyn","bug-metrics.csv"
1,4,"mylyn","bug-metrics.csv"
1,2,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
1,6,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,8,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
1,2,"mylyn","bug-metrics.csv"
1,5,"mylyn","bug-metrics.csv"
2,15,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
1,3,"mylyn","bug-metrics.csv"
1,5,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,16,"mylyn","bug-metrics.csv"
2,4,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
1,10,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,5,"mylyn","bug-metrics.csv"
1,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,6,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
1,3,"mylyn","bug-metrics.csv"
1,8,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
2,7,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
1,9,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
2,4,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
1,1,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
9,61,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,3,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,2,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,4,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,7,"mylyn","bug-metrics.csv"
1,8,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,1,"mylyn","bug-metrics.csv"
0,0,"mylyn","bug-metrics.csv"
