"linesAddedUntil.","maxLinesAddedUntil.","avgLinesAddedUntil.","codeChurnUntil.","maxCodeChurnUntil.","directory","k"
22,10,3.14286,14,10,"mylyn","change-metrics.csv"
60,33,4.28571,15,7,"mylyn","change-metrics.csv"
13,5,1.3,-2,4,"mylyn","change-metrics.csv"
6,4,2,-2,0,"mylyn","change-metrics.csv"
7,4,1.75,0,3,"mylyn","change-metrics.csv"
219,191,24.3333,-21,7,"mylyn","change-metrics.csv"
1,1,0.333333,1,1,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
281,98,7.20513,36,61,"mylyn","change-metrics.csv"
10,5,1.66667,1,4,"mylyn","change-metrics.csv"
14,4,2.33333,3,3,"mylyn","change-metrics.csv"
22,8,2.75,3,4,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
2,2,0.5,-32,0,"mylyn","change-metrics.csv"
78,14,7.09091,15,12,"mylyn","change-metrics.csv"
112,58,5.33333,3,58,"mylyn","change-metrics.csv"
5,4,1.66667,3,3,"mylyn","change-metrics.csv"
103,23,3.21875,32,21,"mylyn","change-metrics.csv"
155,102,15.5,1,102,"mylyn","change-metrics.csv"
7,4,1.4,1,1,"mylyn","change-metrics.csv"
7,4,1.16667,0,3,"mylyn","change-metrics.csv"
1,1,0.5,-4,0,"mylyn","change-metrics.csv"
21,16,7,10,7,"mylyn","change-metrics.csv"
147,45,5.65385,38,21,"mylyn","change-metrics.csv"
35,15,7,21,14,"mylyn","change-metrics.csv"
133,90,13.3,112,89,"mylyn","change-metrics.csv"
99,43,7.61538,44,42,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
6,4,1.5,3,3,"mylyn","change-metrics.csv"
7,5,2.33333,4,4,"mylyn","change-metrics.csv"
28,8,4,6,5,"mylyn","change-metrics.csv"
2,2,1,0,0,"mylyn","change-metrics.csv"
25,11,3.57143,14,7,"mylyn","change-metrics.csv"
31,31,10.3333,0,31,"mylyn","change-metrics.csv"
15,6,2.14286,-2,3,"mylyn","change-metrics.csv"
11,4,1.57143,3,3,"mylyn","change-metrics.csv"
121,27,5.26087,50,21,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
35,19,5.83333,16,8,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
68,63,17,1,3,"mylyn","change-metrics.csv"
74,33,4.93333,34,24,"mylyn","change-metrics.csv"
3,2,1,-1,1,"mylyn","change-metrics.csv"
0,0,0,-2,0,"mylyn","change-metrics.csv"
88,40,6.76923,58,40,"mylyn","change-metrics.csv"
495,112,33,185,61,"mylyn","change-metrics.csv"
4,3,1,0,0,"mylyn","change-metrics.csv"
45,20,3.75,8,8,"mylyn","change-metrics.csv"
6,4,1.2,3,3,"mylyn","change-metrics.csv"
23,7,2.875,2,3,"mylyn","change-metrics.csv"
215,108,15.3571,59,94,"mylyn","change-metrics.csv"
10,5,2.5,4,4,"mylyn","change-metrics.csv"
5,3,1.66667,0,0,"mylyn","change-metrics.csv"
17,9,3.4,4,3,"mylyn","change-metrics.csv"
139,131,27.8,5,131,"mylyn","change-metrics.csv"
0,0,0,-5,0,"mylyn","change-metrics.csv"
40,10,3.07692,1,5,"mylyn","change-metrics.csv"
6,4,1.5,3,3,"mylyn","change-metrics.csv"
208,83,6.11765,-92,71,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
14,13,4.66667,0,0,"mylyn","change-metrics.csv"
142,50,6.45455,-44,13,"mylyn","change-metrics.csv"
149,127,29.8,130,127,"mylyn","change-metrics.csv"
111,37,7.92857,15,13,"mylyn","change-metrics.csv"
19,9,3.16667,6,4,"mylyn","change-metrics.csv"
17,4,1.88889,-8,3,"mylyn","change-metrics.csv"
1,1,0.5,0,0,"mylyn","change-metrics.csv"
1921,340,12.9797,366,130,"mylyn","change-metrics.csv"
8,6,2,2,5,"mylyn","change-metrics.csv"
45,8,2.8125,10,4,"mylyn","change-metrics.csv"
14,10,4.66667,3,3,"mylyn","change-metrics.csv"
47,13,3.61538,4,3,"mylyn","change-metrics.csv"
5,4,1.66667,3,3,"mylyn","change-metrics.csv"
104,38,7.42857,53,17,"mylyn","change-metrics.csv"
6,6,3,0,0,"mylyn","change-metrics.csv"
22,8,3.66667,0,4,"mylyn","change-metrics.csv"
1225,388,23.5577,470,250,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
124,47,6.2,75,45,"mylyn","change-metrics.csv"
59,26,9.83333,-74,10,"mylyn","change-metrics.csv"
19,5,2.11111,3,4,"mylyn","change-metrics.csv"
29,6,2.23077,8,5,"mylyn","change-metrics.csv"
460,92,10.2222,-234,41,"mylyn","change-metrics.csv"
65,25,5.41667,40,25,"mylyn","change-metrics.csv"
250,77,7.8125,-18,69,"mylyn","change-metrics.csv"
7,4,1.4,1,1,"mylyn","change-metrics.csv"
222,55,10.5714,51,28,"mylyn","change-metrics.csv"
0,0,0,0,0,"mylyn","change-metrics.csv"
13,10,3.25,10,10,"mylyn","change-metrics.csv"
8,4,2,4,3,"mylyn","change-metrics.csv"
5,4,1.66667,3,3,"mylyn","change-metrics.csv"
20,5,2.22222,0,3,"mylyn","change-metrics.csv"
5,4,1.25,2,3,"mylyn","change-metrics.csv"
