"numberOfPrivateMethods","fanOut","cbo","numberOfLinesOfCode","rfc","directory","k"
1,5,16,42,18,"mylyn","single-version-ck-oo.csv"
0,5,7,60,29,"mylyn","single-version-ck-oo.csv"
0,0,6,13,5,"mylyn","single-version-ck-oo.csv"
0,1,2,12,6,"mylyn","single-version-ck-oo.csv"
0,0,1,12,4,"mylyn","single-version-ck-oo.csv"
0,4,4,78,33,"mylyn","single-version-ck-oo.csv"
0,1,2,57,17,"mylyn","single-version-ck-oo.csv"
0,3,4,16,8,"mylyn","single-version-ck-oo.csv"
1,10,10,95,56,"mylyn","single-version-ck-oo.csv"
0,0,3,10,3,"mylyn","single-version-ck-oo.csv"
0,2,7,53,19,"mylyn","single-version-ck-oo.csv"
3,5,5,211,90,"mylyn","single-version-ck-oo.csv"
0,1,3,56,23,"mylyn","single-version-ck-oo.csv"
0,1,1,6,5,"mylyn","single-version-ck-oo.csv"
0,1,2,40,15,"mylyn","single-version-ck-oo.csv"
0,6,7,26,17,"mylyn","single-version-ck-oo.csv"
1,3,4,38,32,"mylyn","single-version-ck-oo.csv"
0,6,8,81,16,"mylyn","single-version-ck-oo.csv"
0,6,7,50,23,"mylyn","single-version-ck-oo.csv"
0,1,5,3,2,"mylyn","single-version-ck-oo.csv"
0,0,1,2,2,"mylyn","single-version-ck-oo.csv"
4,12,13,214,91,"mylyn","single-version-ck-oo.csv"
4,14,20,115,64,"mylyn","single-version-ck-oo.csv"
0,5,11,57,23,"mylyn","single-version-ck-oo.csv"
0,9,11,83,59,"mylyn","single-version-ck-oo.csv"
1,8,8,84,53,"mylyn","single-version-ck-oo.csv"
0,1,2,19,8,"mylyn","single-version-ck-oo.csv"
0,0,1,6,2,"mylyn","single-version-ck-oo.csv"
0,1,4,23,8,"mylyn","single-version-ck-oo.csv"
10,0,1,122,45,"mylyn","single-version-ck-oo.csv"
3,5,6,91,36,"mylyn","single-version-ck-oo.csv"
0,2,2,48,12,"mylyn","single-version-ck-oo.csv"
0,4,4,14,9,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,2,2,36,10,"mylyn","single-version-ck-oo.csv"
0,11,12,115,40,"mylyn","single-version-ck-oo.csv"
2,11,12,109,52,"mylyn","single-version-ck-oo.csv"
0,1,1,9,3,"mylyn","single-version-ck-oo.csv"
0,2,3,6,8,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
2,22,29,146,84,"mylyn","single-version-ck-oo.csv"
14,10,11,483,98,"mylyn","single-version-ck-oo.csv"
2,7,8,89,34,"mylyn","single-version-ck-oo.csv"
0,2,2,12,7,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
1,9,9,69,46,"mylyn","single-version-ck-oo.csv"
1,7,7,373,185,"mylyn","single-version-ck-oo.csv"
0,1,1,26,11,"mylyn","single-version-ck-oo.csv"
2,7,15,313,56,"mylyn","single-version-ck-oo.csv"
0,5,6,57,22,"mylyn","single-version-ck-oo.csv"
0,2,3,15,4,"mylyn","single-version-ck-oo.csv"
5,22,23,303,150,"mylyn","single-version-ck-oo.csv"
0,2,5,27,16,"mylyn","single-version-ck-oo.csv"
0,0,1,3,1,"mylyn","single-version-ck-oo.csv"
0,2,3,46,22,"mylyn","single-version-ck-oo.csv"
0,3,6,72,18,"mylyn","single-version-ck-oo.csv"
1,6,6,89,44,"mylyn","single-version-ck-oo.csv"
0,4,8,27,12,"mylyn","single-version-ck-oo.csv"
1,8,8,33,27,"mylyn","single-version-ck-oo.csv"
2,10,120,294,124,"mylyn","single-version-ck-oo.csv"
1,8,11,138,33,"mylyn","single-version-ck-oo.csv"
0,0,1,58,13,"mylyn","single-version-ck-oo.csv"
2,2,5,46,18,"mylyn","single-version-ck-oo.csv"
5,12,13,313,119,"mylyn","single-version-ck-oo.csv"
2,4,4,122,31,"mylyn","single-version-ck-oo.csv"
0,1,3,19,8,"mylyn","single-version-ck-oo.csv"
0,4,5,19,7,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
7,23,34,464,206,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,4,8,56,26,"mylyn","single-version-ck-oo.csv"
0,1,1,11,2,"mylyn","single-version-ck-oo.csv"
0,2,2,24,8,"mylyn","single-version-ck-oo.csv"
0,1,1,9,3,"mylyn","single-version-ck-oo.csv"
0,6,13,49,30,"mylyn","single-version-ck-oo.csv"
5,10,11,137,70,"mylyn","single-version-ck-oo.csv"
0,1,3,157,25,"mylyn","single-version-ck-oo.csv"
1,15,19,257,77,"mylyn","single-version-ck-oo.csv"
0,2,2,49,17,"mylyn","single-version-ck-oo.csv"
0,10,11,58,30,"mylyn","single-version-ck-oo.csv"
24,62,65,1090,851,"mylyn","single-version-ck-oo.csv"
