"numberOfNonTrivialBugsFoundUntil.","numberOfBugsFoundUntil.","directory","k"
0,0,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
5,8,"pde","bug-metrics.csv"
143,232,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
3,3,"pde","bug-metrics.csv"
0,3,"pde","bug-metrics.csv"
4,5,"pde","bug-metrics.csv"
2,2,"pde","bug-metrics.csv"
0,2,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
4,4,"pde","bug-metrics.csv"
6,13,"pde","bug-metrics.csv"
11,14,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
9,23,"pde","bug-metrics.csv"
3,5,"pde","bug-metrics.csv"
9,9,"pde","bug-metrics.csv"
11,11,"pde","bug-metrics.csv"
1,2,"pde","bug-metrics.csv"
2,2,"pde","bug-metrics.csv"
6,8,"pde","bug-metrics.csv"
6,7,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
20,24,"pde","bug-metrics.csv"
1,2,"pde","bug-metrics.csv"
1,2,"pde","bug-metrics.csv"
4,4,"pde","bug-metrics.csv"
7,8,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
4,7,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
0,2,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
3,3,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
0,2,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
4,5,"pde","bug-metrics.csv"
3,4,"pde","bug-metrics.csv"
1,3,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
3,3,"pde","bug-metrics.csv"
3,4,"pde","bug-metrics.csv"
9,11,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
2,2,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
13,15,"pde","bug-metrics.csv"
1,4,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
7,8,"pde","bug-metrics.csv"
0,2,"pde","bug-metrics.csv"
0,3,"pde","bug-metrics.csv"
9,9,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
6,7,"pde","bug-metrics.csv"
3,6,"pde","bug-metrics.csv"
2,2,"pde","bug-metrics.csv"
3,3,"pde","bug-metrics.csv"
1,5,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
7,7,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
3,3,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
1,2,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
1,1,"pde","bug-metrics.csv"
5,5,"pde","bug-metrics.csv"
2,2,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
0,1,"pde","bug-metrics.csv"
3,3,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
0,0,"pde","bug-metrics.csv"
4,7,"pde","bug-metrics.csv"
13,13,"pde","bug-metrics.csv"
