"linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","maxLinesRemovedUntil.","directory","k"
185,5,24,95,20,"pde","change-metrics.csv"
22,10,12,10,3,"pde","change-metrics.csv"
8,2,15,8,15,"pde","change-metrics.csv"
10,2,18,10,18,"pde","change-metrics.csv"
14,5,11,6,5,"pde","change-metrics.csv"
1019,75,1267,107,559,"pde","change-metrics.csv"
2715,410,1242,81,326,"pde","change-metrics.csv"
42,10,38,17,18,"pde","change-metrics.csv"
21,8,20,10,6,"pde","change-metrics.csv"
12,5,51,8,46,"pde","change-metrics.csv"
82,6,48,50,42,"pde","change-metrics.csv"
107,8,82,49,63,"pde","change-metrics.csv"
14,5,10,8,8,"pde","change-metrics.csv"
79,9,53,32,42,"pde","change-metrics.csv"
314,7,131,106,88,"pde","change-metrics.csv"
94,6,7,39,5,"pde","change-metrics.csv"
44,17,13,9,7,"pde","change-metrics.csv"
986,45,735,179,150,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
81,12,71,47,41,"pde","change-metrics.csv"
472,31,674,105,378,"pde","change-metrics.csv"
126,17,397,23,326,"pde","change-metrics.csv"
176,36,208,17,37,"pde","change-metrics.csv"
627,39,417,185,91,"pde","change-metrics.csv"
15,5,13,11,11,"pde","change-metrics.csv"
440,15,68,191,45,"pde","change-metrics.csv"
592,61,743,62,176,"pde","change-metrics.csv"
706,18,268,157,160,"pde","change-metrics.csv"
22,6,9,10,6,"pde","change-metrics.csv"
21,3,19,11,19,"pde","change-metrics.csv"
18,4,15,10,9,"pde","change-metrics.csv"
775,54,594,195,127,"pde","change-metrics.csv"
277,12,114,116,58,"pde","change-metrics.csv"
94,12,40,34,23,"pde","change-metrics.csv"
204,34,168,30,38,"pde","change-metrics.csv"
657,42,466,203,141,"pde","change-metrics.csv"
8,5,9,4,6,"pde","change-metrics.csv"
937,24,629,640,564,"pde","change-metrics.csv"
28,7,15,10,5,"pde","change-metrics.csv"
52,10,38,18,20,"pde","change-metrics.csv"
14,2,21,14,21,"pde","change-metrics.csv"
242,5,37,118,23,"pde","change-metrics.csv"
42,10,37,10,9,"pde","change-metrics.csv"
106,7,35,49,14,"pde","change-metrics.csv"
204,16,108,75,71,"pde","change-metrics.csv"
96,12,97,54,52,"pde","change-metrics.csv"
17,5,8,10,6,"pde","change-metrics.csv"
41,5,37,11,35,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
80,2,0,80,0,"pde","change-metrics.csv"
196,15,118,45,51,"pde","change-metrics.csv"
136,28,146,25,30,"pde","change-metrics.csv"
53,5,49,24,25,"pde","change-metrics.csv"
41,8,34,17,17,"pde","change-metrics.csv"
26,4,18,11,13,"pde","change-metrics.csv"
410,13,90,130,33,"pde","change-metrics.csv"
254,32,122,78,50,"pde","change-metrics.csv"
5,2,8,5,8,"pde","change-metrics.csv"
110,20,107,24,26,"pde","change-metrics.csv"
1,2,2,1,2,"pde","change-metrics.csv"
910,49,481,216,162,"pde","change-metrics.csv"
34,7,28,15,24,"pde","change-metrics.csv"
16,3,15,15,14,"pde","change-metrics.csv"
613,29,416,232,170,"pde","change-metrics.csv"
26,11,33,10,23,"pde","change-metrics.csv"
53,4,79,40,66,"pde","change-metrics.csv"
889,19,135,224,102,"pde","change-metrics.csv"
216,7,15,100,9,"pde","change-metrics.csv"
293,35,286,76,104,"pde","change-metrics.csv"
715,38,671,146,125,"pde","change-metrics.csv"
123,10,16,52,6,"pde","change-metrics.csv"
21,4,48,13,37,"pde","change-metrics.csv"
257,10,83,86,66,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
920,48,1041,132,305,"pde","change-metrics.csv"
10,6,10,4,4,"pde","change-metrics.csv"
3,2,4,3,4,"pde","change-metrics.csv"
53,13,40,13,11,"pde","change-metrics.csv"
391,19,907,281,516,"pde","change-metrics.csv"
2,2,5,2,5,"pde","change-metrics.csv"
107,22,99,24,44,"pde","change-metrics.csv"
10,2,17,10,17,"pde","change-metrics.csv"
25,2,26,25,26,"pde","change-metrics.csv"
111,8,96,86,86,"pde","change-metrics.csv"
235,19,295,43,89,"pde","change-metrics.csv"
72,14,87,23,29,"pde","change-metrics.csv"
124,6,15,52,14,"pde","change-metrics.csv"
174,14,185,45,58,"pde","change-metrics.csv"
34,4,32,31,31,"pde","change-metrics.csv"
228,31,203,103,100,"pde","change-metrics.csv"
11,2,5,11,5,"pde","change-metrics.csv"
131,18,113,38,43,"pde","change-metrics.csv"
230,14,127,53,33,"pde","change-metrics.csv"
970,46,646,176,178,"pde","change-metrics.csv"
198,4,162,94,146,"pde","change-metrics.csv"
10,3,1,10,1,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
265,12,189,97,135,"pde","change-metrics.csv"
86,3,0,43,0,"pde","change-metrics.csv"
3422,60,3402,490,490,"pde","change-metrics.csv"
580,23,181,168,47,"pde","change-metrics.csv"
67,5,3,32,2,"pde","change-metrics.csv"
742,45,670,304,223,"pde","change-metrics.csv"
394,13,139,114,84,"pde","change-metrics.csv"
559,23,199,140,48,"pde","change-metrics.csv"
50,4,30,33,23,"pde","change-metrics.csv"
194,11,20,83,7,"pde","change-metrics.csv"
107,5,117,101,115,"pde","change-metrics.csv"
314,10,29,130,12,"pde","change-metrics.csv"
221,13,72,62,50,"pde","change-metrics.csv"
296,19,282,105,115,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
391,10,69,162,37,"pde","change-metrics.csv"
44,3,12,34,11,"pde","change-metrics.csv"
233,26,137,55,43,"pde","change-metrics.csv"
480,13,880,382,382,"pde","change-metrics.csv"
298,23,296,117,211,"pde","change-metrics.csv"
22,9,20,6,5,"pde","change-metrics.csv"
22,7,23,10,12,"pde","change-metrics.csv"
133,9,71,75,29,"pde","change-metrics.csv"
1996,83,1671,718,657,"pde","change-metrics.csv"
516,9,133,277,107,"pde","change-metrics.csv"
16,4,4,10,3,"pde","change-metrics.csv"
501,21,416,104,104,"pde","change-metrics.csv"
34,4,111,17,88,"pde","change-metrics.csv"
64,4,56,46,48,"pde","change-metrics.csv"
