"rfc","numberOfLinesOfCode","fanOut","wmc","numberOfPrivateMethods","directory","k"
10,23,2,7,0,"pde","single-version-ck-oo.csv"
5,8,1,2,0,"pde","single-version-ck-oo.csv"
12,28,3,9,0,"pde","single-version-ck-oo.csv"
9,36,0,10,1,"pde","single-version-ck-oo.csv"
17,32,3,8,0,"pde","single-version-ck-oo.csv"
4,8,2,2,0,"pde","single-version-ck-oo.csv"
0,0,0,0,0,"pde","single-version-ck-oo.csv"
8,15,2,3,0,"pde","single-version-ck-oo.csv"
7,12,2,4,0,"pde","single-version-ck-oo.csv"
7,15,2,3,0,"pde","single-version-ck-oo.csv"
60,158,7,36,3,"pde","single-version-ck-oo.csv"
106,172,10,60,9,"pde","single-version-ck-oo.csv"
24,51,4,16,0,"pde","single-version-ck-oo.csv"
61,130,12,20,5,"pde","single-version-ck-oo.csv"
128,210,5,76,2,"pde","single-version-ck-oo.csv"
9,18,4,5,0,"pde","single-version-ck-oo.csv"
0,0,0,0,0,"pde","single-version-ck-oo.csv"
83,245,9,36,5,"pde","single-version-ck-oo.csv"
21,42,7,8,1,"pde","single-version-ck-oo.csv"
36,36,8,10,0,"pde","single-version-ck-oo.csv"
88,252,11,29,5,"pde","single-version-ck-oo.csv"
28,82,10,11,0,"pde","single-version-ck-oo.csv"
28,34,11,7,0,"pde","single-version-ck-oo.csv"
102,123,17,30,3,"pde","single-version-ck-oo.csv"
1,0,0,0,0,"pde","single-version-ck-oo.csv"
58,118,3,29,0,"pde","single-version-ck-oo.csv"
72,134,11,39,2,"pde","single-version-ck-oo.csv"
117,237,12,50,2,"pde","single-version-ck-oo.csv"
8,13,3,2,0,"pde","single-version-ck-oo.csv"
6,32,1,3,0,"pde","single-version-ck-oo.csv"
8,20,1,4,0,"pde","single-version-ck-oo.csv"
177,317,29,61,9,"pde","single-version-ck-oo.csv"
26,44,4,13,0,"pde","single-version-ck-oo.csv"
25,47,4,15,1,"pde","single-version-ck-oo.csv"
84,144,7,38,0,"pde","single-version-ck-oo.csv"
92,153,26,32,3,"pde","single-version-ck-oo.csv"
18,30,4,10,0,"pde","single-version-ck-oo.csv"
40,96,3,19,0,"pde","single-version-ck-oo.csv"
9,15,1,4,1,"pde","single-version-ck-oo.csv"
15,31,1,12,0,"pde","single-version-ck-oo.csv"
14,29,2,8,0,"pde","single-version-ck-oo.csv"
21,30,4,8,0,"pde","single-version-ck-oo.csv"
5,23,1,3,0,"pde","single-version-ck-oo.csv"
5,9,0,3,0,"pde","single-version-ck-oo.csv"
46,104,3,24,1,"pde","single-version-ck-oo.csv"
50,110,12,18,2,"pde","single-version-ck-oo.csv"
10,17,5,3,0,"pde","single-version-ck-oo.csv"
32,39,7,13,0,"pde","single-version-ck-oo.csv"
14,18,0,7,1,"pde","single-version-ck-oo.csv"
14,27,5,10,0,"pde","single-version-ck-oo.csv"
77,179,13,22,5,"pde","single-version-ck-oo.csv"
33,34,10,7,1,"pde","single-version-ck-oo.csv"
43,94,2,36,1,"pde","single-version-ck-oo.csv"
16,33,2,10,1,"pde","single-version-ck-oo.csv"
11,26,5,7,1,"pde","single-version-ck-oo.csv"
42,69,4,20,0,"pde","single-version-ck-oo.csv"
38,93,10,30,0,"pde","single-version-ck-oo.csv"
5,17,2,4,0,"pde","single-version-ck-oo.csv"
60,131,9,40,0,"pde","single-version-ck-oo.csv"
2,3,1,1,0,"pde","single-version-ck-oo.csv"
239,432,27,92,16,"pde","single-version-ck-oo.csv"
70,166,14,23,1,"pde","single-version-ck-oo.csv"
5,11,1,3,0,"pde","single-version-ck-oo.csv"
205,416,25,86,9,"pde","single-version-ck-oo.csv"
10,19,4,6,0,"pde","single-version-ck-oo.csv"
