"linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","maxCodeChurnUntil.","directory","k"
608,65,566,158,15,"eclipse","change-metrics.csv"
10,2,0,10,10,"eclipse","change-metrics.csv"
1361,120,768,99,66,"eclipse","change-metrics.csv"
138,28,123,39,23,"eclipse","change-metrics.csv"
1870,93,1881,684,18,"eclipse","change-metrics.csv"
37,16,17,6,4,"eclipse","change-metrics.csv"
535,30,74,142,142,"eclipse","change-metrics.csv"
14,7,29,7,4,"eclipse","change-metrics.csv"
1075,52,889,343,68,"eclipse","change-metrics.csv"
122,23,138,42,16,"eclipse","change-metrics.csv"
228,25,61,82,74,"eclipse","change-metrics.csv"
193,11,12,81,81,"eclipse","change-metrics.csv"
219,32,207,89,11,"eclipse","change-metrics.csv"
991,52,633,226,161,"eclipse","change-metrics.csv"
91,13,49,31,17,"eclipse","change-metrics.csv"
11,9,10,5,1,"eclipse","change-metrics.csv"
6571,193,6072,1071,174,"eclipse","change-metrics.csv"
228,12,162,53,40,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
6880,91,5271,1627,583,"eclipse","change-metrics.csv"
405,35,409,155,12,"eclipse","change-metrics.csv"
104,6,6,49,49,"eclipse","change-metrics.csv"
409,43,317,105,79,"eclipse","change-metrics.csv"
2126,168,1719,307,63,"eclipse","change-metrics.csv"
115,20,175,14,5,"eclipse","change-metrics.csv"
2972,92,3264,319,168,"eclipse","change-metrics.csv"
1763,76,1852,600,43,"eclipse","change-metrics.csv"
740,54,669,243,85,"eclipse","change-metrics.csv"
18,4,7,17,11,"eclipse","change-metrics.csv"
5262,149,4660,483,226,"eclipse","change-metrics.csv"
1,2,1,1,0,"eclipse","change-metrics.csv"
60,10,61,32,0,"eclipse","change-metrics.csv"
320,47,262,52,20,"eclipse","change-metrics.csv"
284,37,258,64,22,"eclipse","change-metrics.csv"
2577,82,2733,325,81,"eclipse","change-metrics.csv"
184,29,185,69,6,"eclipse","change-metrics.csv"
465,39,264,167,74,"eclipse","change-metrics.csv"
23,7,6,11,10,"eclipse","change-metrics.csv"
2001,89,1889,399,117,"eclipse","change-metrics.csv"
1835,81,1569,349,79,"eclipse","change-metrics.csv"
413,32,122,92,80,"eclipse","change-metrics.csv"
1851,58,1730,721,77,"eclipse","change-metrics.csv"
1629,86,1535,335,65,"eclipse","change-metrics.csv"
1,2,1,1,0,"eclipse","change-metrics.csv"
167,24,174,70,8,"eclipse","change-metrics.csv"
21,11,17,4,3,"eclipse","change-metrics.csv"
139,7,28,75,63,"eclipse","change-metrics.csv"
16,10,28,5,5,"eclipse","change-metrics.csv"
12,7,10,4,2,"eclipse","change-metrics.csv"
211,18,53,84,84,"eclipse","change-metrics.csv"
6579,224,5717,1041,146,"eclipse","change-metrics.csv"
86,10,62,60,9,"eclipse","change-metrics.csv"
233,12,78,165,131,"eclipse","change-metrics.csv"
121,15,119,69,6,"eclipse","change-metrics.csv"
152,27,182,42,41,"eclipse","change-metrics.csv"
2096,73,1160,439,282,"eclipse","change-metrics.csv"
