"wmc","numberOfLinesOfCode","fanOut","rfc","cbo","directory","k"
20,122,9,34,9,"eclipse","single-version-ck-oo.csv"
1,4,0,1,1,"eclipse","single-version-ck-oo.csv"
176,484,18,156,114,"eclipse","single-version-ck-oo.csv"
12,33,4,18,5,"eclipse","single-version-ck-oo.csv"
115,673,22,174,23,"eclipse","single-version-ck-oo.csv"
2,16,1,4,2,"eclipse","single-version-ck-oo.csv"
23,87,4,46,6,"eclipse","single-version-ck-oo.csv"
2,9,0,2,2,"eclipse","single-version-ck-oo.csv"
64,250,9,50,11,"eclipse","single-version-ck-oo.csv"
3,9,1,5,4,"eclipse","single-version-ck-oo.csv"
25,95,4,51,6,"eclipse","single-version-ck-oo.csv"
10,42,4,14,8,"eclipse","single-version-ck-oo.csv"
14,42,4,22,5,"eclipse","single-version-ck-oo.csv"
93,387,8,125,12,"eclipse","single-version-ck-oo.csv"
19,53,0,18,1,"eclipse","single-version-ck-oo.csv"
4,14,1,4,4,"eclipse","single-version-ck-oo.csv"
148,624,33,172,63,"eclipse","single-version-ck-oo.csv"
6,20,1,5,1,"eclipse","single-version-ck-oo.csv"
0,0,0,2,1,"eclipse","single-version-ck-oo.csv"
276,1126,23,244,36,"eclipse","single-version-ck-oo.csv"
17,52,3,34,4,"eclipse","single-version-ck-oo.csv"
4,16,3,8,6,"eclipse","single-version-ck-oo.csv"
29,127,15,61,18,"eclipse","single-version-ck-oo.csv"
166,494,17,191,22,"eclipse","single-version-ck-oo.csv"
1,3,0,2,2,"eclipse","single-version-ck-oo.csv"
212,795,20,171,27,"eclipse","single-version-ck-oo.csv"
156,591,20,220,21,"eclipse","single-version-ck-oo.csv"
39,166,8,40,9,"eclipse","single-version-ck-oo.csv"
37,144,3,40,3,"eclipse","single-version-ck-oo.csv"
234,760,18,281,108,"eclipse","single-version-ck-oo.csv"
13,35,3,12,5,"eclipse","single-version-ck-oo.csv"
15,72,2,55,3,"eclipse","single-version-ck-oo.csv"
12,52,3,17,7,"eclipse","single-version-ck-oo.csv"
27,55,0,14,5,"eclipse","single-version-ck-oo.csv"
53,214,6,47,7,"eclipse","single-version-ck-oo.csv"
11,32,4,17,5,"eclipse","single-version-ck-oo.csv"
25,96,5,51,5,"eclipse","single-version-ck-oo.csv"
20,56,5,22,6,"eclipse","single-version-ck-oo.csv"
110,378,15,93,55,"eclipse","single-version-ck-oo.csv"
72,245,7,72,31,"eclipse","single-version-ck-oo.csv"
56,258,3,130,5,"eclipse","single-version-ck-oo.csv"
94,419,11,162,14,"eclipse","single-version-ck-oo.csv"
91,343,11,106,11,"eclipse","single-version-ck-oo.csv"
7,34,2,12,3,"eclipse","single-version-ck-oo.csv"
11,39,2,14,3,"eclipse","single-version-ck-oo.csv"
6,21,0,10,1,"eclipse","single-version-ck-oo.csv"
68,197,4,54,6,"eclipse","single-version-ck-oo.csv"
0,0,0,1,1,"eclipse","single-version-ck-oo.csv"
21,81,3,29,5,"eclipse","single-version-ck-oo.csv"
16,45,2,13,6,"eclipse","single-version-ck-oo.csv"
456,1461,32,446,55,"eclipse","single-version-ck-oo.csv"
36,167,13,51,14,"eclipse","single-version-ck-oo.csv"
53,151,6,53,13,"eclipse","single-version-ck-oo.csv"
3,11,0,3,1,"eclipse","single-version-ck-oo.csv"
8,27,2,7,3,"eclipse","single-version-ck-oo.csv"
81,319,9,156,15,"eclipse","single-version-ck-oo.csv"
15,50,2,10,2,"eclipse","single-version-ck-oo.csv"
8,25,2,10,3,"eclipse","single-version-ck-oo.csv"
25,69,7,24,8,"eclipse","single-version-ck-oo.csv"
31,109,4,30,5,"eclipse","single-version-ck-oo.csv"
21,85,3,16,35,"eclipse","single-version-ck-oo.csv"
11,35,5,24,7,"eclipse","single-version-ck-oo.csv"
22,62,5,18,16,"eclipse","single-version-ck-oo.csv"
30,207,13,58,13,"eclipse","single-version-ck-oo.csv"
25,83,2,24,3,"eclipse","single-version-ck-oo.csv"
5,18,3,10,7,"eclipse","single-version-ck-oo.csv"
84,451,19,172,19,"eclipse","single-version-ck-oo.csv"
11,43,0,11,1,"eclipse","single-version-ck-oo.csv"
29,166,12,42,13,"eclipse","single-version-ck-oo.csv"
63,264,7,85,8,"eclipse","single-version-ck-oo.csv"
49,107,5,24,6,"eclipse","single-version-ck-oo.csv"
18,64,6,18,11,"eclipse","single-version-ck-oo.csv"
20,83,15,49,17,"eclipse","single-version-ck-oo.csv"
48,140,5,37,8,"eclipse","single-version-ck-oo.csv"
18,70,8,39,8,"eclipse","single-version-ck-oo.csv"
4,11,0,2,1,"eclipse","single-version-ck-oo.csv"
7,27,4,12,5,"eclipse","single-version-ck-oo.csv"
16,59,3,35,4,"eclipse","single-version-ck-oo.csv"
0,0,0,1,1,"eclipse","single-version-ck-oo.csv"
3,12,1,5,2,"eclipse","single-version-ck-oo.csv"
10,35,0,10,20,"eclipse","single-version-ck-oo.csv"
34,108,9,51,11,"eclipse","single-version-ck-oo.csv"
7,25,1,5,3,"eclipse","single-version-ck-oo.csv"
30,90,8,34,9,"eclipse","single-version-ck-oo.csv"
80,377,10,89,11,"eclipse","single-version-ck-oo.csv"
0,0,0,2,6,"eclipse","single-version-ck-oo.csv"
6,23,3,13,4,"eclipse","single-version-ck-oo.csv"
9,31,2,19,4,"eclipse","single-version-ck-oo.csv"
8,30,4,12,6,"eclipse","single-version-ck-oo.csv"
11,31,1,14,9,"eclipse","single-version-ck-oo.csv"
25,140,5,28,5,"eclipse","single-version-ck-oo.csv"
22,86,5,48,6,"eclipse","single-version-ck-oo.csv"
25,67,4,18,4,"eclipse","single-version-ck-oo.csv"
57,222,18,126,20,"eclipse","single-version-ck-oo.csv"
56,423,28,149,28,"eclipse","single-version-ck-oo.csv"
3,10,1,3,2,"eclipse","single-version-ck-oo.csv"
7,33,3,9,4,"eclipse","single-version-ck-oo.csv"
38,136,6,72,6,"eclipse","single-version-ck-oo.csv"
14,41,5,18,6,"eclipse","single-version-ck-oo.csv"
24,131,5,38,6,"eclipse","single-version-ck-oo.csv"
47,210,7,70,8,"eclipse","single-version-ck-oo.csv"
6,34,4,13,7,"eclipse","single-version-ck-oo.csv"
87,241,23,105,38,"eclipse","single-version-ck-oo.csv"
31,116,3,34,6,"eclipse","single-version-ck-oo.csv"
24,98,4,49,5,"eclipse","single-version-ck-oo.csv"
4,17,1,7,2,"eclipse","single-version-ck-oo.csv"
35,163,11,88,12,"eclipse","single-version-ck-oo.csv"
246,724,15,210,22,"eclipse","single-version-ck-oo.csv"
12,46,7,25,10,"eclipse","single-version-ck-oo.csv"
22,63,11,34,11,"eclipse","single-version-ck-oo.csv"
23,91,6,50,6,"eclipse","single-version-ck-oo.csv"
14,34,1,12,8,"eclipse","single-version-ck-oo.csv"
31,123,2,43,3,"eclipse","single-version-ck-oo.csv"
19,56,4,16,7,"eclipse","single-version-ck-oo.csv"
5,14,4,11,13,"eclipse","single-version-ck-oo.csv"
27,106,5,54,6,"eclipse","single-version-ck-oo.csv"
102,393,5,67,6,"eclipse","single-version-ck-oo.csv"
13,50,3,23,4,"eclipse","single-version-ck-oo.csv"
56,195,13,75,16,"eclipse","single-version-ck-oo.csv"
2,9,0,5,1,"eclipse","single-version-ck-oo.csv"
12,37,0,14,3,"eclipse","single-version-ck-oo.csv"
44,124,5,30,5,"eclipse","single-version-ck-oo.csv"
2,6,0,3,3,"eclipse","single-version-ck-oo.csv"
2,7,0,2,0,"eclipse","single-version-ck-oo.csv"
25,74,1,17,1,"eclipse","single-version-ck-oo.csv"
36,118,2,33,4,"eclipse","single-version-ck-oo.csv"
175,526,26,176,26,"eclipse","single-version-ck-oo.csv"
5,18,0,5,2,"eclipse","single-version-ck-oo.csv"
1,3,0,1,1,"eclipse","single-version-ck-oo.csv"
16,60,2,35,3,"eclipse","single-version-ck-oo.csv"
46,223,13,104,15,"eclipse","single-version-ck-oo.csv"
56,165,11,81,18,"eclipse","single-version-ck-oo.csv"
12,77,2,12,5,"eclipse","single-version-ck-oo.csv"
10,38,6,17,7,"eclipse","single-version-ck-oo.csv"
93,383,6,122,15,"eclipse","single-version-ck-oo.csv"
39,142,6,23,6,"eclipse","single-version-ck-oo.csv"
32,124,5,47,62,"eclipse","single-version-ck-oo.csv"
24,233,2,32,4,"eclipse","single-version-ck-oo.csv"
196,661,21,319,25,"eclipse","single-version-ck-oo.csv"
26,98,7,57,7,"eclipse","single-version-ck-oo.csv"
18,64,2,20,3,"eclipse","single-version-ck-oo.csv"
38,144,13,54,17,"eclipse","single-version-ck-oo.csv"
27,107,5,53,6,"eclipse","single-version-ck-oo.csv"
4,12,0,5,1,"eclipse","single-version-ck-oo.csv"
51,242,18,89,22,"eclipse","single-version-ck-oo.csv"
38,132,11,56,23,"eclipse","single-version-ck-oo.csv"
32,186,9,44,10,"eclipse","single-version-ck-oo.csv"
26,89,9,54,9,"eclipse","single-version-ck-oo.csv"
43,145,2,68,2,"eclipse","single-version-ck-oo.csv"
40,155,11,60,12,"eclipse","single-version-ck-oo.csv"
3,9,0,3,1,"eclipse","single-version-ck-oo.csv"
18,55,0,27,1,"eclipse","single-version-ck-oo.csv"
120,513,17,143,61,"eclipse","single-version-ck-oo.csv"
4,9,1,6,1,"eclipse","single-version-ck-oo.csv"
55,222,15,78,20,"eclipse","single-version-ck-oo.csv"
69,198,15,59,21,"eclipse","single-version-ck-oo.csv"
7,26,2,11,5,"eclipse","single-version-ck-oo.csv"
1,4,0,1,1,"eclipse","single-version-ck-oo.csv"
16,62,8,35,11,"eclipse","single-version-ck-oo.csv"
31,156,11,61,12,"eclipse","single-version-ck-oo.csv"
1169,3449,9,374,9,"eclipse","single-version-ck-oo.csv"
30,97,4,32,16,"eclipse","single-version-ck-oo.csv"
419,1531,90,572,102,"eclipse","single-version-ck-oo.csv"
104,364,17,127,26,"eclipse","single-version-ck-oo.csv"
19,72,3,37,12,"eclipse","single-version-ck-oo.csv"
50,258,7,65,11,"eclipse","single-version-ck-oo.csv"
3,9,1,5,3,"eclipse","single-version-ck-oo.csv"
7,27,3,13,6,"eclipse","single-version-ck-oo.csv"
8,30,2,10,3,"eclipse","single-version-ck-oo.csv"
4,17,3,7,4,"eclipse","single-version-ck-oo.csv"
659,2557,39,917,39,"eclipse","single-version-ck-oo.csv"
47,266,6,64,6,"eclipse","single-version-ck-oo.csv"
5,22,2,6,5,"eclipse","single-version-ck-oo.csv"
2,12,3,5,4,"eclipse","single-version-ck-oo.csv"
9,30,3,10,5,"eclipse","single-version-ck-oo.csv"
79,235,23,118,43,"eclipse","single-version-ck-oo.csv"
74,251,10,64,39,"eclipse","single-version-ck-oo.csv"
6,24,2,8,3,"eclipse","single-version-ck-oo.csv"
4,12,1,7,2,"eclipse","single-version-ck-oo.csv"
2,10,1,4,2,"eclipse","single-version-ck-oo.csv"
4,13,0,4,3,"eclipse","single-version-ck-oo.csv"
12,35,4,15,8,"eclipse","single-version-ck-oo.csv"
4,13,0,4,1,"eclipse","single-version-ck-oo.csv"
140,551,18,226,19,"eclipse","single-version-ck-oo.csv"
207,768,17,169,18,"eclipse","single-version-ck-oo.csv"
8,29,2,18,5,"eclipse","single-version-ck-oo.csv"
5,14,2,5,4,"eclipse","single-version-ck-oo.csv"
8,28,2,12,12,"eclipse","single-version-ck-oo.csv"
177,698,43,367,48,"eclipse","single-version-ck-oo.csv"
1,3,0,1,1,"eclipse","single-version-ck-oo.csv"
5,21,2,5,3,"eclipse","single-version-ck-oo.csv"
204,612,0,204,0,"eclipse","single-version-ck-oo.csv"
21,78,4,29,8,"eclipse","single-version-ck-oo.csv"
73,407,19,125,24,"eclipse","single-version-ck-oo.csv"
108,379,11,92,28,"eclipse","single-version-ck-oo.csv"
9,36,3,20,4,"eclipse","single-version-ck-oo.csv"
26,120,11,49,12,"eclipse","single-version-ck-oo.csv"
16,72,9,28,9,"eclipse","single-version-ck-oo.csv"
86,238,4,62,7,"eclipse","single-version-ck-oo.csv"
86,305,20,135,23,"eclipse","single-version-ck-oo.csv"
27,80,3,11,4,"eclipse","single-version-ck-oo.csv"
5,23,1,5,2,"eclipse","single-version-ck-oo.csv"
30,110,9,37,12,"eclipse","single-version-ck-oo.csv"
29,92,5,61,9,"eclipse","single-version-ck-oo.csv"
29,117,5,61,6,"eclipse","single-version-ck-oo.csv"
449,2262,13,368,13,"eclipse","single-version-ck-oo.csv"
206,657,18,209,150,"eclipse","single-version-ck-oo.csv"
12,48,1,11,2,"eclipse","single-version-ck-oo.csv"
45,192,11,69,11,"eclipse","single-version-ck-oo.csv"
57,220,6,85,7,"eclipse","single-version-ck-oo.csv"
17,47,1,11,4,"eclipse","single-version-ck-oo.csv"
4,40,1,8,13,"eclipse","single-version-ck-oo.csv"
148,712,36,211,39,"eclipse","single-version-ck-oo.csv"
7,23,2,16,3,"eclipse","single-version-ck-oo.csv"
50,121,4,51,6,"eclipse","single-version-ck-oo.csv"
