"numberOfBugsFoundUntil.","numberOfNonTrivialBugsFoundUntil.","directory","k"
1,1,"equinox","bug-metrics.csv"
5,4,"equinox","bug-metrics.csv"
3,3,"equinox","bug-metrics.csv"
0,0,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
7,7,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
6,5,"equinox","bug-metrics.csv"
2,2,"equinox","bug-metrics.csv"
3,3,"equinox","bug-metrics.csv"
1,0,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
4,4,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
29,27,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
4,4,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
2,2,"equinox","bug-metrics.csv"
2,2,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
6,6,"equinox","bug-metrics.csv"
3,3,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
3,3,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
5,5,"equinox","bug-metrics.csv"
16,16,"equinox","bug-metrics.csv"
14,14,"equinox","bug-metrics.csv"
6,4,"equinox","bug-metrics.csv"
7,7,"equinox","bug-metrics.csv"
24,22,"equinox","bug-metrics.csv"
2,1,"equinox","bug-metrics.csv"
8,8,"equinox","bug-metrics.csv"
0,0,"equinox","bug-metrics.csv"
3,3,"equinox","bug-metrics.csv"
3,3,"equinox","bug-metrics.csv"
4,4,"equinox","bug-metrics.csv"
2,2,"equinox","bug-metrics.csv"
2,2,"equinox","bug-metrics.csv"
3,3,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
1,1,"equinox","bug-metrics.csv"
