"numberOfVersionsUntil.","linesAddedUntil.","linesRemovedUntil.","maxLinesRemovedUntil.","maxLinesAddedUntil.","directory","k"
2,10,0,0,10,"equinox","change-metrics.csv"
18,1431,1131,552,532,"equinox","change-metrics.csv"
14,342,337,123,130,"equinox","change-metrics.csv"
4,3,49,44,3,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
14,195,97,73,82,"equinox","change-metrics.csv"
7,211,88,43,95,"equinox","change-metrics.csv"
11,102,83,40,31,"equinox","change-metrics.csv"
7,100,15,7,42,"equinox","change-metrics.csv"
13,1117,1187,520,492,"equinox","change-metrics.csv"
3,1,1,1,1,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
10,206,83,36,169,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
44,2587,2332,2011,2021,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
8,499,19,10,237,"equinox","change-metrics.csv"
9,74,102,50,49,"equinox","change-metrics.csv"
2,7,1,1,7,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
7,123,23,10,55,"equinox","change-metrics.csv"
5,150,3,3,73,"equinox","change-metrics.csv"
9,29,28,9,8,"equinox","change-metrics.csv"
7,265,148,100,195,"equinox","change-metrics.csv"
4,28,28,18,17,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
2,1,2,2,1,"equinox","change-metrics.csv"
7,13,21,9,8,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
13,316,147,94,122,"equinox","change-metrics.csv"
37,599,302,73,79,"equinox","change-metrics.csv"
32,546,546,122,125,"equinox","change-metrics.csv"
9,51,16,4,19,"equinox","change-metrics.csv"
18,143,84,34,93,"equinox","change-metrics.csv"
55,1135,509,110,308,"equinox","change-metrics.csv"
4,20,4,2,18,"equinox","change-metrics.csv"
15,59,53,35,15,"equinox","change-metrics.csv"
6,20,24,16,12,"equinox","change-metrics.csv"
11,210,171,121,131,"equinox","change-metrics.csv"
17,499,437,166,201,"equinox","change-metrics.csv"
18,196,147,38,49,"equinox","change-metrics.csv"
17,112,135,86,70,"equinox","change-metrics.csv"
10,175,222,174,131,"equinox","change-metrics.csv"
6,249,36,33,113,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
13,204,160,118,102,"equinox","change-metrics.csv"
13,415,149,126,162,"equinox","change-metrics.csv"
14,139,70,20,33,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
13,175,90,32,118,"equinox","change-metrics.csv"
2,2,2,2,2,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
16,1064,1148,441,372,"equinox","change-metrics.csv"
12,436,48,29,142,"equinox","change-metrics.csv"
10,35,23,5,7,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
6,78,16,11,29,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
14,114,148,41,42,"equinox","change-metrics.csv"
9,194,204,161,140,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
3,166,0,0,83,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
3,7,7,5,5,"equinox","change-metrics.csv"
2,2,2,2,2,"equinox","change-metrics.csv"
12,569,111,47,264,"equinox","change-metrics.csv"
2,9,3,3,9,"equinox","change-metrics.csv"
7,219,5,2,79,"equinox","change-metrics.csv"
96,4201,1315,360,1063,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
4,7,15,7,3,"equinox","change-metrics.csv"
4,4,3,2,2,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
134,2262,2219,502,325,"equinox","change-metrics.csv"
9,388,343,134,161,"equinox","change-metrics.csv"
9,82,90,77,68,"equinox","change-metrics.csv"
7,37,10,4,29,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
12,149,25,6,94,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
6,205,9,3,76,"equinox","change-metrics.csv"
3,15,8,6,13,"equinox","change-metrics.csv"
6,184,22,13,88,"equinox","change-metrics.csv"
32,517,347,101,45,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
12,1191,1243,542,522,"equinox","change-metrics.csv"
43,872,316,49,184,"equinox","change-metrics.csv"
9,142,104,42,51,"equinox","change-metrics.csv"
3,2,5,3,2,"equinox","change-metrics.csv"
13,167,52,26,40,"equinox","change-metrics.csv"
3,14,15,14,13,"equinox","change-metrics.csv"
3,250,0,0,125,"equinox","change-metrics.csv"
30,428,425,266,233,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
19,126,45,11,32,"equinox","change-metrics.csv"
23,1022,1092,739,649,"equinox","change-metrics.csv"
15,151,178,83,74,"equinox","change-metrics.csv"
3,94,8,7,86,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
5,28,19,12,13,"equinox","change-metrics.csv"
20,439,524,306,259,"equinox","change-metrics.csv"
9,52,25,9,15,"equinox","change-metrics.csv"
3,55,20,14,48,"equinox","change-metrics.csv"
4,28,28,13,13,"equinox","change-metrics.csv"
21,263,172,29,67,"equinox","change-metrics.csv"
13,421,17,5,183,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
2,10,0,0,10,"equinox","change-metrics.csv"
3,3,3,2,2,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
5,81,5,3,38,"equinox","change-metrics.csv"
10,547,100,73,202,"equinox","change-metrics.csv"
37,541,285,27,47,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
2,1,1,1,1,"equinox","change-metrics.csv"
7,27,19,14,15,"equinox","change-metrics.csv"
2,1,1,1,1,"equinox","change-metrics.csv"
3,3,3,2,2,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
14,312,338,242,136,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
2,16,3,3,16,"equinox","change-metrics.csv"
20,161,122,60,50,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
16,670,97,29,280,"equinox","change-metrics.csv"
77,790,1000,183,125,"equinox","change-metrics.csv"
7,93,42,22,56,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
40,2866,2438,1432,1355,"equinox","change-metrics.csv"
1,0,0,0,0,"equinox","change-metrics.csv"
