"cbo","lcom","wmc","numberOfMethods","numberOfLinesOfCode","directory","k"
6,3,3,3,15,"equinox","single-version-ck-oo.csv"
14,300,115,25,492,"equinox","single-version-ck-oo.csv"
4,3,3,3,11,"equinox","single-version-ck-oo.csv"
1,0,1,1,4,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
12,45,39,10,153,"equinox","single-version-ck-oo.csv"
3,1,3,2,8,"equinox","single-version-ck-oo.csv"
2,10,4,5,13,"equinox","single-version-ck-oo.csv"
10,36,7,9,21,"equinox","single-version-ck-oo.csv"
7,45,22,10,77,"equinox","single-version-ck-oo.csv"
22,6,8,4,24,"equinox","single-version-ck-oo.csv"
4,1,2,2,8,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
40,2016,410,64,1805,"equinox","single-version-ck-oo.csv"
4,1,2,2,9,"equinox","single-version-ck-oo.csv"
12,190,38,20,120,"equinox","single-version-ck-oo.csv"
1,6,4,4,15,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
2,1,5,2,30,"equinox","single-version-ck-oo.csv"
17,210,38,21,149,"equinox","single-version-ck-oo.csv"
3,21,9,7,32,"equinox","single-version-ck-oo.csv"
2,0,0,1,0,"equinox","single-version-ck-oo.csv"
5,15,34,6,114,"equinox","single-version-ck-oo.csv"
5,15,24,6,83,"equinox","single-version-ck-oo.csv"
12,91,31,14,65,"equinox","single-version-ck-oo.csv"
2,0,1,1,4,"equinox","single-version-ck-oo.csv"
6,6,10,4,73,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
1,1,6,2,27,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
1,0,1,1,3,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
5,15,6,6,19,"equinox","single-version-ck-oo.csv"
30,210,46,21,221,"equinox","single-version-ck-oo.csv"
26,406,109,29,430,"equinox","single-version-ck-oo.csv"
13,21,30,7,100,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
24,2775,147,75,425,"equinox","single-version-ck-oo.csv"
3,6,9,4,44,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
0,3,3,3,10,"equinox","single-version-ck-oo.csv"
21,378,122,28,503,"equinox","single-version-ck-oo.csv"
10,6,4,4,15,"equinox","single-version-ck-oo.csv"
5,36,28,9,95,"equinox","single-version-ck-oo.csv"
7,6,14,4,55,"equinox","single-version-ck-oo.csv"
9,6,22,4,98,"equinox","single-version-ck-oo.csv"
6,21,14,7,62,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
6,10,10,5,54,"equinox","single-version-ck-oo.csv"
9,21,28,7,63,"equinox","single-version-ck-oo.csv"
2,10,10,5,31,"equinox","single-version-ck-oo.csv"
5,10,5,5,18,"equinox","single-version-ck-oo.csv"
17,45,37,10,188,"equinox","single-version-ck-oo.csv"
3,231,26,22,73,"equinox","single-version-ck-oo.csv"
1,0,1,1,3,"equinox","single-version-ck-oo.csv"
7,45,57,10,217,"equinox","single-version-ck-oo.csv"
7,55,33,11,125,"equinox","single-version-ck-oo.csv"
16,435,107,30,403,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
19,66,30,12,155,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
14,45,13,10,36,"equinox","single-version-ck-oo.csv"
5,15,16,6,70,"equinox","single-version-ck-oo.csv"
1,0,1,1,3,"equinox","single-version-ck-oo.csv"
1,3,28,3,153,"equinox","single-version-ck-oo.csv"
2,28,13,8,49,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
2,15,17,6,110,"equinox","single-version-ck-oo.csv"
4,55,13,11,56,"equinox","single-version-ck-oo.csv"
16,78,57,13,180,"equinox","single-version-ck-oo.csv"
13,91,33,14,86,"equinox","single-version-ck-oo.csv"
12,28,11,8,49,"equinox","single-version-ck-oo.csv"
39,2016,534,64,1543,"equinox","single-version-ck-oo.csv"
1,0,0,1,0,"equinox","single-version-ck-oo.csv"
4,1,2,2,8,"equinox","single-version-ck-oo.csv"
10,66,23,12,173,"equinox","single-version-ck-oo.csv"
11,10,13,5,28,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
2,0,1,1,4,"equinox","single-version-ck-oo.csv"
77,1653,251,58,1250,"equinox","single-version-ck-oo.csv"
8,36,46,9,186,"equinox","single-version-ck-oo.csv"
4,6,9,4,30,"equinox","single-version-ck-oo.csv"
0,1,2,2,6,"equinox","single-version-ck-oo.csv"
4,1,2,2,9,"equinox","single-version-ck-oo.csv"
5,45,39,10,145,"equinox","single-version-ck-oo.csv"
21,28,8,8,30,"equinox","single-version-ck-oo.csv"
1,1,2,2,7,"equinox","single-version-ck-oo.csv"
6,55,21,11,61,"equinox","single-version-ck-oo.csv"
12,190,36,20,172,"equinox","single-version-ck-oo.csv"
10,15,15,6,47,"equinox","single-version-ck-oo.csv"
16,171,98,19,248,"equinox","single-version-ck-oo.csv"
4,1,2,2,11,"equinox","single-version-ck-oo.csv"
7,45,22,10,76,"equinox","single-version-ck-oo.csv"
34,435,119,30,501,"equinox","single-version-ck-oo.csv"
7,21,29,7,121,"equinox","single-version-ck-oo.csv"
2,1,1,2,3,"equinox","single-version-ck-oo.csv"
10,1,18,2,48,"equinox","single-version-ck-oo.csv"
3,21,12,7,69,"equinox","single-version-ck-oo.csv"
16,66,18,12,81,"equinox","single-version-ck-oo.csv"
18,153,22,18,103,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
6,66,15,12,39,"equinox","single-version-ck-oo.csv"
12,136,59,17,336,"equinox","single-version-ck-oo.csv"
7,21,15,7,48,"equinox","single-version-ck-oo.csv"
14,253,73,23,294,"equinox","single-version-ck-oo.csv"
4,6,4,4,13,"equinox","single-version-ck-oo.csv"
10,36,41,9,143,"equinox","single-version-ck-oo.csv"
9,6,17,4,133,"equinox","single-version-ck-oo.csv"
5,28,19,8,45,"equinox","single-version-ck-oo.csv"
9,28,26,8,92,"equinox","single-version-ck-oo.csv"
3,3,4,3,12,"equinox","single-version-ck-oo.csv"
6,45,36,10,108,"equinox","single-version-ck-oo.csv"
28,91,17,14,55,"equinox","single-version-ck-oo.csv"
2,1,2,2,6,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
6,3,3,3,15,"equinox","single-version-ck-oo.csv"
17,36,35,9,130,"equinox","single-version-ck-oo.csv"
0,0,0,0,0,"equinox","single-version-ck-oo.csv"
