"maxCodeChurnUntil.","linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","directory","k"
0,12,12,12,1,"lucene","change-metrics.csv"
218,2311,49,3683,644,"lucene","change-metrics.csv"
51,424,32,238,58,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
420,999,24,251,468,"lucene","change-metrics.csv"
11,30,7,19,20,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
33,134,14,22,36,"lucene","change-metrics.csv"
38,349,6,283,274,"lucene","change-metrics.csv"
49,422,10,342,324,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,5,5,5,1,"lucene","change-metrics.csv"
2,14,6,13,6,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
39,291,36,297,39,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
31,76,3,45,42,"lucene","change-metrics.csv"
1,79,8,119,26,"lucene","change-metrics.csv"
38,322,18,269,120,"lucene","change-metrics.csv"
32,83,9,72,32,"lucene","change-metrics.csv"
9,84,10,107,27,"lucene","change-metrics.csv"
0,52,4,60,48,"lucene","change-metrics.csv"
1,8,3,7,6,"lucene","change-metrics.csv"
15,17,2,2,16,"lucene","change-metrics.csv"
45,241,22,128,45,"lucene","change-metrics.csv"
0,2,2,4,1,"lucene","change-metrics.csv"
15,37,7,26,16,"lucene","change-metrics.csv"
0,3,2,11,2,"lucene","change-metrics.csv"
0,9,3,15,8,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
22,108,11,22,26,"lucene","change-metrics.csv"
36,82,3,46,43,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,7,3,8,6,"lucene","change-metrics.csv"
28,60,9,4,29,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
15,18,3,5,16,"lucene","change-metrics.csv"
0,1,3,2,1,"lucene","change-metrics.csv"
113,413,22,138,118,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
4,13,4,9,6,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
17,69,12,67,17,"lucene","change-metrics.csv"
14,59,9,61,16,"lucene","change-metrics.csv"
98,1990,95,1099,132,"lucene","change-metrics.csv"
