"numberOfAttributes","cbo","lcom","numberOfMethods","fanIn","directory","k"
2,17,55,11,10,"lucene","single-version-ck-oo.csv"
60,34,2415,70,9,"lucene","single-version-ck-oo.csv"
6,179,120,16,174,"lucene","single-version-ck-oo.csv"
7,5,3,3,1,"lucene","single-version-ck-oo.csv"
0,5,0,1,0,"lucene","single-version-ck-oo.csv"
11,128,465,31,122,"lucene","single-version-ck-oo.csv"
1,0,0,1,0,"lucene","single-version-ck-oo.csv"
8,1,21,7,0,"lucene","single-version-ck-oo.csv"
18,6,21,7,4,"lucene","single-version-ck-oo.csv"
16,16,231,22,13,"lucene","single-version-ck-oo.csv"
6,23,66,12,14,"lucene","single-version-ck-oo.csv"
2,5,1,2,2,"lucene","single-version-ck-oo.csv"
2,2,1,2,0,"lucene","single-version-ck-oo.csv"
2,4,10,5,2,"lucene","single-version-ck-oo.csv"
1,8,1,2,0,"lucene","single-version-ck-oo.csv"
0,2,1,2,2,"lucene","single-version-ck-oo.csv"
2,65,36,9,57,"lucene","single-version-ck-oo.csv"
8,4,28,8,1,"lucene","single-version-ck-oo.csv"
9,6,45,10,5,"lucene","single-version-ck-oo.csv"
6,4,1,2,2,"lucene","single-version-ck-oo.csv"
0,8,3,3,0,"lucene","single-version-ck-oo.csv"
1,3,1,2,0,"lucene","single-version-ck-oo.csv"
9,8,78,13,1,"lucene","single-version-ck-oo.csv"
0,6,1,2,2,"lucene","single-version-ck-oo.csv"
6,3,10,5,1,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
3,9,105,15,5,"lucene","single-version-ck-oo.csv"
0,1,0,1,0,"lucene","single-version-ck-oo.csv"
2,74,153,18,69,"lucene","single-version-ck-oo.csv"
0,4,1,2,1,"lucene","single-version-ck-oo.csv"
1,11,3,3,2,"lucene","single-version-ck-oo.csv"
6,14,3,3,1,"lucene","single-version-ck-oo.csv"
1,4,1,2,1,"lucene","single-version-ck-oo.csv"
0,3,3,3,1,"lucene","single-version-ck-oo.csv"
2,11,66,12,4,"lucene","single-version-ck-oo.csv"
0,7,3,3,1,"lucene","single-version-ck-oo.csv"
0,2,10,5,2,"lucene","single-version-ck-oo.csv"
2,4,1,2,0,"lucene","single-version-ck-oo.csv"
5,23,15,6,3,"lucene","single-version-ck-oo.csv"
0,1,0,1,1,"lucene","single-version-ck-oo.csv"
2,6,1,2,1,"lucene","single-version-ck-oo.csv"
6,2,3,3,1,"lucene","single-version-ck-oo.csv"
9,10,325,26,3,"lucene","single-version-ck-oo.csv"
2,3,28,8,0,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
1,3,3,3,2,"lucene","single-version-ck-oo.csv"
1,5,1,2,2,"lucene","single-version-ck-oo.csv"
2,6,3,3,1,"lucene","single-version-ck-oo.csv"
2,3,15,6,2,"lucene","single-version-ck-oo.csv"
5,153,1225,50,138,"lucene","single-version-ck-oo.csv"
0,9,1,2,0,"lucene","single-version-ck-oo.csv"
19,4,190,20,1,"lucene","single-version-ck-oo.csv"
7,3,3,3,1,"lucene","single-version-ck-oo.csv"
5,3,6,4,1,"lucene","single-version-ck-oo.csv"
0,3,3,3,0,"lucene","single-version-ck-oo.csv"
3,11,15,6,10,"lucene","single-version-ck-oo.csv"
4,5,36,9,2,"lucene","single-version-ck-oo.csv"
8,0,6,4,0,"lucene","single-version-ck-oo.csv"
3,13,3,3,10,"lucene","single-version-ck-oo.csv"
3,14,45,10,0,"lucene","single-version-ck-oo.csv"
3,2,1,2,0,"lucene","single-version-ck-oo.csv"
0,2,6,4,2,"lucene","single-version-ck-oo.csv"
1,50,15,6,50,"lucene","single-version-ck-oo.csv"
5,12,1,2,1,"lucene","single-version-ck-oo.csv"
0,3,1,2,1,"lucene","single-version-ck-oo.csv"
4,1,561,34,0,"lucene","single-version-ck-oo.csv"
9,8,1,2,6,"lucene","single-version-ck-oo.csv"
6,6,1,2,1,"lucene","single-version-ck-oo.csv"
0,5,1,2,2,"lucene","single-version-ck-oo.csv"
