file,bug,loc,bf,hcm
ext::framework::a::importer::Activator,0,15,1,1.11258
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile,0,492,5,7.60794
org::osgi::framework::ServiceEvent,1,11,3,6.44925
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl,0,4,0,3.0823
substitutes::z::Fz,0,0,1,0
circularity::test::Activator,0,6,1,0
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet,0,153,7,9.01949
org::eclipse::osgi::internal::module::BundleConstraint,0,8,1,5.09157
org::eclipse::osgi::internal::resolver::SystemState,1,13,6,5.94951
org::eclipse::osgi::internal::module::VersionSupplier,0,21,2,5.76365
org::osgi::framework::ServicePermission,1,77,3,6.44925
org::eclipse::osgi::framework::internal::core::FrameworkProperties,0,24,1,1.27192
nativetest::d::Activator,0,8,1,0
substitutes::y::Ay,0,0,1,0
org::eclipse::osgi::framework::internal::core::ConsoleMsg,0,0,4,4.84372
substitutes::x::Kx,0,0,1,0
org::eclipse::equinox::launcher::Main,3,1805,29,15.3228
nativetest::b2::Activator,0,9,1,0
org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader,0,120,4,7.7601
org::eclipse::osgi::framework::internal::core::StartLevelEvent,0,15,1,3.36934
org::eclipse::equinox::internal::launcher::Constants,1,0,1,1.05668
org::eclipse::osgi::tests::appadmin::SimpleApp,0,30,1,0
org::eclipse::core::runtime::internal::stats::StatsManager,0,149,2,6.79581
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry,0,32,2,4.04276
org::eclipse::osgi::framework::internal::core::BundlePermissionCollection,0,0,1,4.64163
org::eclipse::osgi::util::TextProcessor,1,114,6,6.45548
org::eclipse::osgi::framework::internal::core::DependentPolicy,1,83,3,4.27148
org::eclipse::osgi::internal::resolver::GenericSpecificationImpl,2,65,1,0
org::eclipse::osgi::tests::services::resolver::SimplePlatformAdmin,0,4,1,1.45568
org::eclipse::core::runtime::internal::adaptor::Locker_JavaNio,0,73,3,5.03827
thread::locktest::Class1,0,0,1,0
legacy::lazystart::b::excluded::b::BBExcluded,0,0,1,0
org::eclipse::osgi::internal::signedcontent::PKCS7DateParser,0,27,1,0
chain::test::d::Activator,0,6,1,0
substitutes::y::Ny,0,0,1,0
osgi::lazystart::LazySimple,0,3,1,0
substitutes::x::Ix,0,0,1,0
