file,bug,loc,bf,hcm,text
ext::framework::a::importer::Activator,0,15,1,1.11258,ext framework importer ext framework framework ext test java io java net url org eclipse osgi tests bundles bundle tests org osgi framework bundle activator org osgi framework bundle context activator bundle activator start bundle context context exception bundle tests simple results add event framework ext test test success non nls 1 bundle tests simple results add event urlcontent resource ext framework fwkresource txt non nls 1 string urlcontent url resource ioexception buffered reader br buffered reader input stream reader resource open stream br read line br close stop bundle context context exception nothing 
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile,0,492,5,7.60794,org eclipse osgi framework internal reliablefile java io java util zip checksum reliable file file output stream replacement used file output stream partnership reliable file input stream avoid losing file data using multiple files see reliable file input stream reliable file output stream filter output stream reliable file object file reliable file reliable checksum calculator checksum crc output open false constructs reliable file output stream file code file code file exists written over see constructor append file desired param file file stream reads exception java io ioexception error occurs opening file reliable file output stream file file ioexception reliable file reliable file file false constructs reliable file output stream file code file code param file file stream reads param append indicating whether append existing file exception java io ioexception error occurs opening file reliable file output stream file file append ioexception reliable file reliable file file append constructs reliable file output stream file named code name code file exists written over see constructor append file desired code name code absolute relative system property code user dir code param name file stream writes exception java io ioexception error occurs opening file reliable file output stream string name ioexception reliable file reliable file name false constructs reliable file output stream file named code name code code name code absolute relative system property code user dir code param name file stream writes param append indicating whether append existing file exception java io ioexception error occurs opening file reliable file output stream string name append ioexception reliable file reliable file name append constructor used constructors param reliable reliable file read param append indicating whether append existing file exception java io ioexception error occurs opening file reliable file output stream reliable file reliable append ioexception reliable output stream append reliable file generation latest reliable reliable output open true append crc reliable file checksum crc reliable checksum calculator closes output stream releases system resources associated stream general contract code close code closes output stream closed stream perform output operations reopened exception java io ioexception error occurs closing file close ioexception close intermediate file reliable close output file crc previouse close outpu file exception don t null out reliable give another opportunity rename file reliable null file close intermediate file ioexception reliable null ioexception reliable file stream open non nls 1 output open tag signature checksum reliable write checksum signature out crc out flush file output stream out fd sync ioexception e ignore exception debug e print stack trace out close output open false reliable output file override filter output stream method see filter output stream write write b ioexception write b 0 b length override filter output stream method see filter output stream write write b len ioexception out write b len crc update b len override filter output stream method see filter output stream write write b ioexception out write b crc update b abort reliable null output open out close ioexception e ignore output open false reliable abort output file reliable null 
org::osgi::framework::ServiceEvent,1,11,3,6.44925,unless required applicable law agreed writing software distributed under license distributed basis without warranties conditions kind express implied see license specific language governing permissions limitations under license org osgi framework java util event object event framework describing service lifecycle change p code service event code objects delivered code service listener code s code service listener code s change occurs service s lifecycle type code used identify event type future extendability p osgi alliance reserves right extend set types immutable see service listener see service listener version revision 1 15 service event event object serial version uid 8792901483909409299l reference service change occur lifecycle service reference reference type service lifecycle change type service registered p event synchronously delivered strong strong service registered framework p value code registered code 0x00000001 see bundle context register service string object java util dictionary registered 0x00000001 properties registered service modified p event synchronously delivered strong strong service properties modified p value code modified code 0x00000002 see service registration set properties modified 0x00000002 service process being unregistered p event synchronously delivered strong before strong service completed unregistering p bundle using service code unregistering code bundle release use service receives event bundle release use service receives event framework automatically release bundle s use service completing service unregistration operation p value unregistering 0x00000004 see service registration unregister see bundle context unget service unregistering 0x00000004 creates service event object param type event type param reference code service reference code object service lifecycle change service event type service reference reference reference reference reference type type returns reference service change occur lifecycle p reference source event reference service lifecycle change service reference service reference reference returns type event event type values ul li link registered li link modified li link unregistering ul type service lifecycle change type type 
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl,0,4,0,3.0823,org eclipse osgi framework internal core java security permission collection org eclipse osgi framework adaptor bundle protection domain tracks signature information bundle addition managing bundle permissions bundle protection domain impl bundle protection domain bundle bundle param bundle bundle protection domain corresponds param perm collection permission collection used protection domain bundle protection domain impl bundle bundle permission collection perm collection perm collection bundle bundle 
substitutes::z::Fz,0,0,1,0,substitutes z fz 
circularity::test::Activator,0,6,1,0,circularity test org eclipse osgi tests bundles bundle tests org osgi framework activator bundle activator start bundle context context exception bundle tests simple results add event bundle event bundle event started context bundle stop bundle context context exception bundle tests simple results add event bundle event bundle event stopped context bundle 
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet,0,153,7,9.01949,org eclipse osgi framework internal core java security java util org osgi service condpermadmin condition org osgi service permissionadmin permission info represents permission collection tied set conditions before permissions actually used non empty called conditional permission set bundle permission collection serial version uid 3258411750729920566l conditional permission info impl cpis conditional permission admin impl empty cond perm info hash map cached permission collections hash map permission false bundle bundle conditions need satisfied order enable permissions array empty conditions need satisfied code needed condititions code null condition needed conditions todo need validate cpis make sure don t go away reset everything need add cpis construct conditional permission set initial set permissions conditional permission set bundle bundle conditional permission info impl cpis condition needed conditions bundle bundle cpis cpis needed conditions needed conditions check permission adds another conditional permission info impl set b condtitional permission info whose conditions immutable satisfied added b param cpi conditional permission info impl added set b condtitional permission info whose conditions immutable satisfied added b add conditional permission info conditional permission info impl cpi needed conditions null needed conditions length 0 runtime exception add conditional permission info impl non satisfied set non nls 1 cached permission collections first look null slot 0 cpis length cpis null found empty slot use cpis cpi cached permission collections clear conditional permission info impl newcpis conditional permission info impl cpis length 1 system arraycopy cpis 0 newcpis 0 cpis length newcpis cpis length cpi cpis newcpis todo couldn t decide wether better run through cached permission collections add permissions cpi clear out rebuilt ondemand ondemand route simpler end more efficient cached permission collections clear check permission runs through permission infos see permission mix check permission permission out 0 cpis length cpis null check deletions permission info perms cpis perms j 0 j perms length j perms j type equals permission name permission true out returns true one conditional permission infos set still active deleted true one active conditional permission info non empty non empty false force perm check false cached permission collections 0 cpis length cpis null cpis deleted cpis null force perm check true don t way remove collection add thus clear out everything todo investigate more efficient clear permission collections type stored cpi cached permission collections clear non empty true non empty cpis conditional permission admin impl empty cond perm info force perm check permission false check permission non empty returns conditions need satisfied before permissions embodied set used array conditions need satisfied array empty conditions need satisfied use permissions null returned permissions never used condition needed conditions needed conditions null needed conditions length 0 needed conditions found non null condition false need check see conditions became immutable 0 needed conditions length condition cond needed conditions cond null cond mutable cond satisfied needed conditions null now immutable unsatisfied condition set longer valid needed conditions null found non null condition true needed conditions null found non null condition needed conditions conditional permission admin impl empty cond needed conditions don t anything here isn t real permission collection param perm ignored see java security permission collection add java security permission add permission perm nothing checks see desired permission implied collection conditional permission infos param perm permission check true condition permission set implies passed permission see java security permission collection implies java security permission implies permission perm permission true perm perm permission collection collection cached permission collections collection permission collection cached permission collections perm collection null collection perm permission collection collection null collection permissions hash 0 cpis length conditional permission info impl cpi cpis cpi null cpi add permissions bundle collection perm exception e todo log somewhere e print stack trace cached permission collections put perm collection collection implies perm don t anything here isn t real permission collection always returns null see java security permission collection elements enumeration elements null method simply clears resolved permission table think both term amoritized more efficient walking through clearing specific entries unresolve permissions cached permission collections cached permission collections clear remove conditional permission info impl cpi cached permission collections 0 cpis length cpis cpi cpis null cached permission collections clear true false 
org::eclipse::osgi::internal::module::BundleConstraint,0,8,1,5.09157,org eclipse osgi internal module org eclipse osgi service resolver companion bundle specification state use resolving bundle constraint resolver constraint bundle constraint resolver bundle bundle version constraint bundle constraint bundle bundle constraint optional constraint host specification false bundle specification constraint optional 
org::eclipse::osgi::internal::resolver::SystemState,1,13,6,5.94951,org eclipse osgi internal resolver org eclipse osgi service resolver org osgi framework bundle exception provides synchronous access resolve add remove update bundle framework system state state impl add bundle bundle description description add bundle description remove bundle bundle description remove remove bundle remove update bundle bundle description description update bundle description state delta compare state state bundle exception don t implement big deal system state framework unsupported operation exception 
org::eclipse::osgi::internal::module::VersionSupplier,0,21,2,5.76365,org eclipse osgi internal module org eclipse osgi service resolver base description org eclipse osgi service resolver bundle description org osgi framework version companion base description state used resolving version supplier base description base version supplier substitute version supplier base description base base base version version base version string name base name base description base description base returns true version supplier dropped longer available wire version supplier substitute substitute sets dropped status called version hash map version suppliers removed set substitute version supplier substitute substitute substitute returns bundle description supplies version supplier bundle description bundle returns resolver bundle supplies version supplier resolver bundle resolver bundle string string base string 
