"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","bug"
"1",0,0,0,0,0,0,0,0,0,4.38202663467388,2.77258872223978,0
"2",0,0,0,3.3322045101752,0,0,6.08677472691231,1.09861228866811,0,0,3.43398720448515,0
"3",4.93447393313069,0,0,4.11087386417331,2.30258509299405,0,0.693147180559945,4.47733681447821,0,0,0,1
"4",0,0.693147180559945,0,2.77258872223978,2.19722457733622,0,0,0,0,3.68887945411394,0,0
"5",0,0,0,1.38629436111989,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,1.38629436111989,0,3.89182029811063,0,0
"7",3.09104245335832,0,0,5.19295685089021,6.18826412308259,0,0,0,0,0,0,0
"8",1.38629436111989,2.484906649788,0,0,2.19722457733622,0,0,2.99573227355399,0,0,0,0
"9",1.09861228866811,3.97029191355212,0,0,0.693147180559945,0,0,2.56494935746154,1.38629436111989,0,0,1
"10",0,0,0,0,3.2188758248682,0,3.55534806148941,3.78418963391826,0,2.19722457733622,0,0
"11",4.65396035015752,0,0,6.69084227741856,4.8283137373023,0,0,0,0,0,0.693147180559945,1
"12",4.83628190695148,0,0,3.29583686600433,3.2188758248682,0,0.693147180559945,0,3.78418963391826,2.99573227355399,1.38629436111989,0
"13",0.693147180559945,0,0,0,0,0,0,0,0,4.15888308335967,0,0
"14",0,0,0,1.38629436111989,0,0,0,0,0,0,0,0
"15",0,0,6.56667242980324,0,2.63905732961526,0,0,1.09861228866811,1.09861228866811,1.09861228866811,0.693147180559945,0
"16",0,0,0,1.38629436111989,0,0,0,0,0,0,0,0
"17",0,2.19722457733622,4.59511985013459,5.64544689764324,2.19722457733622,2.484906649788,6.59167373200866,0,8.87066300440602,5.36597601502185,4.85203026391962,3
"18",1.09861228866811,0,0,0,0,0,0,1.94591014905531,0,4.11087386417331,0,0
"19",0,2.94443897916644,0,3.87120101090789,2.484906649788,4.26267987704132,2.39789527279837,0,3.43398720448515,6.45519856334012,0.693147180559945,0
"20",0,0,3.61091791264422,0,0,0,0,4.47733681447821,0,0,0,0
"21",0,0,0,0,0,0.693147180559945,0,0.693147180559945,5.94017125272043,0,0,1
"22",0,0,2.56494935746154,0,0,0,0,0.693147180559945,2.484906649788,4.21950770517611,2.39789527279837,0
"23",4.20469261939097,2.39789527279837,2.83321334405622,2.19722457733622,0,1.6094379124341,0,0,2.99573227355399,6.63331843328038,3.17805383034795,0
"24",1.38629436111989,2.19722457733622,0,3.25809653802148,0,0,4.02535169073515,0,3.73766961828337,1.94591014905531,0,0
"25",1.09861228866811,0,0,2.99573227355399,2.77258872223978,0,0,0,0,0,0.693147180559945,0
"26",0,0,0,4.26267987704132,1.38629436111989,5.03043792139244,6.26909628370626,2.63905732961526,4.79579054559674,0,0,1
"27",0,0,0,0,4.51085950651685,0,0,0,0,5.36597601502185,0,1
"28",0,0.693147180559945,0,0,5.36597601502185,0,2.19722457733622,0,0,0,2.89037175789616,2
"29",0,2.19722457733622,2.30258509299405,0,0,0,2.70805020110221,0,0,3.25809653802148,0,0
"30",0,1.38629436111989,1.09861228866811,0,0,1.09861228866811,2.484906649788,0,4.20469261939097,0,5.34233425196481,0
"31",0,0,0,0,0,0,0,0,0,1.09861228866811,0.693147180559945,0
"32",0,0,0,0,0,0.693147180559945,0,0,0,1.79175946922805,0,0
"33",0,0,0,0,0,4.85981240436167,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,3.97029191355212,0,0
"35",0,0,0,1.38629436111989,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,3.04452243772342,0,0
"37",0,0,0,1.09861228866811,0,0,0.693147180559945,0,0,0,0,0
"38",0.693147180559945,3.3322045101752,0,0,3.89182029811063,0,0,2.07944154167984,0.693147180559945,0,0,0
"39",0,5.73979291217923,0,0,6.93147180559945,1.09861228866811,6.51174532964473,0,0,0,3.63758615972639,0
