"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","bug","loc","bf","hcm"
"1",0,0,4.11087386417331,0,0,0,0,0,1.09861228866811,0,0.693147180559945,0,1.6094379124341,2.30258509299405,2.94443897916644,0,2.77258872223978,1,1.11258
"2",0,0,0,0,5.50533153593236,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,5.52942908751142,0,6.20050917404269,5,7.60794
"3",0,5.03695260241363,0,0,0,4.95582705760126,0,0,0,0,0,0.693147180559945,0,0,0,1,2.484906649788,3,6.44925
"4",0,0,0,0.693147180559945,0,0,0,0,2.89037175789616,0,3.80666248977032,0,0,0,0.693147180559945,0,1.6094379124341,0,3.0823
"5",1.09861228866811,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,1,0
"7",2.56494935746154,0,0,0,2.39789527279837,1.09861228866811,0,0,0.693147180559945,0,6.49526555593701,0,0,0,0,0,5.03695260241363,7,9.01949
"8",0,0,0,0,0,1.38629436111989,3.49650756146648,0,0,0,1.79175946922805,0.693147180559945,0,0,0,0,2.19722457733622,1,5.09157
"9",0,0,3.09104245335832,0,0,2.70805020110221,3.49650756146648,0.693147180559945,0,0,0,0,1.09861228866811,0,0,1,2.63905732961526,6,5.94951
"10",0.693147180559945,0,0,0,0,0.693147180559945,4.17438726989564,0,0,0,0,0,3.2188758248682,2.99573227355399,0,0,3.09104245335832,2,5.76365
"11",1.38629436111989,6.58892647753352,0,0,5.6970934865054,2.07944154167984,0,0,0,0,0,0,0,0,0,1,4.35670882668959,3,6.44925
"12",5.15905529921453,0,0,0,0,0,0,2.83321334405622,0,0,3.63758615972639,2.30258509299405,0,0,1.94591014905531,0,3.2188758248682,1,1.27192
"13",0,0,4.04305126783455,0,0,0,0,0,0,0,0,0,1.79175946922805,1.38629436111989,0,0,2.19722457733622,1,0
"14",1.09861228866811,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"15",0,0,0,6.57786135772105,0,0.693147180559945,2.07944154167984,0,0.693147180559945,0,0,0,0,1.38629436111989,0,0,0,4,4.84372
"16",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"17",0,5.03695260241363,3.3322045101752,3.25809653802148,5.48479693349065,0,0,5.28826703069454,3.55534806148941,6.56667242980324,0,8.83971137870348,3.61091791264422,5.14749447681345,4.60517018598809,3,7.49886973397693,29,15.3228
"18",1.09861228866811,0,3.87120101090789,0,0,0,0,1.09861228866811,0,0,0,0,2.89037175789616,0,0,0,2.30258509299405,1,0
"19",3.2188758248682,2.39789527279837,0,0,0,1.94591014905531,0,0,5.54907608489522,0,4.31748811353631,0,4.18965474202643,5.96100533962327,0,0,4.79579054559674,4,7.7601
"20",0,0,0,3.61091791264422,0,0,0,0,0.693147180559945,0,4.46590811865458,0,0,0,0,0,2.77258872223978,1,3.36934
"21",0,1.09861228866811,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0,5.93489419561959,0,0,0,1,0,1,1.05668
"22",0,0,4.23410650459726,2.30258509299405,0,0,0,0,0,0,0,3.2188758248682,0,0,0,0,3.43398720448515,1,0
"23",5.17614973257383,0,0,0,0,0,0,1.6094379124341,0.693147180559945,0.693147180559945,0,0,5.18738580584075,6.30261897574491,0,0,5.01063529409626,2,6.79581
"24",0,0,0,0,0,0,0,0.693147180559945,3.85014760171006,0,0,1.09861228866811,1.38629436111989,2.07944154167984,4.38202663467388,0,3.49650756146648,2,4.04276
"25",1.6094379124341,0,0,0,0.693147180559945,0,1.09861228866811,0,0,0,3.43398720448515,0,0,0,0,0,0,1,4.64163
"26",0,3.52636052461616,1.09861228866811,0,0,0,0,3.66356164612965,0,6.59578051396131,0,4.29045944114839,0,0,2.30258509299405,1,4.74493212836325,6,6.45548
"27",0,0,0,0,0,0,0,0,0,0,0,0,2.484906649788,5.68017260901707,0,1,4.43081679884331,3,4.27148
"28",0,0,0,0,0,0,5.32300997913841,0,0,3.55534806148941,0,0,0.693147180559945,0,0,2,4.18965474202643,1,0
"29",0,0,2.89037175789616,0.693147180559945,0,2.39789527279837,2.07944154167984,0,0,0,0,0,1.09861228866811,0,2.99573227355399,0,1.6094379124341,1,1.45568
"30",0.693147180559945,0,0,0,2.77258872223978,0,0,0,1.09861228866811,0,0.693147180559945,3.3322045101752,0,0,5.50938833662798,0,4.30406509320417,3,5.03827
"31",0,0,0.693147180559945,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32",0,0,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"33",0,0,0,0,0,0,2.77258872223978,2.07944154167984,4.67282883446191,0,0,0,0,0,0,0,3.3322045101752,1,0
"34",0,0,3.93182563272433,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,1.94591014905531,1,0
"35",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"36",0,0,3.04452243772342,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,1,0
"37",1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,1,0
"38",0,0,1.09861228866811,0,0,0,4.40671924726425,0,0,0,0,0,0.693147180559945,0,0,0,2.99573227355399,5,8.71607
"39",0,0,0,0,0,0,7.4593388952203,3.46573590279973,0,0,0,0.693147180559945,0,0,5.62762111369064,0,5.40267738187228,16,16.4888
"40",0,0,4.969813299576,6.42324696353352,0,6.361302477573,0,0,0,0,7.19368581839511,0.693147180559945,3.25809653802148,0,3.25809653802148,4,6.06610809010375,14,16.8929
"41",3.78418963391826,0,4.36944785246702,3.66356164612965,0,4.65396035015752,0,0,0,0,0,5.93489419561959,0,0,2.39789527279837,0,4.61512051684126,6,7.43856
"42",0,0,0,2.99573227355399,0,4.4188406077966,0,4.48863636973214,0,0,2.89037175789616,3.71357206670431,4.00733318523247,0,0,1,0,7,10.0342
"43",0,0.693147180559945,0,0,0,0,7.27378631784489,0,0,3.40119738166216,0,0,3.80666248977032,3.63758615972639,1.09861228866811,3,6.05443934626937,24,21.7572
"44",0.693147180559945,0,0,0,0,0,0,0,0,1.09861228866811,0.693147180559945,0,0,0,4.77068462446567,0,3.80666248977032,2,3.20237
"45",0,0,0,0,0,0,2.83321334405622,3.61091791264422,0,0,2.07944154167984,0,4.21950770517611,0,0,1,0,8,10.6126
"46",1.38629436111989,0,0,0,1.38629436111989,0,0,0,0,0,0,0,1.79175946922805,2.19722457733622,3.29583686600433,0,2.39789527279837,0,3.36934
"47",0,0,2.77258872223978,0,5.59842195899838,0,0,0,2.19722457733622,3.98898404656427,0.693147180559945,3.13549421592915,3.2188758248682,0,7.93451346388226,1,6.22257626807137,3,5.51058
"48",1.38629436111989,5.24174701505964,0,0,3.13549421592915,4.18965474202643,0,0,0,0,4.7361984483945,0,0,1.09861228866811,0,2,2.77258872223978,3,7.55192
"49",0,0,0,0,1.6094379124341,0,6.04500531403601,0,0,0,0,0,0,0,0,1,4.56434819146784,4,8.38997
"50",4.97673374242057,0,0,0,0,4.57471097850338,0,0.693147180559945,0,0,4.29045944114839,0,2.19722457733622,0,0,1,4.02535169073515,2,5.57623
"51",4.67282883446191,0,0,0,0,0.693147180559945,2.07944154167984,5.01063529409626,0,0,0,0,0,0.693147180559945,3.78418963391826,0,4.59511985013459,2,4.89304
"52",0,0,2.77258872223978,0,2.99573227355399,0,0,0,2.07944154167984,0,0,3.04452243772342,2.83321334405622,0,5.33271879326537,0,4.14313472639153,3,5.00534
"53",0,0,1.6094379124341,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,1,0
"54",0,1.09861228866811,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"55",0,0,0,0,5.50533153593236,0,0,0,0,0,0,0,0.693147180559945,0,5.53338948872752,0,4.00733318523247,3,5.63536
"56",0.693147180559945,1.94591014905531,0,0,0,0,5.62401750618734,3.04452243772342,0,0,0,1.38629436111989,0,0,0,2,4.15888308335967,5,11.4018
"57",0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,4.46590811865458,0,1,3.46573590279973,5,6.46017
"58",3.2188758248682,3.13549421592915,1.09861228866811,0.693147180559945,0.693147180559945,1.79175946922805,0,1.79175946922805,3.78418963391826,0,1.94591014905531,0.693147180559945,0.693147180559945,0,0,0,2.94443897916644,1,0
"59",0,0,3.52636052461616,6.65672652417839,0,0,4.75359019110636,0,0,0,2.56494935746154,0,0,0,0,0,5.24174701505964,9,10.3796
"60",0,0,0,0,0,0,0,0.693147180559945,1.94591014905531,3.40119738166216,0,0.693147180559945,0,5.23644196282995,2.63905732961526,0,4.30406509320417,1,1.80545
"61",0,0,3.13549421592915,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,1,0
