"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","bug"
"1",0,0,0,4.30406509320417,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,2.56494935746154,0
"2",0,0,4.59511985013459,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98645200528444,0
"3",0,0,0,0,0,0,0,4.92725368515721,4.56434819146784,0,0,0,0,3.40119738166216,3.49650756146648,0,0,1.09861228866811,0,0,0,1
"4",2.63905732961526,0,1.09861228866811,0,0,0,0,0,0,0,0,3.3322045101752,0,0.693147180559945,2.94443897916644,0,0.693147180559945,0,0,0.693147180559945,0,0
"5",0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",6.10031895202006,0,5.21493575760899,0,0.693147180559945,0,0,0,3.49650756146648,0,0,0,0,0,3.25809653802148,0,0,0,0,0,0,0
"8",0,3.29583686600433,0,0,0,0,0,0,0,2.77258872223978,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0.693147180559945,1.6094379124341,0,3.61091791264422,0,0,0,0,3.17805383034795,0,0,0,0,1.94591014905531,0,1
"10",0,4.38202663467388,0,0,1.6094379124341,0.693147180559945,0,0,0,0,0,3.25809653802148,0,0,0,0,0,0,0,0,0,0
"11",0,0,6.60123011872888,0,0,1.09861228866811,0,4.65396035015752,5.25749537202778,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1
"12",4.70953020131233,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,1.6094379124341,0,0,1.79175946922805,0,4.79579054559674,0,0
"13",0,0,0,4.15888308335967,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0
"14",0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,6.13988455222626,5.52545293913178,0,0,0,2.77258872223978,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0
"16",0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",5.30330490805908,0,4.52178857704904,0,3.97029191355212,2.99573227355399,0,0,5.64897423816121,0,0,5.74300318780948,8.57734711423598,0,0,4.9416424226093,2.89037175789616,4.8283137373023,4.89783979995091,7.53636393840451,3.76120011569356,3
"18",0,0,0,4.21950770517611,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",3.04452243772342,2.99573227355399,2.70805020110221,0,0,0.693147180559945,0,2.83321334405622,0,0,0,6.31896811374643,0,0,0,0,0,0,5.14749447681345,3.3322045101752,0,0
"20",0,2.39789527279837,0,2.89037175789616,3.25809653802148,0,0,0,2.19722457733622,0,0,0,0,0,4.15888308335967,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,5.84354441703136,0,0,0,0,0,0,3.63758615972639,0,1
"22",0,0,0,3.95124371858143,2.07944154167984,1.79175946922805,0,1.94591014905531,0.693147180559945,0,0,0,0,0,1.38629436111989,0.693147180559945,0,0,0,2.99573227355399,2.19722457733622,0
"23",0,0,0,0,0,5.13579843705026,0,0,0,0,4.06044301054642,4.38202663467388,1.6094379124341,0,0,3.63758615972639,0,0,6.08221891037645,4.81218435537242,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,1.94591014905531,0,0,3.66356164612965,0,2.70805020110221,0.693147180559945,1.79175946922805,4.21950770517611,0
"25",1.09861228866811,0.693147180559945,3.40119738166216,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0
"26",0,0,0,0,0,5.11198778835654,0,0.693147180559945,5.8636311755981,0,2.30258509299405,0,4.72738781871234,5.39362754635236,0,0,3.36729582998647,0,0,0,0,1
"27",0,0,0,0,0,0,0,0.693147180559945,0,2.63905732961526,0,2.56494935746154,0,0.693147180559945,0.693147180559945,1.6094379124341,0,0,5.605802066296,0,0,1
"28",0,4.0943445622221,0,0,0,0,0,0,4.02535169073515,4.8283137373023,0,0,0,0,0,0,0.693147180559945,0,0,0,0,2
"29",0,0,0,2.77258872223978,1.94591014905531,0,0,0,0,1.79175946922805,0,0,0,0,2.30258509299405,0,0,0,0,0,3.09104245335832,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,3.40119738166216,0.693147180559945,0,3.36729582998647,0,0,0,0,5.45958551414416,0
"31",0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,3.58351893845611,0,0,0,3.2188758248682,0,0,0,0,3.95124371858143,2.63905732961526,0,0,1.79175946922805,0,0
"34",0,0,0,3.97029191355212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,2.63905732961526,0,0,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0
"38",0,3.73766961828337,0,0,0,0,0,1.09861228866811,0,3.71357206670431,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0
"39",0,1.79175946922805,2.77258872223978,0,0,0,3.80666248977032,0,0,7.44483327389219,0,0,2.70805020110221,0,0,0,0,0,0,0,5.54907608489522,0
