"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","bug"
"1",0,0,0,0,0,0,3.43398720448515,2.56494935746154,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,3.93182563272433,0
"2",0,0,4.18965474202643,0,0,0,0,0,0,0,0,0,0,5.65248918026865,0,0,3.09104245335832,0,4.77068462446567,0,0,2.484906649788,0
"3",0,0,4.02535169073515,0,0,0,0,0,3.76120011569356,0,0,0,0,0,5.04985600724954,3.78418963391826,0,0,0,0,0,0,1
"4",0,0,0,0,0,0.693147180559945,1.38629436111989,3.89182029811063,2.30258509299405,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0
"5",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95124371858143,0
"7",0,1.09861228866811,2.39789527279837,1.6094379124341,0,0,0,6.00881318544259,5.19295685089021,1.79175946922805,0,0,0,1.38629436111989,4.18965474202643,1.09861228866811,0,2.39789527279837,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,2.89037175789616,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,3.13549421592915,0,0,0
"9",0,0,0,0,0.693147180559945,0,0,0,1.38629436111989,3.66356164612965,0,0,0,0,1.79175946922805,3.13549421592915,0,0,0,0,0.693147180559945,0,1
"10",0,0,0,0,0,0,0,0,0,3.71357206670431,0.693147180559945,0,0,0,1.79175946922805,0,1.79175946922805,0,3.17805383034795,3.58351893845611,0,0,0
"11",0,0,6.82328612235569,0,0,0,0,3.29583686600433,3.85014760171006,0,0,0,0,0,3.78418963391826,0,0,0,0,0,0,0,1
"12",4.11087386417331,0,0,4.51085950651685,0,0,0,4.00733318523247,0,0,3.09104245335832,0,0,0,0,0,2.07944154167984,0,2.30258509299405,0,0,0,0
"13",0,0,0,0,0,0,4.12713438504509,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0
"14",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,2.70805020110221,6.51767127291227,0,0,0,2.56494935746154,0,0,0.693147180559945,3.17805383034795,0,0,0,1.6094379124341,0,0,0,0,0
"16",0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",6.43615036836943,0,4.72738781871234,7.43661726523423,3.93182563272433,4.15888308335967,5.33753807970132,0,4.54329478227,0,5.01727983681492,0,4.43081679884331,4.82028156560504,0,0,6.5191472879404,3.58351893845611,2.94443897916644,0.693147180559945,8.44762872803033,0,3
"18",0,0,0,0,0,0,4.23410650459726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,3.17805383034795,1.38629436111989,0,0,0,5.55295958492162,4.82028156560504,0,0.693147180559945,0.693147180559945,5.42053499927229,0,0,0,0,2.07944154167984,3.8286413964891,4.51085950651685,2.39789527279837,3.63758615972639,0,0
"20",1.09861228866811,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,4.7361984483945,0,0,0,0,0,2.07944154167984,0
"21",0,0,0,3.61091791264422,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,5.8406416573734,0,1
"22",0,2.484906649788,0,3.3322045101752,0,2.63905732961526,0,0,0,0,0,0,0,0,0,1.09861228866811,1.79175946922805,0,0,0,0,3.78418963391826,0
"23",0,0,0,4.83628190695148,0,2.484906649788,4.47733681447821,4.12713438504509,0,0,3.17805383034795,2.39789527279837,0,3.46573590279973,0,0,0,3.3322045101752,6.27476202124194,0,0,0,0
"24",0,0,0,0,0,0,3.36729582998647,0,0,0,0,0,0,0,0,0,4.11087386417331,0,0,0,2.89037175789616,3.52636052461616,0
"25",0,1.94591014905531,3.09104245335832,0,0,0,0,2.19722457733622,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0
"26",5.52942908751142,0,0,0,0,0,0,0,5.35185813347607,0,3.93182563272433,1.6094379124341,0,5.62762111369064,0,0,0,2.99573227355399,0,0,4.31748811353631,0,1
