"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","bug"
"1",0,0,2.19722457733622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89182029811063,0,3.25809653802148,2.63905732961526,0,0,0,0
"2",0,0,4.53259949315326,0,0,0,0,2.83321334405622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96870755998537,0
"3",0,1.38629436111989,0,0,0,0.693147180559945,0,0,3.66356164612965,4.48863636973214,0,0,0,0,0,5.11198778835654,0,0,0,0,0,0,0,0,1
"4",3.55534806148941,0,0,0,0,1.38629436111989,0,0,3.25809653802148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0
"5",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95124371858143,0,0,0,0,0,0,0
"7",5.91079664404053,0,0,2.56494935746154,5.01727983681492,0,0,2.99573227355399,0.693147180559945,4.91998092582813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0.693147180559945,0,0,0,0,3.40119738166216,0,0,0,0,0,0,2.39789527279837,0,0,0,0.693147180559945,0,0,0
"9",0,0,0,1.79175946922805,0,0,0,0,3.09104245335832,0,2.39789527279837,0,0,0,0,0,0,3.2188758248682,0,0,0.693147180559945,2.30258509299405,0,0,1
"10",0,0,0,0,0,0,0,0,0,0,4.27666611901606,0,0,0,0,2.30258509299405,0,0,0,0,3.40119738166216,0,0,0,0
"11",1.6094379124341,0,4.24849524204936,0,0,0,0,0,0,6.77764659363512,0,0,0,0.693147180559945,1.09861228866811,4.39444915467244,0,0,0,0,0,0,0,0,1
"12",4.29045944114839,0,1.94591014905531,4.80402104473326,0,2.19722457733622,0,1.38629436111989,0,0,0,0,0,1.94591014905531,3.04452243772342,0,1.09861228866811,0,0,0,1.38629436111989,0,0,0,0
"13",0,0,0,0,2.30258509299405,0,0,0,0,0,0,0,0,0,0,0,0,3.78418963391826,0,0,2.56494935746154,0,0,0,0
"14",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0.693147180559945,0,0,3.98898404656427,6.45362499889269,0,0,0,1.6094379124341,0,0,0,3.55534806148941,0,0,0,0,0,1.6094379124341,0,0,0,0
"16",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",3.29583686600433,2.484906649788,4.69134788222914,6.12905021006055,3.2188758248682,0,2.63905732961526,5.14166355650266,0,5.30826769740121,0,3.91202300542815,0,2.77258872223978,6.82979373751242,2.484906649788,2.39789527279837,0,8.64223868039046,4.969813299576,5.31320597904179,0,6.23441072571837,4.02535169073515,3
"18",0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,3.55534806148941,0,2.39789527279837,3.13549421592915,0,0,0,0
"19",3.36729582998647,1.6094379124341,0,1.6094379124341,1.79175946922805,0,0,1.38629436111989,3.04452243772342,3.2188758248682,0,0,4.15888308335967,0,0,0,0,1.6094379124341,0,0,6.44730586254121,3.63758615972639,0,0,0
"20",0,2.94443897916644,0,0,0,4.0943445622221,0,0,0,2.19722457733622,0,0,0,0,0,0,0,3.66356164612965,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8636311755981,0,0,0,3.43398720448515,0,0,0,0,0,1
"22",0,0,0,0,0,1.79175946922805,0,0,1.79175946922805,0,0,0,0,2.07944154167984,0,0,0,3.97029191355212,3.49650756146648,0,0,0,0,0,0
"23",0,0,0,0,2.07944154167984,0,0.693147180559945,1.79175946922805,4.21950770517611,0,0.693147180559945,0,0,0,3.3322045101752,0,0,0,3.2188758248682,1.79175946922805,5.66642668811243,6.17586727010576,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,2.89037175789616,3.04452243772342,0,0,0,4.61512051684126,0
"25",0,2.19722457733622,0,0,0,0,0,0,0,3.36729582998647,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0
"26",0,1.79175946922805,0,0,0,0,0,0,0,4.02535169073515,0,3.25809653802148,0,0,5.54517744447956,0,5.83188247728352,0.693147180559945,3.80666248977032,0,0,0,5.08140436498446,0,1
"27",0,0,0,0,0,0,0,0,2.70805020110221,0,1.09861228866811,0,0.693147180559945,3.40119738166216,0,0,0,0,0,0,4.87519732320115,4.76217393479776,2.484906649788,0,1
"28",0,4.89783979995091,0,0,0,0.693147180559945,0,0,0,0,2.94443897916644,0,0,4.46590811865458,0,0.693147180559945,0,0,0,0,0,0,0,0,2
