"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","bug"
"1",0,0,0,0,0,0,0,1.94591014905531,0,3.73766961828337,0,0,0,0,0,0,0,0,0,3.87120101090789,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,3.97029191355212,0,0,0,0,0,3.93182563272433,0,0,0,0,0,0,0.693147180559945,0,5.98141421125448,0
"3",0,1.09861228866811,4.9416424226093,0,0,0,0,0,0,3.36729582998647,4.33073334028633,1.09861228866811,0,0,0,0.693147180559945,0.693147180559945,3.87120101090789,0,0,0,0,0,0,0,0,1
"4",0,0,0,0,0,0.693147180559945,0,0,0,0,0,3.8286413964891,0,0,0,0,1.38629436111989,0.693147180559945,0,2.63905732961526,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,3.93182563272433,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0
"7",3.25809653802148,0,0,0,0,0.693147180559945,0,0,1.6094379124341,0,0.693147180559945,6.37331978957701,0,0,0,0,0,0,0,0,0,0,0,2.63905732961526,4.06044301054642,0,0
"8",0,3.40119738166216,1.09861228866811,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,2.89037175789616,0,0,0,0,0,0,0,3.46573590279973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,3.09104245335832,0,1
"10",0,4.68213122712422,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,4.71849887129509,0,0,0,0,1.38629436111989,3.29583686600433,0,6.42971947803914,5.61312810638807,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12",5.14749447681345,0,0,0,0,0,0,0,0,0,0,3.17805383034795,0,0,0,0,1.6094379124341,0,0,0,0,3.68887945411394,0,1.6094379124341,0,0,0
"13",0,0,0,0,1.94591014905531,0,0,2.39789527279837,0,3.43398720448515,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,2.39789527279837,0,0,0,0
"14",0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,4.72738781871234,6.39024066706535,2.77258872223978,0,0,0.693147180559945,0,1.38629436111989,0,0,0.693147180559945,0,0,0,1.38629436111989,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",5.8171111599632,0,0,0,0,3.25809653802148,0,0,5.05624580534831,0,5.30330490805908,4.46590811865458,1.79175946922805,0,2.07944154167984,8.56274000637221,0,1.09861228866811,0,6.11809719804135,3.46573590279973,7.01391547481053,5.99146454710798,5.75574221358691,3.78418963391826,5.27299955856375,3
"18",0,0,0,0,0,0,0,2.56494935746154,0,3.73766961828337,0,0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,0,0,0,0
"19",0,2.70805020110221,2.484906649788,0,0,0,0,0,0,0.693147180559945,1.79175946922805,3.68887945411394,0,4.18965474202643,0,0,0,2.07944154167984,0,3.52636052461616,0,3.36729582998647,6.38856140554563,3.25809653802148,0,0,0
"20",0,0,3.17805383034795,0,1.6094379124341,0,3.80666248977032,0,0,3.85014760171006,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99573227355399,0,0,0,0,0,0,0,5.89440283426485,0,0,1
"22",0,0,1.38629436111989,0,0,0,0,0,0,3.49650756146648,0,0,0,0,0,0,0,0,0,3.85014760171006,0,0,0,2.70805020110221,0,1.94591014905531,0
"23",0,0,0,0,4.60517018598809,0,2.19722457733622,0.693147180559945,0,0,0,0,0,0,0,2.30258509299405,0,0,0,4.29045944114839,3.09104245335832,0,4.96284463025991,6.31716468674728,0,0,0
"24",0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0.693147180559945,4.43081679884331,0.693147180559945,0,0,0,0,3.87120101090789,0
"25",0,1.09861228866811,0,0,0,0,0,0.693147180559945,0,0,0,3.55534806148941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",3.58351893845611,0,0,0,0,0,0,0,0,0,4.45434729625351,0,6.12468339089421,0,0,4.29045944114839,5.47227067367148,0,0,0,0,0,0,0,0,0,1
"27",0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0,4.75359019110636,0.693147180559945,5.19295685089021,0,1
"28",0,4.68213122712422,0,0,0,0,0,1.09861228866811,0,0,3.95124371858143,0,2.39789527279837,0,4.17438726989564,0,0,0,0,0,1.79175946922805,0,0,0,0,0,2
"29",0,0,0,0,0,0,2.89037175789616,0,0,3.13549421592915,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.83321334405622,0
"30",2.70805020110221,0,0,0,0,0,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,0,0,0,0,0,5.53338948872752,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0
"32",0,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,3.76120011569356,2.70805020110221,0,2.30258509299405,0,4.15888308335967,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,3.87120101090789,0,0,0,0,0,0,0,1.38629436111989,0,1.09861228866811,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,3.04452243772342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0
"38",0,3.91202300542815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58351893845611,0,0
"39",0,0.693147180559945,0,5.73009978297357,0,0,0,0,0,0,0,0,0,0,7.31920245876785,1.09861228866811,0,0,0,0,3.68887945411394,0,0,0,0,5.23644196282995,0
"40",0,0,5.40267738187228,0,1.6094379124341,0,6.4085287910595,0,0,6.86484777797086,0,2.39789527279837,0,0,0,0,0,5.45958551414416,6.49677499018586,1.38629436111989,0,0,0,0,0,3.04452243772342,4
"41",2.39789527279837,0,4.60517018598809,0,0,0,0,2.484906649788,0,0,0,0,0,0,2.30258509299405,4.43081679884331,0,2.89037175789616,0,6.03548143252476,0,0.693147180559945,1.38629436111989,0,0,0,0
