"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","bug"
"1",0,0,0,2.07944154167984,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,2.19722457733622,0,0,0,0,0,4.24849524204936,0,0,0,1.6094379124341,0
"2",0,0,0,0,0,0,0,2.484906649788,0,0,3.46573590279973,0,0,0,0,0,6.12029741895095,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0
"3",0,0,1.38629436111989,0,0,0,0,0,0,2.07944154167984,4.38202663467388,2.63905732961526,0,0,3.25809653802148,0,0,5.12989871492307,0,0,0,0,0,0,0,0,0,1
"4",0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,2.89037175789616,0.693147180559945,0,0,0,2.77258872223978,0,0,0,0,0,3.40119738166216,0,0
"5",0,0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95124371858143,0,0,0,0,0,0,0,0
"7",2.77258872223978,3.97029191355212,2.56494935746154,0,0,0.693147180559945,0,0,0,0,0,1.94591014905531,0,0,2.19722457733622,0,0,0,0,0,0,0,0,0,1.6094379124341,6.37842618365159,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,3.66356164612965,0,0,0,0,0,0,0,0,0
"9",2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,3.85014760171006,0,0,0,0,2.07944154167984,0,0,1
"10",0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,4.51085950651685,0.693147180559945,0,0,2.77258872223978,0,0,0,0,0
"11",0,0,0,3.40119738166216,0,0,0,3.58351893845611,0,0,6.51323011091231,4.46590811865458,0,0,0,0,1.79175946922805,4.49980967033027,0,0,0,0,0,0,0,4.76217393479776,0,1
"12",5.18178355029209,0,0,0,0,0,0,2.56494935746154,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,2.07944154167984,1.09861228866811,0,1.94591014905531,3.55534806148941,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56494935746154,0.693147180559945,0,0,3.04452243772342,0,0,3.29583686600433,1.79175946922805,0,0,0,0
"14",0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,1.94591014905531,0,0,6.24416690066374,0,5.25227342804663,0,0.693147180559945,0,0,1.94591014905531,0,0,0,0,0,0,2.39789527279837,0,0,0,1.38629436111989,0,0,0,0
"16",0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",5.30826769740121,0,6.4150969591716,0,0,4.24849524204936,4.11087386417331,4.96284463025991,5.35658627467201,0,0,4.61512051684126,0,0,1.09861228866811,5.77144112313002,6.83733281468559,0,0,0,0,8.47866024169945,6.21460809842219,5.9427993751267,5.08140436498446,4.53259949315326,2.07944154167984,3
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,0,3.04452243772342,0,0,3.68887945411394,0.693147180559945,0,0,0,0
"19",0,2.19722457733622,0,0,0,0,0,1.6094379124341,0,2.89037175789616,2.63905732961526,1.09861228866811,0,0,3.71357206670431,1.94591014905531,0,0,0,0,4.00733318523247,3.61091791264422,0,6.41999492814714,0,3.40119738166216,0,0
"20",0,0,0,0,4.43081679884331,0,0,0,0,0,1.38629436111989,2.99573227355399,0,0,2.89037175789616,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26269018890489,0,0,5.24702407216049,0,0,1
"22",0,1.94591014905531,2.70805020110221,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36729582998647,0,0,3.71357206670431,0,2.39789527279837,0,0,0
