"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","bug"
"1",0,0,0,2.56494935746154,0,0,0,0,4.4188406077966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,5.68017260901707,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,4.06044301054642,0,0,0,0,0,0,0.693147180559945,0,0,4.99721227376411,0
"3",0,0,4.77912349311153,0,0,0,3.46573590279973,0,0,2.484906649788,0,4.89783979995091,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,1
"4",0,0,0,0,2.07944154167984,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,3.97029191355212,0,0
"5",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1.94591014905531,0,0,0,0.693147180559945,0,0,0,0,4.31748811353631,0,2.484906649788,0,0,0,0,0,0,1.38629436111989,0,0,0.693147180559945,0,0,0,2.70805020110221,6.3578422665081,0,0
"8",0,3.36729582998647,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0
"9",0,2.39789527279837,0,0,0,0.693147180559945,0,0,3.63758615972639,0,0,0,0,0,1.09861228866811,0,0,1.09861228866811,0,0,2.94443897916644,0,0,0,0,0,0,0,1
"10",0,0,0,0,0,0,0,0,0,0,0,0,3.3322045101752,0,0,3.13549421592915,0,3.2188758248682,0,0,3.43398720448515,0,0,0,1.94591014905531,0,0,0,0
"11",4.53259949315326,0,4.38202663467388,3.17805383034795,0,0,0,0,0,0,0,6.67456139181443,0,3.61091791264422,0,0,0,0,2.56494935746154,0,0,0,0,0,0,0,0,0,1
"12",4.60517018598809,0,0,2.63905732961526,0,0,2.19722457733622,0,0,0,0,2.39789527279837,0,0,0,0,0,0,4.66343909411207,0,1.09861228866811,0,0,0,0,0.693147180559945,1.38629436111989,0,0
"13",0,0,0,0,0,0,0,0,4.15888308335967,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0
"14",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1.09861228866811,0.693147180559945,0,0,0,0,2.19722457733622,6.48004456192665,0,0,0,0,2.77258872223978,1.94591014905531,0,1.79175946922805,0,3.63758615972639,0,0,0,0,1.79175946922805,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",6.00141487796115,0,0,0,0,4.00733318523247,2.19722457733622,3.36729582998647,0,4.58496747867057,1.38629436111989,4.29045944114839,0,3.3322045101752,0,5.74620319054015,6.44888939414686,5.4971682252932,7.75147531802146,0,0,8.3187422526924,3.13549421592915,3.91202300542815,0,5.40717177146012,0,0,3
"18",0,0,0,0,0,0,0,0,4.23410650459726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",3.04452243772342,0,0,0,2.30258509299405,0,0,0,0,0,4.24849524204936,0,0,0,0,6.36818718635049,0,0,0,4.14313472639153,1.94591014905531,0,0,0,2.56494935746154,2.99573227355399,3.78418963391826,0,0
"20",1.79175946922805,0,0,0,4.53259949315326,0,1.38629436111989,0,0,0,0,2.56494935746154,0,0,0,0,0,0,0,0,2.484906649788,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0.693147180559945,0,0,5.88610403145016,0,0,0,0,1.6094379124341,0,0.693147180559945,0,2.70805020110221,0,0,1
"22",0,0,0,0,1.38629436111989,0,0,0.693147180559945,4.0943445622221,0,0,0,0,0,0,0,0,0,0,0,0,3.29583686600433,0,2.56494935746154,0,0,0,0,0
"23",0,0,0,0.693147180559945,5.16478597392351,0,0,1.38629436111989,0,0.693147180559945,0.693147180559945,0,0,1.09861228866811,0,5.13579843705026,4.52178857704904,0,0.693147180559945,0,0,0,0,5.93753620508243,1.38629436111989,4.40671924726425,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,3.73766961828337,0,0,1.09861228866811,0,0,0,0,0,0,0,4.26267987704132,0,0.693147180559945,0,0,0,3.2188758248682,0
"25",1.09861228866811,0.693147180559945,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0,0,3.40119738166216,0,0
"26",2.484906649788,0,0,0,0,0,1.79175946922805,0,0,3.49650756146648,0,3.73766961828337,0.693147180559945,3.58351893845611,0,0,0,6.53378883793334,2.07944154167984,0,0,4.20469261939097,0,0,0,0,0,0,1
