"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","bug"
"1",0,0,0,3.2188758248682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,4.23410650459726,0,0,0,0
"2",0,0,0,5.02388052084628,0,0,0,0,0,0,0,3.97029191355212,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,3.78418963391826,0,0,0,5.52545293913178,0
"3",0,0,0,0,0,0,4.8283137373023,0,0,0,0,4.61512051684126,0,0,0,0,0,0,0,3.91202300542815,3.13549421592915,0,0,0,0,0,0,0,0,1
"4",2.39789527279837,0,0,0,0,0,0,0,0,0,3.13549421592915,0,2.99573227355399,0,0,2.484906649788,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0
"5",1.09861228866811,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,3.80666248977032,0,0,0,0
"7",3.17805383034795,0,0,0,0,0,0,0,0,0,2.19722457733622,1.38629436111989,6.45362499889269,0,0,0,0,2.94443897916644,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,1.94591014905531,3.04452243772342,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,2.19722457733622,0,0
"9",1.79175946922805,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,2.83321334405622,2.07944154167984,3.66356164612965,0,1
"10",0,3.52636052461616,3.52636052461616,0,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17805383034795,0,0,0,1.6094379124341,0,2.484906649788,0,0
"11",0,0,0,3.55534806148941,0,0,4.55387689160054,0,0,0,0,6.73459165997295,4.15888308335967,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,1
"12",5.15329159449778,0,2.19722457733622,2.30258509299405,3.04452243772342,0,0,0,0,0,0,0,1.09861228866811,0,0,0.693147180559945,0,0,0,0,0,0,3.09104245335832,0,2.19722457733622,0,0,0,0,0
"13",0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,1.38629436111989,0,0,0,0,3.97029191355212,0,0,0,0
"14",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0.693147180559945,2.30258509299405,4.8283137373023,6.35088571671474,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1.79175946922805,0,0,1.38629436111989,2.77258872223978,0,0
"16",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",3.04452243772342,0,0,4.8283137373023,8.41604600941128,1.09861228866811,0,5.98645200528444,0,3.95124371858143,0,4.969813299576,0.693147180559945,0,5.14749447681345,3.61091791264422,3.36729582998647,7.6226639513236,4.0943445622221,0,0,6.27476202124194,5.4553211153577,4.51085950651685,0,0,4.52178857704904,0,4.06044301054642,3
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,1.6094379124341,0,0,0,2.77258872223978,0,3.89182029811063,0,0,0,0
"19",3.43398720448515,0,0,0,0.693147180559945,0,0,0,0,0,4.86753445045558,0,0,3.76120011569356,5.05624580534831,5.78996017089725,1.94591014905531,0,0,0,0,3.91202300542815,0,0,0,0,4.43081679884331,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13549421592915,4.61512051684126,0,0,0,0,0,0.693147180559945,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94017125272043,0,0,0,0,0,0,0,1.09861228866811,0,0,0,1
"22",2.77258872223978,2.39789527279837,0,0,0,2.94443897916644,0.693147180559945,0,1.94591014905531,0,1.38629436111989,0,0,0,0,0,0,0,0,2.56494935746154,0,1.38629436111989,3.09104245335832,0,0,2.56494935746154,0,0,0,0
"23",0,0,0,3.04452243772342,0,0,0,0,0,0,0,0,0,4.61512051684126,3.66356164612965,5.66642668811243,0,0,4.35670882668959,0,4.85203026391962,0,0,0,1.79175946922805,5.29831736654804,3.95124371858143,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,4.91265488573605,0,0,0,0,0,0,0,0
"25",1.94591014905531,0,0,0,0,0,0,0,0,0,0,0.693147180559945,3.3322045101752,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0
"26",0,1.09861228866811,0,0,2.56494935746154,0,0,5.33753807970132,0,3.87120101090789,0,4.20469261939097,0,0,1.38629436111989,0,0,2.56494935746154,6.24804287450843,0,0,0,3.04452243772342,0,0,0,0,0,0,1
"27",0,0,1.6094379124341,0,0,0,0,0,0,0,3.2188758248682,0,0,0.693147180559945,3.25809653802148,0,0,0,0,0,1.79175946922805,0,0,0,0,0,5.50125821054473,0,0,1
"28",0,4.80402104473326,0,0,0,0,0,0,0,0,0,0,0,3.13549421592915,0,0,2.83321334405622,0,0,0,0,0,1.09861228866811,0,0,0,0,4.36944785246702,0,2
"29",0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40119738166216,0,2.484906649788,2.70805020110221,0
"30",3.43398720448515,0,0,0,3.25809653802148,0,0,0,0,0,0,0,0,2.63905732961526,0,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,3.66356164612965,5.20948615284142,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,3.25809653802148,0,0,0,4.07753744390572,0,0,1.38629436111989,0,0,2.484906649788,3.09104245335832,0,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,0,0,3.78418963391826,0,0,0,0
"35",1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04452243772342,0,0,0,0
"37",0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,4.07753744390572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,3.2188758248682,0,0,0
"39",0,0,0,4.24849524204936,0,0,0,0,0,0,0,0,0,3.29583686600433,4.0943445622221,0,6.45676965557216,0,0,0,0,0,0,0,0,3.55534806148941,0,7.01750614294126,4.66343909411207,0
"40",2.39789527279837,0,0,0,0,0,3.3322045101752,4.79579054559674,0,0,6.03068526026126,0,0,0,0,0,0,0,0,5.92425579741453,7.44716835960004,0,0,0,0,3.71357206670431,0,0,2.94443897916644,4
"41",4.91265488573605,0,0,0,0,0,4.60517018598809,0,0,0,3.3322045101752,0,0,0,0,0,0,5.25227342804663,0,3.76120011569356,0,3.71357206670431,4.74493212836325,1.38629436111989,0,0,0,0,0,0
"42",3.43398720448515,0,2.89037175789616,0,0,0,2.99573227355399,4.45434729625351,0,0,3.8286413964891,0,0,3.40119738166216,0,1.6094379124341,0,0,0,0,0.693147180559945,0,3.40119738166216,2.39789527279837,2.83321334405622,0,2.77258872223978,0,0,1
"43",0,0,5.47227067367148,0,0,0,0,0,0,0,0,0,0,3.2188758248682,1.38629436111989,0,6.93634273583405,0,0,0,0,0,0,0,0,0,4.23410650459726,5.27299955856375,0,3
"44",0,0.693147180559945,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,2.07944154167984,4.70048036579242,0
"45",0,0,2.19722457733622,0,0,0,0,4.21950770517611,0,0,0.693147180559945,0.693147180559945,0,2.19722457733622,0,0,2.30258509299405,0,0,0,0,0,0,0,0,1.6094379124341,2.83321334405622,2.56494935746154,0,1
"46",0,0,0,3.49650756146648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,2.484906649788,0,0,0,0,0
"47",2.63905732961526,0,0,6.2709884318583,2.77258872223978,0,0,3.73766961828337,0,0,0,3.46573590279973,0,0,0,1.79175946922805,0,2.94443897916644,6.0282785202307,1.09861228866811,0,1.6094379124341,3.36729582998647,0,5.41164605185504,0,0,4.23410650459726,7.49220304261874,1
"48",0.693147180559945,0,0,0,0,0,0,0,0,0,1.6094379124341,5.12989871492307,1.38629436111989,0,2.63905732961526,0,0,0,0,4.70953020131233,4.51085950651685,0,0,0,1.09861228866811,1.09861228866811,0,0,0,2
"49",0,0,3.76120011569356,0,0,0,0,0,0,0.693147180559945,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94017125272043,0,1
"50",5.06259503302697,0,0,0,0,0,3.61091791264422,0,0,0,4.11087386417331,0,2.30258509299405,0,0,0,0,0,0,0,3.66356164612965,0,1.38629436111989,0,0,2.94443897916644,0,0,0,1
"51",0,0,0,4.54329478227,0,0,0,2.07944154167984,0,0,0,0,0,3.97029191355212,0,0,0,0,0,0,0,0,0,0,0,5.04985600724954,0,0,0,0
"52",0,0,0,0,0.693147180559945,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09375020080676,0,0,0,0,0,0,4.77912349311153,0
"53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0
"54",1.09861228866811,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,5.06259503302697,1.09861228866811,0,0,0,0,0,0,3.68887945411394,0,0,0,0,0,0,0,0,0,0,0,0,3.68887945411394,0,0,0,5.5683445037611,0
"56",0,4.34380542185368,4.8283137373023,1.09861228866811,0,0,0,0,0,0,0,0,0,3.2188758248682,0,0,3.93182563272433,0,0,0,0,0,0,0,0,3.43398720448515,0,0,0,2
"57",0,2.484906649788,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,3.49650756146648,0,0,0,1.09861228866811,0,0,0,0.693147180559945,0,0,0,3.46573590279973,0,0,1
"58",0,0,0,0,0,0,0,3.09104245335832,0,0,0,0,0,0,2.30258509299405,3.73766961828337,0,0,0,3.43398720448515,0,0,0,1.38629436111989,0,0,2.07944154167984,0,0,0
"59",0,0,4.02535169073515,0,0,0,0,0,6.60258789218934,0,0,0,2.63905732961526,0,0,0,1.94591014905531,0,0,0,0,4.85203026391962,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73766961828337,3.76120011569356,0,2.70805020110221,0,0,4.85981240436167,2.19722457733622,0,0,0,0,0,0,1.6094379124341,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13549421592915,0,0,0,0
"62",1.38629436111989,0,0,0,0,0,0,3.89182029811063,0,0,0,6.62804137617953,4.53259949315326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"63",0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,3.85014760171006,1.09861228866811,0,4.65396035015752,0,4.79579054559674,0,0,0,0,0,0,6.10702288774225,1
"64",0,0,0,0,0,6.10702288774225,0,2.83321334405622,0,0,0,0.693147180559945,0,4.59511985013459,0,0,4.81218435537242,4.23410650459726,7.20266119652324,0,0,0,5.50125821054473,3.73766961828337,3.09104245335832,1.79175946922805,0,4.8283137373023,0,1
"65",0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0
