"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","bug","loc","bf","hcm"
"1",0,0,0,0,0,4.11087386417331,0,0,0.693147180559945,2.77258872223978,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,2.83321334405622,0,0,0,0,0,0,2.77258872223978,1,1.11258
"2",0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,6.19236248947487,1.94591014905531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,6.20050917404269,5,7.60794
"3",0,0,0,0,0,0,0,0,0,0,0,2.83321334405622,2.94443897916644,0,0,0,0,0,0,4.64439089914137,0,0,0,0,0,0,0,0,0,5.06890420222023,1,2.484906649788,3,6.44925
"4",3.49650756146648,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,1.09861228866811,2.07944154167984,0,0,0,2.94443897916644,0,0,0,0,0,0,0,0,0.693147180559945,0,1.6094379124341,0,3.0823
"5",0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,0,0,0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,1,0
"7",6.40687998606931,0,0.693147180559945,2.19722457733622,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,2.07944154167984,0,0.693147180559945,0,4.14313472639153,0,0,0,0,0,0,0,0,0,5.03695260241363,7,9.01949
"8",0,0.693147180559945,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,1.38629436111989,0,0,3.36729582998647,0,1.6094379124341,0,0,2.19722457733622,1,5.09157
"9",1.6094379124341,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,3.63758615972639,0,0.693147180559945,0,0,0,0,0,3.04452243772342,0,1,2.63905732961526,6,5.94951
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,3.91202300542815,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,3.8286413964891,0,2.07944154167984,1.79175946922805,0,3.09104245335832,2,5.76365
"11",1.38629436111989,0.693147180559945,0,6.9037472575846,0.693147180559945,0.693147180559945,0,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,2.94443897916644,1.94591014905531,0,0,0,0,0,0,0,0.693147180559945,0,1,4.35670882668959,3,6.44925
"12",3.97029191355212,0,0,0,4.99721227376411,0,0,3.40119738166216,0,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,3.2188758248682,1,1.27192
"13",0,0,0,0,0,4.12713438504509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,2.19722457733622,1,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"15",0,0,0,0,0,0,6.06145691892802,5.63121178182137,2.30258509299405,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1.09861228866811,0,2.39789527279837,0,0,0,4,4.84372
"16",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"17",4.77068462446567,0,0,3.2188758248682,3.68887945411394,0,3.71357206670431,0,0,4.57471097850338,2.70805020110221,2.19722457733622,3.55534806148941,0.693147180559945,4.89783979995091,0,4.23410650459726,7.71912984090673,5.03043792139244,5.26785815906333,0,0,8.536211197252,4.9416424226093,2.70805020110221,0,0,5.18178355029209,0,0,3,7.49886973397693,29,15.3228
"18",0,0,0.693147180559945,0,0,4.20469261939097,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30258509299405,1,0
"19",3.73766961828337,0,4.07753744390572,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,3.91202300542815,5.63478960316925,0,0,0.693147180559945,2.19722457733622,2.19722457733622,2.30258509299405,0,4.14313472639153,3.68887945411394,0,5.58724865840025,0,0,0,4.79579054559674,4,7.7601
"20",0,0,4.54329478227,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,3.2188758248682,0,0,0,0.693147180559945,0,0,0,0,0,0,2.77258872223978,1,3.36934
"21",0,0,0,0,3.68887945411394,0,0,0,0,0,1.09861228866811,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,5.82600010738045,0,0,0,0,0,0,1,0,1,1.05668
"22",0,0,0,0,0.693147180559945,4.0943445622221,0,0,1.38629436111989,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,3.52636052461616,0,0,0,0,0,0,0,0,3.43398720448515,1,0
"23",0,0,2.94443897916644,0,0,0,0,4.70048036579242,0,0,5.78689738136671,0,0,0.693147180559945,2.19722457733622,0,4.33073334028633,4.45434729625351,3.46573590279973,0,4.20469261939097,2.63905732961526,0,0,0.693147180559945,4.34380542185368,0,4.58496747867057,0,0,0,5.01063529409626,2,6.79581
"24",0,0,0,0,0,0,0,0,3.85014760171006,3.43398720448515,0,0,0,0,0,0,0,0,0,1.09861228866811,2.77258872223978,0,3.73766961828337,0,0,0.693147180559945,0,1.09861228866811,0.693147180559945,0,0,3.49650756146648,2,4.04276
"25",3.55534806148941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,0,1,4.64163
"26",0,0,0,0,0,0.693147180559945,0,0,3.8286413964891,0,0,2.56494935746154,2.484906649788,0,3.04452243772342,1.6094379124341,0,2.77258872223978,6.38856140554563,5.17048399503815,0,0,2.19722457733622,0,0,0,0,0,0,0,1,4.74493212836325,6,6.45548
"27",0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,0,1.79175946922805,5.62401750618734,2.39789527279837,0,1,4.43081679884331,3,4.27148
"28",0,0,0,0,0,0,0,0,0,0,0,4.27666611901606,0,2.94443897916644,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,4.24849524204936,0,4.39444915467244,0,2,4.18965474202643,1,0
"29",0,0,0,0,2.56494935746154,2.39789527279837,0,2.19722457733622,0,0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,2.39789527279837,0,0,0,1.79175946922805,0,0,0,0,0,2.07944154167984,0.693147180559945,0,1.6094379124341,1,1.45568
