"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","bug","loc","bf","hcm"
"1",0,0,0,0,0,2.30258509299405,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,2.07944154167984,0,0,0,0,0,0,0,4.30406509320417,0,0,0,0,0,0,2.77258872223978,1,1.11258
"2",1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,6.20050917404269,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,6.20050917404269,5,7.60794
"3",0,0,0,4.31748811353631,0,0,0,0,4.4188406077966,0,0,0,3.8286413964891,0,0,0,0,0,3.89182029811063,0,0,0,0,3.8286413964891,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,2.484906649788,3,6.44925
"4",3.63758615972639,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,2.484906649788,2.484906649788,0,0,0.693147180559945,0,0,0,0,0,0,0,1.6094379124341,0,3.0823
"5",0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95124371858143,0,0,0,0,0,0,1.94591014905531,1,0
"7",6.10031895202006,0,0,0,0,0,4.21950770517611,0,0,0,0,0,1.38629436111989,4.26267987704132,1.09861228866811,0,0,0,2.19722457733622,0.693147180559945,1.6094379124341,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0,4.44265125649032,0,0,5.03695260241363,7,9.01949
"8",0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,3.36729582998647,0,0,0,0,2.30258509299405,0,0,0,0,0,2.19722457733622,1,5.09157
"9",0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0.693147180559945,0,0,0,0,0,0,1.6094379124341,3.55534806148941,0,0,0,0,0,0,0,3.17805383034795,0,1,2.63905732961526,6,5.94951
"10",1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,4.64439089914137,0,0,0,0,1.09861228866811,0,0,0,0,0,3.09104245335832,2,5.76365
