"","V1","V2","V3","bug","loc","bf","hcm"
"1",0,0.693147180559945,4.54329478227,0,2.77258872223978,1,1.11258
"2",3.3322045101752,0,6.15697898558556,0,6.20050917404269,5,7.60794
"3",5.59842195899838,0,3.29583686600433,1,2.484906649788,3,6.44925
"4",3.2188758248682,0,3.68887945411394,0,1.6094379124341,0,3.0823
"5",0,1.38629436111989,0,0,0,1,0
"6",0,0,3.95124371858143,0,1.94591014905531,1,0
"7",6.06145691892802,5.27811465923052,4.15888308335967,0,5.03695260241363,7,9.01949
"8",0,3.73766961828337,0,0,2.19722457733622,1,5.09157
"9",2.63905732961526,4.00733318523247,1.38629436111989,1,2.63905732961526,6,5.94951
"10",0,4.65396035015752,1.79175946922805,0,3.09104245335832,2,5.76365
"11",6.89871453432999,3.78418963391826,0,1,4.35670882668959,3,6.44925
"12",3.76120011569356,0,5.29831736654804,0,3.2188758248682,1,1.27192
"13",0,0,4.17438726989564,0,2.19722457733622,1,0
"14",1.38629436111989,0,0,0,0,1,0
"15",6.55677835615804,3.3322045101752,0,0,0,4,4.84372
"16",1.38629436111989,0,0,0,0,1,0
"17",6.75576892198425,5.70044357339069,8.91449171019134,3,7.49886973397693,29,15.3228
"18",0,0,4.23410650459726,0,2.30258509299405,1,0
"19",4.02535169073515,4.64439089914137,6.49978704065585,0,4.79579054559674,4,7.7601
"20",4.00733318523247,0,4.24849524204936,0,2.77258872223978,1,3.36934
"21",2.39789527279837,0.693147180559945,5.91620206260743,1,0,1,1.05668
"22",2.30258509299405,0,4.53259949315326,0,3.43398720448515,1,0
"23",3.17805383034795,1.09861228866811,6.78105762593618,0,5.01063529409626,2,6.79581
"24",0,0,4.93447393313069,0,3.49650756146648,2,4.04276
"25",3.55534806148941,1.38629436111989,0,0,0,1,4.64163
"26",5.97888576490112,5.96100533962327,4.65396035015752,1,4.74493212836325,6,6.45548
"27",0,5.65248918026865,2.99573227355399,1,4.43081679884331,3,4.27148
"28",0,5.48063892334199,0,2,4.18965474202643,1,0
"29",1.09861228866811,1.38629436111989,3.95124371858143,0,1.6094379124341,1,1.45568
"30",2.07944154167984,0.693147180559945,5.65248918026865,0,4.30406509320417,3,5.03827
"31",0,0,1.38629436111989,0,0,1,0
"32",0,0,1.94591014905531,0,0,1,0
"33",0,4.85981240436167,0,0,3.3322045101752,1,0
"34",0,0,3.97029191355212,0,1.94591014905531,1,0
"35",1.38629436111989,0,0,0,0,1,0
"36",0,0,3.04452243772342,0,1.38629436111989,1,0
"37",1.38629436111989,0,0,0,0,1,0
"38",0,4.43081679884331,0.693147180559945,0,2.99573227355399,5,8.71607
"39",0,7.52402141520612,5.26785815906333,0,5.40267738187228,16,16.4888
