"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","bug","loc","bf","hcm"
"1",0,0,0,0,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,1.94591014905531,0,0,0,0,3.71357206670431,0,0,3.61091791264422,0,2.77258872223978,1,1.11258
"2",0,0,0,0,4.20469261939097,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95842469302978,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,3.80666248977032,0,0,6.20050917404269,5,7.60794
"3",0,0,2.19722457733622,0,0,0,0,0,0,0,3.80666248977032,0,0,3.3322045101752,0,0,0,1.6094379124341,0.693147180559945,0,0,0,0,0,0,0,5.26785815906333,0,0,0,0,0,0,0,0,0,0,0,0,2.94443897916644,1,2.484906649788,3,6.44925
"4",0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,2.63905732961526,0,0,2.83321334405622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,2.30258509299405,0.693147180559945,0,3.09104245335832,0.693147180559945,0,0,0,1.6094379124341,0,3.0823
"5",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99573227355399,0,0,3.36729582998647,0,1.94591014905531,1,0
"7",0,0.693147180559945,0,1.38629436111989,2.30258509299405,2.39789527279837,0,0,0,0,0,0,0,0,0,0,2.19722457733622,6.44888939414686,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,2.89037175789616,0,0,0,0,0,0,0,0,0,5.03695260241363,7,9.01949
"8",0,0,0,0,0,2.99573227355399,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,0.693147180559945,0,0,0,0,0,1.38629436111989,0,0,0,2.07944154167984,0,0,0,0,0,0,0,2.19722457733622,1,5.09157
"9",0,0,0.693147180559945,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07753744390572,0,0,0,0,0,1.6094379124341,0,0,1.6094379124341,0,1,2.63905732961526,6,5.94951
"10",0,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,4.17438726989564,0,0,0,1.6094379124341,0,0,3.29583686600433,0,0,0,0,0,0,0,0,0,0,0,3.09104245335832,2,5.76365
