"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","bug","loc","bf","hcm"
"1",0,0,0,0,2.19722457733622,0,0,0,2.30258509299405,0,0,0,0,4.17438726989564,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484906649788,0,0,0,0,0,0.693147180559945,0,0,2.77258872223978,1,1.11258
"2",0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1.79175946922805,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15485809401642,0,0,0,0.693147180559945,3.04452243772342,0,0,6.20050917404269,5,7.60794
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19849703126583,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,4.7361984483945,1,2.484906649788,3,6.44925
"4",2.63905732961526,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221,0,0,0,0,0,1.6094379124341,0,0,0,0,3.43398720448515,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.6094379124341,0,3.0823
"5",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,3.95124371858143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591014905531,1,0
"7",6.38350663488401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341,0,3.43398720448515,2.19722457733622,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,3.97029191355212,0,0,0,5.03695260241363,7,9.01949
"8",0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0,0,3.3322045101752,0,1.09861228866811,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,2.19722457733622,1,5.09157
"9",0,0.693147180559945,0.693147180559945,0,0,0,2.19722457733622,0,0,0,0,0,0,2.39789527279837,0,0,2.83321334405622,0,2.07944154167984,0,0,0,0,0,0,0,0,0,2.19722457733622,0,0,0,2.63905732961526,1.38629436111989,0,0,0,0,0,1.38629436111989,0,0,0,0,0,1,2.63905732961526,6,5.94951
"10",1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,3.29583686600433,0,0,0,0,0,0,0,1.09861228866811,2.56494935746154,4.07753744390572,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,3.09104245335832,2,5.76365
