file,V1,V2,V3,V4,V5,bug,loc,bf,hcm
ext::framework::a::importer::Activator,0,0,0,0,4.553876892,0,2.772588722,1,1.11258
org::eclipse::osgi::framework::internal::reliablefile::ReliableFile,3.912023005,0,0,0,6.109247583,0,6.200509174,5,7.60794
org::osgi::framework::ServiceEvent,4.890349128,5.099866428,0,0,0,1,2.48490665,3,6.44925
org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl,0,3.465735903,0,0,3.496507561,0,1.609437912,0,3.0823
substitutes::z::Fz,1.386294361,0,0,0,0,0,0,1,0
circularity::test::Activator,0,0,0,0,3.951243719,0,1.945910149,1,0
org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet,5.710427017,5.855071922,3.63758616,0,0,0,5.036952602,7,9.01949
org::eclipse::osgi::internal::module::BundleConstraint,0,0,3.737669618,0,0,0,2.197224577,1,5.09157
org::eclipse::osgi::internal::resolver::SystemState,1.791759469,2.890371758,3.871201011,0.693147181,0,1,2.63905733,6,5.94951
org::eclipse::osgi::internal::module::VersionSupplier,0,0.693147181,4.682131227,0,0.693147181,0,3.091042453,2,5.76365
org::osgi::framework::ServicePermission,6.839476438,4.615120517,0,0,0,1,4.356708827,3,6.44925
org::eclipse::osgi::framework::internal::core::FrameworkProperties,3.258096538,4.234106505,0,4.369447852,4.262679877,0,3.218875825,1,1.27192
nativetest::d::Activator,0,0,0,0,4.17438727,0,2.197224577,1,0
substitutes::y::Ay,1.386294361,0,0,0,0,0,0,1,0
org::eclipse::osgi::framework::internal::core::ConsoleMsg,0,6.541029999,3.610917913,0,1.098612289,0,0,4,4.84372
substitutes::x::Kx,1.386294361,0,0,0,0,0,0,1,0
org::eclipse::equinox::launcher::Main,5.902633333,4.753590191,3.80666249,8.916908468,6.421622268,3,7.498869734,29,15.3228
nativetest::b2::Activator,0,0,0,0,4.234106505,0,2.302585093,1,0
org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader,3.688879454,3.33220451,3.295836866,4.882801923,6.396929655,0,4.795790546,4,7.7601
org::eclipse::osgi::framework::internal::core::StartLevelEvent,0,4.477336814,0,0,3.610917913,0,2.772588722,1,3.36934
org::eclipse::equinox::internal::launcher::Constants,0,0,0,5.945420609,0,1,0,1,1.05668
org::eclipse::osgi::tests::appadmin::SimpleApp,0,2.890371758,0,2.890371758,4.219507705,0,3.433987204,1,0
org::eclipse::core::runtime::internal::stats::StatsManager,4.158883083,1.945910149,3.135494216,0,6.703188113,0,5.010635294,2,6.79581
org::eclipse::osgi::baseadaptor::bundlefile::DirZipBundleEntry,0.693147181,0,1.386294361,4.110873864,4.317488114,0,3.496507561,2,4.04276
org::eclipse::osgi::framework::internal::core::BundlePermissionCollection,3.258096538,2.302585093,1.386294361,0,0,0,0,1,4.64163
