"","V1","V2","V3","V4","V5","V6","bug","loc","bf","hcm"
"1",0,0,0,0,4.06044301054642,3.63758615972639,0,2.77258872223978,1,1.11258
"2",0,0,0,2.07944154167984,0,6.19847871649231,0,6.20050917404269,5,7.60794
"3",5.26785815906333,0,3.91202300542815,0,3.98898404656427,0,1,2.484906649788,3,6.44925
"4",0,0.693147180559945,3.29583686600433,0,0.693147180559945,3.58351893845611,0,1.6094379124341,0,3.0823
"5",0,0.693147180559945,1.09861228866811,0,0,0,0,0,1,0
"6",0,0,0,0,3.95124371858143,0,0,1.94591014905531,1,0
"7",3.46573590279973,2.07944154167984,6.47543271670409,0,0,0,0,5.03695260241363,7,9.01949
"8",1.38629436111989,0,3.55534806148941,0,0,1.6094379124341,0,2.19722457733622,1,5.09157
"9",1.38629436111989,0,3.66356164612965,0,3.13549421592915,2.07944154167984,1,2.63905732961526,6,5.94951
"10",0,0,4.40671924726425,3.36729582998647,0,0,0,3.09104245335832,2,5.76365
"11",5.76205138278018,0,6.57368016696065,0,0.693147180559945,0,1,4.35670882668959,3,6.44925
"12",4.95582705760126,0,2.99573227355399,3.17805383034795,0.693147180559945,4.06044301054642,0,3.2188758248682,1,1.27192
"13",0,0,0,0,4.17438726989564,0,0,2.19722457733622,1,0
"14",1.38629436111989,0,0,0,0,0,0,0,1,0
"15",0,6.59167373200866,0,0,0,1.09861228866811,0,0,4,4.84372
"16",1.38629436111989,0,0,0,0,0,0,0,1,0
"17",5.47646355193151,4.96284463025991,4.4188406077966,8.93102321585603,5.54126354515843,5.75890177387728,3,7.49886973397693,29,15.3228
"18",0,0,0,0,4.23410650459726,0,0,2.30258509299405,1,0
"19",2.63905732961526,0,4.12713438504509,3.80666248977032,4.75359019110636,6.38012253689976,0,4.79579054559674,4,7.7601
"20",0,3.8286413964891,0,0,4.36944785246702,0,0,2.77258872223978,1,3.36934
"21",0.693147180559945,0,0,5.9427993751267,0,0,1,0,1,1.05668
"22",0,2.30258509299405,0,0,4.27666611901606,3.09104245335832,0,3.43398720448515,1,0
"23",4.80402104473326,1.94591014905531,0,0.693147180559945,4.21950770517611,6.56667242980324,0,5.01063529409626,2,6.79581
"24",0,0,0,4.21950770517611,3.09104245335832,3.93182563272433,0,3.49650756146648,2,4.04276
"25",0,0,3.63758615972639,0,0,0,0,0,1,4.64163
"26",4.99721227376411,0,0.693147180559945,6.60394382460047,0,0,1,4.74493212836325,6,6.45548
"27",0,0,4.85981240436167,0.693147180559945,1.94591014905531,5.12989871492307,1,4.43081679884331,3,4.27148
"28",0,0,5.42934562895444,2.56494935746154,0,0,2,4.18965474202643,1,0
"29",0,2.77258872223978,0,0,2.83321334405622,3.25809653802148,0,1.6094379124341,1,1.45568
"30",0,2.94443897916644,0,0,2.70805020110221,5.56452040732269,0,4.30406509320417,3,5.03827
"31",0,0,0,0,1.38629436111989,0,0,0,1,0
"32",0,0,0,0,0,1.94591014905531,0,0,1,0
"33",0,0,0,4.76217393479776,2.19722457733622,1.6094379124341,0,3.3322045101752,1,0
"34",0,0,0,0,3.97029191355212,0,0,1.94591014905531,1,0
"35",1.38629436111989,0,0,0,0,0,0,0,1,0
"36",0,0,0,0,2.484906649788,2.30258509299405,0,1.38629436111989,1,0
"37",1.09861228866811,0.693147180559945,0,0,0,0,0,0,1,0
"38",0.693147180559945,0,4.39444915467244,0,1.38629436111989,0,0,2.99573227355399,5,8.71607
"39",0,0,7.11232744471091,5.20948615284142,0,6.45676965557216,0,5.40267738187228,16,16.4888
"40",5.6970934865054,6.84374994900622,3.13549421592915,0,7.24279792279376,4.17438726989564,4,6.06610809010375,14,16.8929
"41",4.72738781871234,2.63905732961526,0,1.79175946922805,6.25575004175337,0,0,4.61512051684126,6,7.43856
"42",0,4.29045944114839,3.98898404656427,4.15888308335967,4.72738781871234,0,1,0,7,10.0342
"43",0,1.09861228866811,6.96413561241824,1.09861228866811,0,6.20253551718792,3,6.05443934626937,24,21.7572
"44",0,0,0,0,0.693147180559945,4.79579054559674,0,3.80666248977032,2,3.20237
"45",0,4.43081679884331,3.61091791264422,0,0,2.07944154167984,1,0,8,10.6126
"46",0,0,0,0,2.30258509299405,3.61091791264422,0,2.39789527279837,0,3.36934
"47",4.61512051684126,0.693147180559945,0,5.35658627467201,3.40119738166216,7.952615111651,1,6.22257626807137,3,5.51058
"48",2.70805020110221,0,4.7361984483945,0,5.58724865840025,0,2,2.77258872223978,3,7.55192
"49",0,0,6.05443934626937,0,0,0,1,4.56434819146784,4,8.38997
"50",4.23410650459726,1.6094379124341,4.00733318523247,0,5.27811465923052,0,1,4.02535169073515,2,5.57623
"51",3.40119738166216,0,0,5.43372200355424,0,3.93182563272433,0,4.59511985013459,2,4.89304
"52",0.693147180559945,0,0,4.29045944114839,0,5.35185813347607,0,4.14313472639153,3,5.00534
"53",0,0,0,0,0,1.79175946922805,0,0,1,0
"54",0,0,1.38629436111989,0,0,0,0,0,1,0
"55",0,0,0,1.38629436111989,0,6.20657592672493,0,4.00733318523247,3,5.63536
"56",2.83321334405622,0,5.64897423816121,2.07944154167984,0,0,2,4.15888308335967,5,11.4018
"57",0,0,3.61091791264422,0,0.693147180559945,3.95124371858143,1,3.46573590279973,5,6.46017
"58",3.25809653802148,0,0,3.2188758248682,4.0943445622221,1.38629436111989,0,2.94443897916644,1,0
"59",0,6.78558764500793,3.98898404656427,0,0,0,0,5.24174701505964,9,10.3796
"60",0,0,1.09861228866811,0,3.66356164612965,5.28826703069454,0,4.30406509320417,1,1.80545
"61",0,0,0,0,1.6094379124341,2.94443897916644,0,1.38629436111989,1,0
"62",4.59511985013459,0,6.68586094706836,0,0,0,1,5.38449506278909,3,7.23572
"63",5.31811999384422,0,0.693147180559945,1.79175946922805,4.33073334028633,6.08904487544685,1,4.83628190695148,4,10.1322
"64",0,6.09356977004514,5.65599181081985,7.33171496972647,5.54517744447956,3.09104245335832,1,6.00141487796115,4,8.19537
"65",0,0,0,0,0,1.94591014905531,0,0,1,0
"66",3.46573590279973,4.47733681447821,4.17438726989564,0,5.9427993751267,2.56494935746154,3,5.04985600724954,6,3.66794
