"","V1","V2","V3","V4","V5","V6","V7","bug","loc","bf","hcm"
"1",0,0,0,0,0,0,4.55387689160054,0,2.77258872223978,1,1.11258
"2",0,0,0,0.693147180559945,6.21060007702465,0,0,0,6.20050917404269,5,7.60794
"3",4.85981240436167,0,5.12396397940326,0,0,0,0,1,2.484906649788,3,6.44925
"4",0,0.693147180559945,3.80666248977032,1.6094379124341,0,0,2.70805020110221,0,1.6094379124341,0,3.0823
"5",1.09861228866811,0,0.693147180559945,0,0,0,0,0,0,1,0
"6",0,0,0,0,0,0,3.95124371858143,0,1.94591014905531,1,0
"7",1.38629436111989,1.09861228866811,6.4723462945009,1.79175946922805,0,0,3.43398720448515,0,5.03695260241363,7,9.01949
"8",1.38629436111989,0,0,3.66356164612965,0,0,0,0,2.19722457733622,1,5.09157
"9",1.94591014905531,0,0,3.68887945411394,0,0,3.25809653802148,1,2.63905732961526,6,5.94951
"10",0,0,0,4.49980967033027,0,0,3.04452243772342,0,3.09104245335832,2,5.76365
"11",4.54329478227,0,6.84694313958538,0,0,0,0,1,4.35670882668959,3,6.44925
"12",4.71849887129509,0,4.06044301054642,0,0,4.27666611901606,1.09861228866811,0,3.2188758248682,1,1.27192
"13",0,1.94591014905531,0,0,0,0,4.07753744390572,0,2.19722457733622,1,0
"14",1.09861228866811,0,0.693147180559945,0,0,0,0,0,0,1,0
"15",0,6.58479139238572,1.09861228866811,1.38629436111989,0,1.09861228866811,0,0,0,4,4.84372
"16",1.38629436111989,0,0,0,0,0,0,0,0,1,0
"17",3.76120011569356,5.03043792139244,5.36129216570943,2.07944154167984,6.65801104587075,8.88072457615146,5.36129216570943,3,7.49886973397693,29,15.3228
"18",0,0,1.94591014905531,0,0,1.94591014905531,4.04305126783455,0,2.30258509299405,1,0
"19",1.09861228866811,0,4.36944785246702,0,4.27666611901606,4.63472898822964,6.3456363608286,0,4.79579054559674,4,7.7601
"20",0,4.20469261939097,3.97029191355212,0,0,0,1.79175946922805,0,2.77258872223978,1,3.36934
"21",0,1.09861228866811,0,0,0,5.94017125272043,0,1,0,1,1.05668
"22",0,2.07944154167984,0,0,0,3.3322045101752,4.21950770517611,0,3.43398720448515,1,0
"23",4.26267987704132,2.30258509299405,0.693147180559945,0,3.13549421592915,3.71357206670431,6.63856778916652,0,5.01063529409626,2,6.79581
"24",0,0,1.6094379124341,1.38629436111989,4.33073334028633,3.58351893845611,3.09104245335832,0,3.49650756146648,2,4.04276
"25",0,0,3.58351893845611,0,1.09861228866811,0,0,0,0,1,4.64163
"26",0,0,4.67282883446191,2.83321334405622,6.55677835615804,4.11087386417331,0,1,4.74493212836325,6,6.45548
"27",0,0,1.6094379124341,5.12396397940326,0,0,4.89034912822175,1,4.43081679884331,3,4.27148
"28",0,0,0,5.46806014113513,1.38629436111989,0,0,2,4.18965474202643,1,0
"29",0,1.94591014905531,0,2.39789527279837,0,0,3.71357206670431,0,1.6094379124341,1,1.45568
"30",0,2.484906649788,0,0,3.25809653802148,3.68887945411394,5.38449506278909,0,4.30406509320417,3,5.03827
"31",0,0,0,0,0,0,1.38629436111989,0,0,1,0
"32",0,0,0,0,0.693147180559945,1.79175946922805,0,0,0,1,0
"33",0,0,0,0.693147180559945,4.85203026391962,0,0,0,3.3322045101752,1,0
"34",0,0,1.09861228866811,0,0,0,3.93182563272433,0,1.94591014905531,1,0
"35",1.38629436111989,0,0,0,0,0,0,0,0,1,0
"36",0,0,0,0,0,2.83321334405622,1.6094379124341,0,1.38629436111989,1,0
"37",1.09861228866811,0,0,0,0,0.693147180559945,0,0,0,1,0
"38",0.693147180559945,0,0,4.4188406077966,0,0,0.693147180559945,0,2.99573227355399,5,8.71607
"39",0,0,0,7.45066079621154,5.08759633523238,0,5.0998664278242,0,5.40267738187228,16,16.4888
"40",5.53338948872752,7.38274644973891,6.06145691892802,0,1.79175946922805,0,6.05443934626937,4,6.06610809010375,14,16.8929
"41",4.43081679884331,3.89182029811063,0,0,0,6.06842558824411,4.48863636973214,0,4.61512051684126,6,7.43856
"42",4.04305126783455,4.47733681447821,2.77258872223978,3.66356164612965,0,4.38202663467388,3.25809653802148,1,0,7,10.0342
"43",0,0,0,7.22037383672395,0,0,5.24174701505964,3,6.05443934626937,24,21.7572
"44",0,0,0,0,1.6094379124341,0.693147180559945,4.76217393479776,0,3.80666248977032,2,3.20237
"45",0,3.52636052461616,0,4.23410650459726,0.693147180559945,3.2188758248682,0,1,0,8,10.6126
"46",0,0,0,0,3.04452243772342,0,3.25809653802148,0,2.39789527279837,0,3.36934
"47",3.52636052461616,1.09861228866811,0.693147180559945,0,7.75833346749091,0.693147180559945,6.69332366826995,1,6.22257626807137,3,5.51058
"48",2.63905732961526,4.11087386417331,5.77144112313002,0,0,0,0,2,2.77258872223978,3,7.55192
"49",0,0,2.39789527279837,6.03068526026126,0,0,0,1,4.56434819146784,4,8.38997
"50",4.59511985013459,4.35670882668959,4.29045944114839,0,0,0,4.31748811353631,1,4.02535169073515,2,5.57623
"51",3.89182029811063,3.29583686600433,2.39789527279837,5.03043792139244,4.27666611901606,0,0,0,4.59511985013459,2,4.89304
"52",0.693147180559945,0,0,0.693147180559945,5.17614973257383,4.17438726989564,3.73766961828337,0,4.14313472639153,3,5.00534
"53",0,0,0,0,0,1.79175946922805,0,0,0,1,0
"54",1.38629436111989,0,0,0,0,0,0,0,0,1,0
