"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","manifest","loader","console","service","bundle","path","event","content","bundle","file"
"2","log","source","intp","permission","description","file","index","handler","framework","storage"
"3","string","debug","command","code","resolver","location","dn","signed","context","data"
"4","version","resource","msg","permissions","export","hook","listener","entry","adaptor","stream"
"5","option","filter","help","context","bundles","url","listeners","url","event","write"
"6","profile","find","print","bundle","exports","base","pattern","signer","start","read"
"7","debug","vertex","bundle","action","generic","classpath","list","certificate","debug","out"
"8","key","value2","interpreter","reference","state","entry","version","digest","level","ioexception"
"9","header","result","println","services","requires","prop","end","urlstream","bundles","state"
"10","element","element","startlevel","mask","constraint","dir","chain","file","state","output"
"11","properties","proxy","admin","listener","supplier","string","array","engine","loader","manager"
"12","time","resources","token","registration","version","install","cause","trust","manager","managed"
"13","options","local","bundles","filter","imports","properties","max","cert","activator","input"
"14","alias","name","message","actions","resolved","configuration","start","protocol","stats","files"
"15","attribute","hash","description","condition","specification","plugin","bits","anchor","link","bundle"
"16","eclipse","parent","arg","object","impl","os","queue","info","exception","lazy"
"17","value","keyed","service","li","suppliers","splash","thread","factory","eclipse","reliable"
"18","args","search","arguments","conditional","fragment","property","c","certs","stack","lock"
"19","constants","pos","next","tracker","host","eclipse","param","authorization","tests","base"
"20","nls","elements","argument","cond","platform","hooks","buffer","tracker","hooks","writer"
