"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","debug","code","context","console","action","service","description","manifest","content","index","permission","location","hook","bundle","file"
"2","properties","permission","bundle","intp","reliable","debug","resolver","version","entry","dn","event","file","storage","loader","stream"
"3","context","service","bundles","command","mask","filter","bundle","key","signed","log","bundle","url","data","source","write"
"4","system","actions","element","msg","exception","bundle","state","constants","handler","buffer","permissions","path","adaptor","resource","read"
"5","framework","tracker","event","help","code","context","export","string","url","version","conditional","args","bundle","name","ioexception"
"6","option","object","vertex","print","message","listener","generic","element","signer","append","cond","properties","hooks","result","out"
"7","time","tracked","tests","println","cause","link","exports","value","trust","array","info","nls","base","classpath","input"
"8","options","pos","list","bundle","filter","services","version","list","file","end","level","non","plugin","proxy","managed"
"9","profile","reference","elements","interpreter","append","reference","constraint","header","certificate","offset","perm","prop","framework","find","output"
"10","log","mask","start","startlevel","bp","registration","requires","attributes","digest","max","listeners","string","eclipse","stats","lock"
"11","property","condition","results","nls","3","event","supplier","directive","urlstream","pattern","listener","log","file","fragment","files"
"12","osgi","p","simple","token","throwable","nls","imports","attribute","info","start","debug","property","entry","pkg","manager"
"13","admin","encoded","add","message","field","exception","specification","store","path","string","start","os","path","packages","dir"
"14","x","type","keyed","admin","sb","framework","impl","result","factory","bits","bundles","splash","error","fragments","zip"
"15","flag","customizer","activator","non","t","non","resolved","alias","engine","0","infos","install","state","list","path"
"16","print","permissions","hash","bundles","param","object","bundles","array","anchor","data","conflict","eclipse","extension","null","data"
"17","register","args","array","description","target","impl","platform","values","cert","chain","check","configuration","location","bundles","entry"
"18","scope","quot","exception","next","collection","value2","lazy","headers","protocol","sb","list","config","manifest","resources","open"
"19","prop","c","key","service","read","li","roots","next","tracker","c","thread","area","bundledata","classloader","directory"
"20","non","info","framework","level","p","println","host","configurators","entries","entry","queue","1","loader","policy","storage"
