"","V1","V2"
"1","description","file"
"2","permission","url"
"3","console","entry"
"4","resolver","adaptor"
"5","intp","path"
"6","command","storage"
"7","bundle","hook"
"8","export","content"
"9","service","handler"
"10","exports","signed"
"11","code","ioexception"
"12","generic","log"
"13","packages","stream"
"14","admin","eclipse"
"15","filter","hooks"
"16","resolved","base"
"17","constraint","plugin"
"18","services","string"
"19","requires","manager"
"20","supplier","classpath"
