"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","manifest","dn","write","bundle","console","storage","debug","debug","permission","resolver","hook","log","digest","service","description","url","manifest","start","bundle","file"
"2","version","type","out","loader","intp","state","element","filter","code","bundle","content","entry","reliable","listener","bundle","handler","plugin","bundle","source","stream"
"3","list","chain","read","context","command","data","bits","bundle","permissions","requires","entry","time","end","event","version","location","constants","bundles","packages","entry"
"4","key","alias","mask","event","msg","bundle","elements","link","info","export","signed","profile","index","context","state","path","string","framework","proxy","ioexception"
"5","value","certificate","action","resource","help","adaptor","option","exception","conditional","constraint","file","startup","content","reference","generic","file","eclipse","level","pkg","path"
"6","array","store","code","vertex","print","location","index","li","condition","imports","classpath","framework","offset","tracker","impl","prop","attributes","stats","name","managed"
"7","header","pattern","stream","find","bundle","base","options","nls","actions","supplier","hooks","prop","authorization","object","platform","args","version","event","loader","output"
"8","element","trust","lazy","fragments","println","hook","param","permission","cond","exports","signer","message","algorithm","services","bundles","property","library","stack","result","dir"
"9","object","anchor","input","tests","interpreter","extension","keyed","value2","collection","suppliers","base","writer","signature","code","specification","splash","element","trace","description","files"
"10","headers","index","data","parent","admin","error","x","tt","perm","roots","info","nls","str","registration","set","install","nls","activation","null","lock"
"11","values","c","sb","fragment","message","system","field","println","pos","fragment","bundle","non","start","use","result","urlstream","name","startlevel","required","input"
"12","attribute","cert","object","source","token","lazy","result","s","encoded","selected","adaptor","properties","bp","tracked","range","properties","adaptor","sl","list","zip"
"13","properties","match","ioexception","activator","nls","manager","false","non","admin","list","storage","file","buffer","listeners","exports","nls","non","policy","exported","manager"
"14","next","rdn","output","framework","service","time","remove","impl","bundle","j","loading","platform","step","list","disabled","protocol","converter","active","export","read"
"15","component","list","filter","exception","arg","debug","user","code","conditions","bundles","trust","scope","code","thread","export","config","equals","system","dependents","directory"
"16","code","exception","reader","url","startlevel","framework","hash","state","implied","array","registry","stack","string","references","delta","adaptor","info","initial","length","open"
"17","keys","cn","num","results","bundles","stamp","j","pos","name","generic","path","1","segments","framework","resolved","os","generated","debug","size","bundle"
"18","p","legacy","socket","name","next","paths","data","invalid","param","resolved","baseadaptor","write","structure","factory","constants","configuration","location","refresh","sources","param"
"19","elements","engine","target","ext","arguments","type","set","operation","p","length","engine","buffer","cert","ranking","host","non","lib","manager","hosts","io"
"20","string","array","table","classloader","description","policy","key","3","conds","fragments","data","string","length","register","symbolic","string","1","installed","bundles","close"
