"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","array","factory","service","state","debug","console","manifest","content","debug","bundle","code","bundle","file","entry","plugin","log","event","bundle","context","location","url","loader","dn","permission","file"
"2","object","log","reference","description","filter","intp","constants","signed","options","link","permission","resolver","stream","classpath","os","max","listener","start","bundle","file","handler","hook","stats","permissions","storage"
"3","element","string","code","lazy","vertex","command","version","signer","option","state","mask","description","write","trust","entry","version","thread","bundles","adaptor","path","protocol","hooks","bits","cond","data"
"4","key","profile","services","data","value2","bundle","bundle","digest","element","exception","action","export","output","bundle","name","message","listeners","level","eclipse","prop","urlstream","bundle","pattern","conditional","bundle"
"5","list","filter","context","read","nls","help","directive","entry","tt","li","actions","exports","input","base","manifest","cause","object","framework","framework","properties","path","name","chain","info","manager"
"6","value","configurators","tracker","bundle","pos","print","attribute","info","print","permission","pos","bundles","out","path","info","string","list","debug","log","install","file","source","index","perm","managed"
"7","version","osgi","object","impl","non","msg","string","certificate","println","resource","encoded","supplier","ioexception","file","string","severity","queue","event","osgi","configuration","splash","storage","trace","out","path"
"8","size","sb","registration","platform","operation","println","require","certs","elements","admin","name","constraint","entry","store","nls","range","manager","startlevel","tests","args","string","adaptor","array","infos","lock"
"9","values","framework","tracked","disabled","code","interpreter","header","offset","nls","s","p","generic","reliable","entries","attributes","code","context","sl","event","property","reference","result","classes","collection","base"
"10","exception","prop","filter","result","lt","token","symbolic","infos","x","context","condition","requires","read","domain","time","min","tracker","installed","service","manifest","net","find","stack","perms","dir"
"11","param","scope","use","time","gt","admin","result","authorization","hash","activator","object","imports","writer","data","element","throwable","factory","refresh","properties","result","host","resource","j","condition","files"
"12","p","properties","references","system","println","message","range","tsa","key","valid","permissions","specification","action","certificate","non","count","param","active","bundles","config","e","loading","result","conds","adaptor"
"13","privileged","append","ranking","resolved","value1","nls","error","cert","count","check","c","version","open","engine","log","buffer","dispatcher","status","admin","base","urlexception","manager","name","conditions","zip"
"14","next","type","impl","set","object","description","nls","signers","keyed","bundledata","filter","j","close","alias","equals","c","handler","started","org","nls","port","parent","data","write","directory"
"15","string","nls","customizer","stamp","3","next","type","algorithm","param","resolved","info","list","name","hook","buffer","left","action","tt","system","constants","malformed","url","classloader","assigned","read"
"16","elements","os","track","version","2","bundles","key","hook","false","location","x","array","param","cp","append","given","dispatch","println","platform","non","id","null","loading","security","ioexception"
"17","minor","match","bundle","reader","compare","arguments","export","file","user","change","collection","host","io","anchor","state","segments","clazz","symbolic","startup","string","method","proxy","rdn","satisfied","extension"
"18","headers","flag","clazzes","info","impl","arg","equals","end","use","uninstalled","quot","suppliers","size","baseadaptor","version","cur","events","activation","simple","area","library","framework","end","storage","stream"
"19","qualifier","non","socket","load","graph","s","resolution","signature","keys","stop","license","length","reader","key","library","include","service","system","name","eclipse","entry","pkg","loaded","bundle","id"
"20","header","invalid","registered","write","approx","startlevel","provide","verify","out","privileged","param","resolved","e","bundlefile","converter","index","parent","initial","results","parent","hash","resources","list","impl","open"
