"","V1","V2","V3"
"1","console","resolver","file"
"2","intp","description","url"
"3","service","export","path"
"4","command","signed","adaptor"
"5","permission","generic","storage"
"6","code","version","entry"
"7","print","exports","hook"
"8","println","requires","handler"
"9","admin","constraint","manager"
"10","filter","supplier","base"
"11","param","impl","framework"
"12","services","imports","loader"
"13","msg","signer","event"
"14","help","result","context"
"15","listener","bundle","location"
"16","p","resolved","log"
"17","permissions","specification","eclipse"
"18","object","manifest","hooks"
"19","debug","state","plugin"
"20","context","suppliers","classpath"
