"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","permission","trust","start","code","state","context","console","string","file","file","debug","filter","vertex","export","element","signed","classpath","log","file","code","bundle","signer","location","handler","url","storage","resolver","loader","description","service"
"2","permissions","dn","level","permission","properties","bundle","intp","message","entry","stream","options","debug","code","packages","manifest","content","version","plugin","managed","version","state","info","url","url","entry","hook","bundle","source","state","event"
"3","cond","chain","framework","action","platform","event","command","error","digest","write","option","pos","cause","roots","key","certificate","lazy","args","lock","8","exception","content","file","urlstream","path","adaptor","constraint","name","bundle","listener"
"4","conditional","pattern","bundles","mask","disabled","activator","help","bundle","path","read","nls","type","order","version","list","cert","entry","string","output","p","bundles","signed","path","content","adaptor","data","exports","resource","impl","context"
"5","info","store","debug","actions","system","tests","print","eclipse","zip","out","println","value2","stats","constants","value","certs","data","properties","files","minor","refresh","entry","prop","service","log","bundle","supplier","result","generic","reference"
"6","perm","anchor","event","tracker","lazy","stop","msg","append","index","input","link","nls","list","required","array","offset","hook","nls","manager","li","check","infos","install","reference","tracker","base","imports","bundle","set","object"
"7","security","engine","startlevel","tracked","info","simple","println","header","bundle","ioexception","permission","string","throwable","exports","elements","engine","loading","name","writer","3","link","tsa","property","factory","id","file","bundles","find","specification","registration"
"8","collection","certificate","sl","name","time","results","interpreter","nls","line","output","print","condition","loading","name","values","key","range","non","entry","qualifier","framework","signers","nls","protocol","file","hooks","requires","pkg","result","services"
"9","privileged","alias","system","object","stamp","org","bundle","activation","name","reliable","li","encoded","time","exported","size","authorization","base","entry","stream","index","resolved","results","configuration","tracker","eclipse","framework","export","null","version","use"
"10","perms","index","initial","p","description","osgi","nls","log","dir","data","tt","non","stack","dynamic","header","signature","domain","splash","string","major","fragment","bundles","config","string","spec","manifest","suppliers","proxy","delta","bundle"
"11","condition","rdn","bundle","customizer","resolver","exception","token","bind","string","bits","trace","code","exception","length","object","verify","hooks","manifest","locker","component","uninstalled","mdresults","dir","method","protocol","loader","list","policy","type","list"
"12","conditions","name","active","service","infos","start","admin","buffer","mf","count","time","append","segments","j","hash","bp","configurators","constants","max","4","fragments","impl","area","log","org","manager","description","resources","resolved","thread"
"13","conds","security","admin","permissions","policy","add","non","msg","mru","num","admin","value","loaded","alias","keys","step","entries","os","storage","see","installed","hash","result","port","osgi","location","fragment","parent","export","listeners"
"14","context","match","shutdown","collection","bundles","stopped","arguments","org","nested","reader","profile","operation","param","directive","remove","support","cp","library","ioexception","micro","resolve","name","1","java","urlconnection","extension","selected","local","host","references"
"15","infos","cn","installed","filter","ci","test","service","osgi","input","length","framework","syntax","next","requires","next","signer","manager","info","set","6","name","null","string","internal","framework","registry","generic","url","range","impl"
"16","assigned","argument","println","x","property","lazystart","bundles","root","lines","close","factory","impl","severity","results","attribute","exception","file","version","table","2","called","map","launcher","framework","substring","path","resolved","found","spec","framework"
"17","access","general","adaptor","quot","keys","started","description","field","str","code","x","gt","graph","bundle","headers","enforce","impl","1","given","identifier","symbolic","anchor","app","net","children","nothing","array","buddy","original","properties"
"18","action","listener","started","track","locale","framework","arg","name","start","table","stack","lt","classes","imports","index","algorithm","result","time","open","result","type","flags","base","os","java","osgi","host","string","capabilities","register"
"19","satisfied","pat","listener","socket","remove","eclipse","next","exported","end","tag","stats","info","end","aliases","set","structure","sourcedata","attributes","backup","lifecycle","bundledata","md","user","type","net","bundledata","j","classloader","code","queue"
"20","check","end","specified","admin","bundle","bundles","services","registered","sf","buffered","s","value1","trace","equals","keyed","date","list","stack","left","s","proxy","result","eclipse","proxy","error","log","length","description","symbolic","count"
