"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1","permission","trust","storage","service","state","loader","array","console","code","string","content","version","service","filter","action","export","vertex","entry","args","handler","digest","file","bits","event","bundle","bundle","location","manifest","plugin","bundle","resolver","stack","os","bundle","debug"
"2","debug","alias","data","reference","write","log","element","intp","permission","message","signed","string","context","debug","actions","bundle","code","classpath","adaptor","url","entry","stream","cause","listener","start","version","url","constants","name","context","bundle","stats","dn","state","bundle"
"3","conditional","anchor","hook","code","lazy","name","list","command","mask","error","signer","value","bundle","permission","code","generic","qualifier","hook","condition","urlstream","time","ioexception","data","listeners","bundles","description","file","headers","library","tests","constraint","trace","pattern","description","services"
"4","options","store","bundle","tracker","description","source","size","bundle","p","exception","info","header","registration","pos","bundle","description","object","path","context","protocol","log","output","offset","thread","framework","bundles","prop","osgi","attributes","event","supplier","time","chain","type","use"
"5","option","certificate","adaptor","tracked","read","framework","elements","help","string","msg","entry","attribute","framework","permissions","name","exports","next","file","type","factory","profile","entry","content","manager","level","platform","path","type","string","results","roots","loading","index","delta","reference"
"6","cond","suppliers","file","object","out","parent","key","msg","c","eclipse","infos","key","link","value2","collection","packages","major","hooks","framework","net","string","managed","8","queue","debug","disabled","properties","eclipse","version","osgi","bundles","activation","nl","result","registered"
"7","perm","engine","base","customizer","data","find","hash","print","param","field","engine","element","s","non","x","result","minor","bundle","cond","string","index","reliable","index","list","state","resolver","non","non","manifest","simple","imports","manager","non","impl","lock"
"8","info","cert","hooks","ranking","platform","null","keyed","println","quot","stack","bundle","range","factory","info","admin","name","component","loader","osgi","path","algorithm","lock","result","object","link","eclipse","property","lazy","converter","org","export","id","ws","set","clazz"
"9","security","key","debug","filter","impl","resource","index","interpreter","see","input","certificate","directive","object","nls","object","requires","graph","loading","micro","proxy","scope","zip","buffer","dispatcher","admin","supplier","install","adaptor","location","activator","fragment","startup","rdn","add","event"
"10","infos","security","location","track","version","system","length","admin","license","throwable","authorization","max","exception","encoded","sb","set","vertexes","base","cc","java","bp","files","end","dispatch","startlevel","info","string","lazystart","non","source","requires","loaded","value","original","properties"
"11","perms","chain","framework","services","specification","context","remove","non","severity","invalid","tsa","append","impl","condition","e","specification","list","entries","li","method","file","input","3","param","event","osgi","nls","dictionary","element","name","exports","classloader","string","file","println"
"12","conds","exception","dir","context","time","e","object","nls","str","method","signers","result","register","string","s","required","id","domain","arguments","host","step","write","j","events","exception","resolve","splash","framework","state","add","j","classes","name","change","remove"
"13","x","ioexception","manager","references","reader","adaptor","result","token","append","line","certs","separator","admin","type","6","imports","adjacent","cp","check","entry","end","read","structure","delivery","active","properties","args","generated","info","pkg","selected","load","nls","descriptions","published"
"14","system","processor","extension","socket","code","found","0","service","character","out","file","table","null","impl","obj","length","components","delegate","depth","service","start","open","6","action","permission","state","log","elements","nls","loader","suppliers","order","match","removed","size"
"15","admin","string","path","property","resolved","result","set","message","argument","bind","support","code","valid","gt","permissions","dynamic","time","manager","dict","urlconnection","cert","manager","bytes","item","sl","name","1","location","lib","framework","array","monitor","1","resolved","list"
"16","collection","possible","bundledata","tracking","stream","resources","add","bundles","whitespace","more","verify","keys","name","array","5","list","dfs","configurators","port","policy","prop","out","4","delivered","installed","policy","config","msg","1","start","constraints","name","end","changes","using"
"17","print","general","ioexception","initial","system","writer","null","next","matchlen","messages","results","segments","code","println","security","host","version","find","vector","null","signature","close","length","used","refresh","range","configuration","bind","eclipse","directive","list","bundle","arch","removal","mru"
"18","param","aliases","save","user","ioexception","non","capacity","arg","lifecycle","state","enforce","count","debug","operation","implies","pkg","illegal","baseadaptor","throwable","adaptor","accum","param","tag","synchronous","uninstalled","remove","area","nls","requires","friends","resolved","bundles","system","resolver","param"
"19","conditions","filter","baseadaptor","adding","keys","thread","enumeration","description","distributed","data","security","tt","filter","lt","4","fragments","identifier","result","component","internal","1","locker","2","copy","li","infos","dir","exception","runtime","bundles","resolve","thread","start","input","props"
"20","satisfied","match","registry","producer","stamp","ext","more","s","n","nested","mdresults","p","see","assigned","7","null","visit","bundlefile","sets","port","mf","io","non","null","resolved","base","system","parse","adaptor","constants","unresolved","start","cn","system","property"
