"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1","debug","adaptor","dn","start","code","bundle","hook","element","console","log","version","policy","zip","service","bundle","filter","args","permission","resolver","value","version","signed","description","plugin","os","file","service","bundle","signer","bundle","location","nls","offset","url","loader","bundle","classpath","handler","file","service"
"2","options","see","chain","level","write","resolver","storage","list","intp","entry","code","resource","bits","registration","link","debug","stats","permissions","export","key","manifest","content","state","manifest","string","stream","listener","debug","entry","state","url","non","index","string","source","description","entry","urlstream","dir","context"
"3","option","osgi","pos","bundle","out","supplier","data","vertex","command","message","exception","locale","data","user","state","nls","trace","conditional","requires","values","constants","trust","version","library","left","output","reference","loader","digest","disabled","file","eclipse","step","eclipse","name","bundles","path","content","path","bundle"
"4","time","used","condition","bundles","action","bundles","bundle","elements","bundle","stack","cause","headers","result","properties","exception","value2","encoded","cond","fragment","object","bundle","certificate","lazy","attributes","platform","managed","event","bundles","info","description","path","1","bp","osgi","result","resolved","tests","url","ioexception","debug"
"5","properties","framework","code","framework","mask","suppliers","hooks","object","help","writer","target","input","bytes","object","li","non","info","info","roots","p","directive","engine","specification","info","right","reliable","code","id","content","platform","prop","osgi","structure","adaptor","find","packages","base","factory","lock","services"
"6","profile","ioexception","pattern","event","actions","constraint","adaptor","array","print","severity","qualifier","more","j","key","permission","pos","stack","collection","imports","manifest","element","cert","generic","name","segments","ioexception","object","null","infos","resolver","install","args","end","org","null","exports","entries","log","bundle","event"
"7","x","dirty","alias","startlevel","object","resolve","base","keyed","msg","throwable","major","string","input","source","change","println","loaded","perm","exports","tt","append","anchor","impl","converter","index","files","tracker","symbolic","certs","system","splash","startup","buffer","java","proxy","export","domain","protocol","stream","framework"
"8","flag","location","type","debug","stream","j","file","hash","println","append","minor","method","8","value","admin","invalid","output","admin","bundle","field","attribute","store","read","state","append","input","thread","resource","tsa","info","nls","running","signature","location","found","add","bundle","method","read","use"
"9","system","returns","c","sl","output","selected","framework","next","interpreter","buffer","micro","policies","index","property","type","3","classloader","security","generic","header","result","authorization","set","element","count","entry","tracked","framework","signed","eclipse","properties","app","content","bundle","resources","list","cp","framework","directory","registration"
"10","print","param","index","system","name","matching","registry","size","nls","size","reference","bundle","substitutes","register","bundledata","operation","time","infos","constraint","size","string","security","data","generated","end","manager","context","name","algorithm","properties","1","application","sb","framework","parent","delta","find","adaptor","manager","impl"
"11","scope","problem","name","initial","socket","unresolved","extension","remove","admin","error","var","lines","6","unregister","s","2","classes","conditions","cycle","element","range","key","result","nls","equals","read","listeners","activation","file","time","result","line","berprocessor","net","resource","array","manager","tracker","input","object"
"12","log","classloader","rdn","active","x","version","configurators","key","message","framework","illegal","user","3","ranking","code","impl","loading","perms","list","array","list","file","range","version","buffer","table","references","host","signers","bundles","non","profile","tag","core","required","dependents","loader","e","null","s"
"13","nls","string","illegal","exception","sb","resolved","bundledata","code","token","code","invalid","find","4","producer","event","lt","arguments","context","array","keys","type","support","bundle","eclipse","original","storage","customizer","fragments","results","error","property","system","oid","protocol","dynamic","impl","simple","entry","exception","activator"
"14","dbg","fullarg","info","refresh","s","constraints","log","capacity","non","map","object","prompt","2","unregistered","ul","gt","array","implied","host","string","equals","verify","export","string","separator","open","list","fragment","time","osgi","config","runnable","over","urlconnection","bundle","size","resource","handlers","e","exception"
"15","property","link","match","listener","reader","rb","loader","iterator","next","param","component","parent","classbytes","using","activator","value1","monitor","conds","capability","headers","header","exception","supplier","adaptor","locale","write","queue","e","index","infos","configuration","log","current","entry","local","hosts","results","proxy","delete","reference"
"16","prop","match","argument","admin","quot","possible","parent","order","bundles","messages","store","stream","count","sb","uninstalled","object","writer","condition","results","table","generic","path","spec","stack","path","update","services","nls","mf","stamp","log","properties","ber","internal","pkg","0","file","parent","state","link"
"17","non","p","whitespace","adaptor","r","conflicts","manager","index","1","warning","string","o","length","contexts","start","compare","load","check","fragments","next","export","ioexception","platform","entry","paths","id","track","proxy","result","remove","area","os","nls","util","packages","null","add","net","files","factory"
"18","security","component","array","shutdown","matchlen","length","debug","add","service","err","argument","localization","loop","clone","stop","string","constructor","assigned","null","list","symbolic","enforce","length","runtime","given","close","see","publish","mdresults","admin","dir","framework","non","nothing","thread","result","data","null","secure","nls"
"19","logger","specified","end","installed","target","debug","loading","set","arg","index","identifier","ibuddy","0","keys","resolved","syntax","order","null","require","jar","nls","osgi","requires","non","character","generation","ranking","1","signing","ci","null","tokenizer","1","manifest","classloader","iter","sourcedata","set","false","registered"
"20","out","sets","append","lazy","e","nls","manifest","graph","s","given","out","result","modification","append","active","value","name","bundle","name","c","attributes","eclipse","dynamic","null","match","io","param","println","date","unsatisfied","base","cur","append","port","sources","set","bundlefile","multiplexing","exists","valid"
