"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1","permission","service","trust","level","socket","permission","bundles","storage","loader","console","dn","content","step","bundle","bits","debug","bundle","pos","bundle","code","filter","vertex","element","resolver","classpath","version","plugin","string","bundle","location","event","framework","state","string","content","manifest","path","url","file","resolver","stats","write","log","file","service"
"2","cond","code","signed","startlevel","console","code","bundle","hook","source","intp","pattern","type","bp","context","data","options","roots","code","delta","p","debug","object","key","export","entry","result","manifest","os","remove","log","listener","start","description","eclipse","signer","value","nls","handler","stream","bundle","bundles","out","entry","entry","context"
"3","conditional","tracker","engine","admin","print","action","properties","data","name","command","index","error","cert","tests","target","permission","link","encoded","policy","bundle","value2","code","elements","supplier","domain","read","location","array","iterator","file","list","bundle","bundle","version","signed","header","url","urlstream","output","bundles","trace","os","message","path","registration"
"4","info","reference","certificate","bundles","out","mask","platform","adaptor","bundle","msg","chain","dev","unsigned","event","result","option","state","condition","system","type","nls","component","returns","bundle","path","constants","attributes","path","current","prop","listeners","exception","lazy","osgi","entry","headers","1","protocol","managed","suppliers","bundle","string","writer","stream","reference"
"5","permissions","object","anchor","sl","input","actions","description","bundle","null","bundle","array","location","oid","activator","8","permissions","li","info","disabled","event","non","next","list","constraint","base","range","name","left","count","url","thread","event","data","adaptor","digest","list","non","factory","reliable","cycle","name","system","stack","ioexception","services"
"6","perm","tracked","content","bundle","reader","name","refresh","hooks","result","help","size","eclipse","berprocessor","simple","index","bundle","activator","type","time","license","operation","qualifier","loader","requires","entries","generic","element","segments","set","install","object","method","specification","name","info","string","buffer","adaptor","ioexception","resolved","policy","output","severity","zip","bundle"
"7","perms","filter","store","start","args","permissions","null","base","proxy","print","list","id","signature","results","j","admin","admin","c","type","condition","gt","list","specified","exports","file","description","converter","right","index","property","queue","level","set","nls","infos","element","dev","string","manager","resolve","dependents","ws","field","lock","debug"
"8","infos","references","alias","debug","buffered","bundle","system","file","resource","println","value","msg","attrs","osgi","bytes","print","resolved","string","impl","cause","lt","graph","param","imports","cp","export","state","start","iter","splash","manager","lazy","resolved","startup","file","attribute","ignore","net","read","conflict","classes","value","error","dir","listener"
"9","collection","customizer","authorization","listener","writer","object","framework","framework","find","interpreter","published","result","certificate","org","6","println","locale","args","removal","exported","value1","argument","loading","list","manager","suppliers","info","code","size","config","dispatcher","state","impl","properties","tsa","key","append","reference","input","state","stack","ioexception","throwable","read","framework"
"10","security","context","cert","tt","stream","p","length","location","parent","nls","rdn","org","over","add","4","framework","check","output","stamp","see","3","vertexes","size","fragment","loader","directive","version","given","hash","args","dispatch","installed","generic","framework","certs","exception","policy","log","table","constraints","symbolic","1","backup","directory","use"
"11","conds","invalid","chain","initial","osgi","filter","resolve","registry","pkg","admin","name","urlconnection","certificates","test","substitutes","nls","exception","append","changes","li","2","components","properties","j","find","impl","requires","original","keys","configuration","param","bundledata","exports","org","signers","array","result","method","storage","conflicts","order","stream","append","files","object"
"12","conditions","track","security","shutdown","line","collection","list","manager","packages","message","match","temp","ber","stop","3","non","stop","character","change","args","value","time","keyed","generic","data","null","string","end","num","area","events","active","host","non","index","elements","2","framework","files","unresolved","classloader","var","nls","input","properties"
"13","condition","services","support","specified","port","sb","0","extension","found","token","str","registrations","pkcs7","exception","y","x","context","whitespace","existing","packages","string","adjacent","value","length","bundle","set","library","character","add","profile","size","started","platform","internal","algorithm","dictionary","length","path","write","constraint","activation","nls","max","null","impl"
"14","context","minor","enforce","active","connections","x","array","configurators","resources","non","end","bind","exception","lazystart","symbolic","stack","localization","begin","state","deltas","println","dfs","privileged","array","protection","specification","nls","count","filter","nls","action","set","original","error","offset","directive","list","entry","open","nls","loading","arch","framework","e","ranking"
"15","check","major","key","nls","shutdown","s","infos","log","hash","service","c","osgi","lines","bundles","2","assigned","ul","cursor","info","distributed","impl","illegal","values","selected","loading","string","constants","separator","impl","properties","element","msg","reader","min","results","jar","offset","port","code","debug","time","args","session","bundle","s"
"16","satisfied","tracking","listener","stop","wait","quot","resolver","eclipse","index","argument","start","util","time","start","0","trace","uninstalled","name","removed","version","invalid","id","remove","null","hook","bundle","stack","device","input","entry","delivery","type","code","nl","name","null","found","java","update","multiple","list","prop","buffer","open","event"
"17","impl","adding","exception","sll","lock","string","info","osgi","required","next","cn","built","answer","eclipse","loop","dbg","s","constructor","resolver","framework","compare","order","array","0","hooks","0","equals","length","tag","non","copy","system","dynamic","service","str","tt","put","set","set","hosts","pkg","constants","depth","manager","registered"
"18","cpis","exception","ioexception","bytesread","framework","matchlen","result","parent","dynamic","arg","illegal","string","issuer","framework","digit","tt","worker","skip","context","under","object","values","add","host","resource","equals","generated","index","need","string","null","lang","required","constants","bytes","nls","boot","e","id","non","id","object","date","exception","register"
"19","cpi","being","general","classbytes","server","3","resolved","baseadaptor","list","1","argument","severity","structure","library","z","false","update","permission","pending","used","attr","iterator","property","matching","name","append","adaptor","match","limit","null","item","bind","descriptions","1","null","values","code","osgi","generation","combination","loaded","platform","size","action","factory"
"20","array","initial","null","launch","encoding","c","packages","debug","fragments","s","pat","hashtable","date","t","output","osgi","h5","hash","resolved","throwable","syntax","given","capacity","packages","result","supplier","runtime","paths","here","1","name","activation","disabled","missing","mdresults","line","system","file","out","imp","dependent","trailing","root","name","link"
