"","V1","V2","V3","V4","V5"
"1","code","service","bundle","content","file"
"2","permission","console","resolver","url","bundle"
"3","filter","intp","description","file","storage"
"4","mask","bundle","export","entry","hook"
"5","debug","command","bundles","handler","loader"
"6","pos","admin","version","path","manager"
"7","object","permission","generic","signed","data"
"8","action","context","exports","log","adaptor"
"9","p","services","state","plugin","hooks"
"10","actions","print","requires","location","classpath"
"11","dn","help","constraint","string","event"
"12","param","level","supplier","signer","write"
"13","c","bundles","imports","trust","entry"
"14","vertex","framework","result","certificate","stream"
"15","array","println","resolved","os","base"
"16","encoded","interpreter","specification","prop","ioexception"
"17","index","msg","j","args","output"
"18","condition","startlevel","packages","digest","path"
"19","value2","event","impl","splash","out"
"20","tracked","registration","suppliers","eclipse","context"
