"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1","permission","service","certificate","option","debug","lock","version","properties","storage","source","intp","service","code","read","console","bundle","log","bundle","roots","filter","permission","permission","bundle","resolver","value","manifest","signed","state","element","plugin","dn","bundle","startup","location","bundle","signer","version","write","digest","handler","array","url","file","loader","bundle","classpath","prop","description","file","service"
"2","cond","code","store","options","bundles","socket","qualifier","platform","hook","loader","bundle","services","mask","tracked","command","key","entry","debug","bits","debug","action","permissions","export","bundle","values","constants","content","lazy","index","string","pattern","context","framework","user","start","signed","range","out","offset","url","start","path","reliable","policy","bundles","entry","args","bundle","stream","event"
"3","conditional","tracker","trust","debug","refresh","stream","loaded","system","adaptor","name","command","list","service","count","string","headers","message","admin","j","pos","code","info","exports","bundles","c","element","engine","data","elements","manifest","chain","event","eclipse","area","level","entry","string","writer","content","content","end","string","stream","stats","symbolic","domain","result","state","entry","listener"
"4","perm","reference","anchor","time","system","locker","code","info","data","bundle","msg","context","r","track","help","manifest","x","framework","data","value2","actions","condition","resolver","resolve","object","directive","trust","description","hash","non","index","tests","log","dir","event","content","eclipse","output","algorithm","urlstream","buffer","file","output","stack","dependents","path","property","impl","path","object"
"5","perms","vertex","alias","profile","packages","out","minor","property","bundle","result","println","size","quot","result","arguments","resource","error","state","results","non","mask","encoded","generic","constraint","string","result","authorization","stamp","remove","nls","rdn","activator","adaptor","list","framework","info","description","ioexception","bp","factory","length","location","ioexception","trace","name","base","non","set","managed","registration"
"6","infos","object","chain","log","framework","ioexception","major","disabled","hooks","null","interpreter","references","see","tag","services","string","framework","permission","result","nls","name","type","requires","constraints","p","header","hook","impl","key","name","segments","exception","app","launcher","bundles","infos","platform","value","step","protocol","left","splash","input","proxy","osgi","loader","install","result","manager","use"
"7","info","customizer","cert","entry","length","input","micro","bundles","base","pkg","console","clazz","severity","adding","containing","url","print","link","importing","string","object","args","imports","cycle","array","version","context","num","set","os","match","privileged","application","thread","startlevel","tsa","supplier","stream","str","reference","code","base","code","classloader","add","cp","nls","delta","files","reference"
"8","conds","ranking","key","flag","version","reader","os","osgi","file","packages","print","array","param","cached","level","locale","non","exception","visited","impl","bundle","implied","description","conflict","list","string","bundle","platform","count","attributes","end","simple","profile","prop","link","cause","bundle","size","index","service","string","version","read","classes","description","file","1","specification","zip","listeners"
"9","conditions","references","security","scope","deltas","osgi","component","args","framework","proxy","admin","registration","comma","open","print","dictionary","stack","context","8","operation","admin","code","constraint","unresolved","field","attribute","file","load","array","info","cn","results","context","home","sl","certs","error","string","signature","log","value","1","b","activation","lazystart","entries","properties","type","ioexception","bundle"
"10","condition","filter","exception","dbg","exported","print","object","constants","location","resource","non","published","objects","skip","message","size","println","println","consistent","value","p","bundle","j","non","param","value","support","time","keyed","1","device","add","running","manager","active","signers","disabled","prop","cert","adaptor","object","nls","io","loading","list","bundle","config","resolved","output","context"
