"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
"1","perms","vertex","version","properties","level","name","permission","description","args","bundle","loader","console","service","string","storage","content","bundle","generic","debug","bundle","roots","filter","location","classpath","exports","offset","value","log","trust","bundle","description","os","state","bits","digest","policy","service","content","code","time","bundle","event","manifest","adaptor","log","url","directive","loader","resolver","write","nls","file","permission","file","debug"
"2","action","list","supplier","context","start","source","action","bundle","adaptor","framework","element","intp","registration","append","hook","signer","id","state","options","link","results","debug","os","entry","export","bp","values","entry","signed","description","state","platform","plugin","socket","version","bundle","reference","handler","p","log","dn","listener","plugin","log","properties","handler","constants","find","bundle","out","non","path","permissions","stream","bundle"
"3","privileged","object","suppliers","system","bundle","dynamic","mask","platform","osgi","state","proxy","command","context","array","data","signed","resource","description","option","exception","importing","pos","user","domain","requires","step","version","writer","certificate","delta","lazy","alias","name","input","entry","authorization","listener","factory","condition","profile","context","listeners","version","location","args","urlstream","key","name","bundles","stats","1","url","info","managed","event"
"4","exception","code","description","framework","bundles","find","code","bundles","segments","start","bundle","msg","services","buffer","base","info","symbolic","specification","x","state","matching","value2","dir","entries","imports","content","p","file","engine","bundles","read","processor","startup","data","max","name","tracker","type","exception","scope","tests","thread","constants","eclipse","arg","protocol","attributes","resource","constraint","trace","operation","prop","conditional","output","framework"
"5","access","graph","resolver","property","startlevel","bundles","actions","resolver","count","manager","source","help","reference","message","file","entry","path","version","print","permission","bundle","encoded","non","loading","resolver","structure","array","write","anchor","type","data","osname","stack","stream","range","context","code","parent","info","entry","event","list","header","framework","splash","entry","equals","classloader","cycle","output","value","location","cond","ioexception","nls"
"6","cond","next","constraint","osgi","sl","string","name","resolved","line","system","elements","print","impl","end","adaptor","infos","url","set","println","li","uses","c","properties","cp","fragment","signature","field","severity","cert","packages","impl","paths","eclipse","j","index","buddy","object","tracker","cause","flag","pattern","queue","element","service","entry","net","null","local","conflict","time","string","install","perm","entry","println"
"7","permission","id","bundle","key","event","id","collection","disabled","string","debug","result","println","bundle","start","hooks","tsa","host","impl","out","admin","consistent","gt","config","path","bundle","application","code","size","store","change","bundle","match","attributes","index","mf","bundles","tracked","clazz","param","logger","chain","manager","string","osgi","bundles","reference","eclipse","found","constraints","classes","2","configuration","collection","reliable","non"
"8","control","capacity","possible","object","framework","single","permissions","resolve","user","adaptor","hash","bundle","properties","error","bundle","signers","locale","bundle","monitor","activator","visited","impl","nls","hooks","list","oid","component","stack","security","refresh","result","aliases","library","result","end","admin","filter","proxy","type","prop","index","object","nls","context","prop","string","string","result","unresolved","loaded","equal","base","condition","lock","use"
"9","security","size","rb","headers","active","list","object","properties","original","lazy","keyed","interpreter","clazzes","length","registry","certs","file","original","false","resolved","used","lt","property","protection","length","berprocessor","c","text","content","state","specification","master","runtime","writer","manifest","dependents","context","handlers","see","accum","simple","dispatcher","list","method","result","java","result","manager","state","order","target","1","conds","read","object"
"10","controller","time","range","admin","ci","resources","x","list","device","time","pkg","nls","use","0","bundledata","certificate","key","result","nls","uninstalled","j","string","area","list","array","tag","element","message","key","impl","set","j","element","8","algorithm","disabled","services","internal","license","enter","activator","dispatch","attribute","nls","list","host","excludes","parent","conflicts","loading","parent","version","conditions","files","service"
"11","infos","vertexes","base","manager","installed","stems","sb","remove","framework","bundles","null","admin","list","index","configurators","length","org","spec","param","start","bytesread","value1","string","delegate","generic","attrs","key","backup","alias","resolved","generic","languages","info","bytes","str","null","customizer","built","returns","perf","results","param","type","exception","property","file","internal","fragments","imports","list","unsupported","splash","assigned","zip","exception"
"12","e","exception","false","org","started","results","c","add","p","nls","packages","token","unregistered","given","baseadaptor","results","set","create","dbg","check","length","object","url","base","0","unsigned","next","out","chain","exported","export","string","string","reader","min","policies","ranking","service","argument","dbg","add","delivery","generated","non","0","urlconnection","friends","resources","nls","start","properties","result","infos","manager","tt"
"13","locations","order","name","enforce","value","names","quot","next","constructor","length","required","non","published","invalid","dir","mdresults","result","export","stream","bundledata","classbytes","output","launcher","sourcedata","host","over","specified","value","exception","changes","version","aliased","requires","prompt","file","result","references","protocol","illegal","report","start","element","append","factory","dev","port","hook","load","multiple","bundles","internal","system","security","input","1"
"14","run","sort","specification","cc","initial","starts","t","array","segment","data","length","message","size","len","eclipse","signing","null","host","osgi","installed","exporting","3","constants","stats","constraint","ber","qualifier","throwable","support","info","bundles","ranges","runnable","6","line","results","track","prop","li","append","rdn","item","non","error","startup","real","name","url","resolve","string","indicating","string","impl","open","p"
"15","secure","initial","0","exception","unsatisfied","waiting","s","iterator","tok","context","sources","next","using","left","path","impl","string","range","eclipse","stop","selected","type","app","bundlefile","j","current","tt","non","file","result","platform","processors","equals","character","offset","load","adding","create","specified","exit","org","events","converter","org","console","connection","ee","data","j","activation","running","nls","admin","path","factory"
"16","ioexception","adjacent","length","security","method","hooks","matchlen","current","name","error","0","bundles","s","code","configured","flags","stream","capabilities","flag","s","required","println","home","lib","add","process","minor","nls","verify","removed","resolved","props","nls","output","start","ibuddy","tracking","framework","admin","nls","exception","copy","bundle","name","config","stream","includes","system","supplier","classloader","using","absolute","satisfied","directory","s"
"17","param","array","matching","internal","specified","pre","append","infos","answer","0","description","service","array","param","type","md","filters","name","activation","active","root","code","eclipse","add","packages","date","micro","append","algorithm","removal","reader","osversion","adaptor","2","sf","org","modified","action","distributed","data","test","action","0","runtime","url","path","storage","thread","require","stack","ws","separator","implied","dir","param"
"18","dev","argument","optional","dictionary","tt","library","6","system","bootdelegation","osgi","ext","description","object","bind","read","signedcontent","size","filter","prints","method","sub","compare","args","length","fragments","exception","major","ioexception","general","deltas","0","language","push","4","include","size","call","java","throwable","option","name","primary","info","register","initial","see","org","context","mode","length","constant","area","bundle","param","publish"
"19","same","dfs","org","util","admin","create","r","exports","1","activation","key","s","clazz","msg","location","result","properties","symbolic","trace","change","export","character","framework","result","name","sb","param","max","listener","added","load","code","id","disconnect","digests","requester","being","multiplexing","under","non","match","queued","location","1","profile","e","pkg","null","error","array","unknown","jar","array","close","count"
"20","calling","param","osgi","dict","launch","compound","5","impl","nls","status","index","arg","producer","right","osgi","exception","headers","resolution","non","context","supplier","invalid","file","0","null","certificates","table","error","ioexception","descriptions","object","lower","profile","buffered","rc","url","count","property","object","file","osgi","remove","value","entry","install","open","map","loaded","debug","end","such","null","cpis","locker","registered"
