"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1","dev","system","osgi","dn","admin","debug","console","permission","resolver","bundle","storage","string","intp","element","field","source","bundle","signer","services","state","debug","bundle","permission","code","os","dependents","list","bp","vertex","handler","version","key","adaptor","description","plugin","log","managed","signed","offset","service","event","bundle","event","fragment","context","args","manifest","bundle","element","url","constants","file","loader","array","classpath","location","log","write","file","service"
"2","location","exception","adaptor","chain","factories","filter","socket","action","bundle","resource","hook","console","console","value","message","producer","string","entry","headers","file","permission","state","info","pos","string","remove","policy","step","value2","url","bundle","certificate","framework","state","stack","profile","file","content","tag","reference","listener","bundles","exception","host","bundle","splash","plugin","delta","elements","path","directive","stream","source","length","entry","url","entry","out","entry","bundle"
"3","properties","param","nls","pattern","classbytes","nls","print","mask","constraint","properties","data","max","command","header","string","var","change","digest","bundle","system","permissions","exception","roots","filter","non","size","required","cert","code","content","name","store","log","bundle","state","time","manager","engine","buffer","code","list","start","cause","requires","tests","file","constants","description","key","index","name","output","bundle","end","manager","configuration","bits","lock","bundle","context"
"4","privileged","object","name","index","bytesread","non","out","actions","bundles","stats","bundle","append","bundle","attribute","alias","consumer","error","info","size","original","options","link","condition","string","nls","policy","object","certificates","object","urlstream","export","trust","eclipse","generic","name","startup","set","trust","non","tracker","listeners","framework","sl","exports","event","prop","string","type","keyed","id","equals","reliable","name","start","domain","install","writer","read","path","registration"
"5","run","property","registrations","rdn","security","println","stream","code","supplier","locale","hooks","help","msg","array","text","bsn","type","content","object","create","option","li","conditional","type","1","problem","bundles","attrs","version","factory","packages","exception","context","impl","library","entry","storage","bundle","structure","object","thread","level","level","imports","simple","path","version","impl","hash","protocol","key","ioexception","null","left","loader","area","data","ioexception","zip","listener"
"6","filter","manager","used","match","readcount","2","reader","name","export","trace","adaptor","description","print","list","index","generation","p","signed","location","time","admin","permission","cond","c","ws","requester","packages","unsigned","operation","protocol","result","anchor","osgi","set","attributes","non","id","authorization","content","tracked","queue","debug","throwable","generic","results","result","type","removal","set","substring","string","code","proxy","object","base","file","stack","stream","stream","debug"
"7","security","access","bootdelegation","cn","close","lt","args","bundle","suppliers","non","file","lines","help","directive","buffer","stored","link","infos","shutdown","manager","bundle","bundledata","infos","encoded","path","dependent","hash","signature","compare","string","length","cert","service","specification","info","nls","files","hook","iterator","customizer","object","startlevel","p","fragments","activator","url","nls","change","remove","spec","null","open","result","param","entries","nls","append","file","dir","services"
"8","controller","perms","quot","c","successor","string","writer","permissions","imports","classes","base","line","println","key","processor","id","activator","tsa","util","lazy","framework","resolved","perm","object","system","buddy","visited","pkcs7","qualifier","method","0","alias","error","version","requires","string","string","context","count","ranking","manager","admin","method","remaining","osgi","string","location","changes","size","adaptor","osgi","read","find","digests","loading","dir","bytes","table","input","event"
"9","mode","context","p","name","resolve","gt","framework","collection","description","id","framework","include","interpreter","result","str","store","see","certs","registered","stamp","x","code","conditions","append","separator","iter","results","certs","component","tracker","exported","security","entry","lazy","string","eclipse","base","file","sb","filter","dispatcher","refresh","param","frag","org","properties","write","resolved","null","host","eclipse","input","resource","right","cp","non","j","null","directory","use"
"10","require","framework","component","end","pkgs","disabled","osgi","object","j","url","extension","cur","nls","elements","osname","bl","invalid","signers","props","resolver","print","stop","conds","invalid","sb","add","add","over","equal","net","exports","chain","org","platform","equals","null","mode","support","current","services","dispatch","system","started","list","add","non","non","removed","capacity","last","ee","files","resources","code","find","property","result","input","ioexception","framework"
"11","e","privileged","fullarg","dnchain","oldbytes","value1","system","x","resolve","null","configurators","more","non","null","master","util","last","index","stop","stream","assigned","context","check","output","segments","connecting","contains","date","major","set","null","operation","properties","data","element","option","location","anchor","info","context","param","event","specified","res","exception","system","generated","disabled","index","net","internal","param","parent","string","result","prop","backup","output","action","object"
"12","development","control","1","list","allpermissions","impl","input","p","array","nls","debug","answer","admin","non","delimiter","interfaces","returns","name","memory","platform","println","uninstalled","array","license","constants","point","array","berprocessor","minor","type","symbolic","unsupported","hook","result","loaded","prop","instance","enforce","nls","track","delivery","activation","bundle","actual","stop","log","append","state","0","java","result","close","found","index","stats","user","message","type","open","impl"
"13","action","e","org","start","p","value","println","matchlen","resolved","string","path","user","token","tt","map","wiring","param","end","impl","thread","collection","admin","args","exception","append","used","buddy","oid","next","proxy","osgi","values","message","range","push","options","target","osgi","1","references","item","state","message","directives","lazystart","config","0","substitutes","array","nls","symbolic","update","description","remaining","name","null","severity","value","name","s"
