"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"1","location","state","osgi","alias","service","console","producer","permission","state","args","hook","bundle","next","intp","bundle","dn","filter","storage","string","export","manifest","code","debug","bundle","debug","code","user","event","description","log","vertex","field","loader","stream","signed","classpath","version","time","plugin","url","signer","resolver","log","service","state","offset","permission","bundle","path","os","file","string","source","handler","key","file","loader","code","bundle","write","end","message","type","file","service"
"2","dev","array","adaptor","store","context","command","name","action","description","framework","hooks","bundles","array","bundle","headers","pattern","debug","data","more","requires","result","3","permission","state","value2","pos","property","list","bundle","entry","version","string","bundle","input","content","entry","range","profile","manifest","location","signed","bundle","lock","code","lazy","bp","conditional","eclipse","entry","policy","managed","nls","element","url","directive","reliable","name","bundle","event","out","start","log","description","bundle","bundle"
"3","constants","stack","framework","trust","framework","print","same","code","platform","0","adaptor","framework","element","command","resource","chain","string","base","line","list","bits","param","permissions","link","nls","condition","properties","thread","result","writer","code","code","list","authorization","engine","domain","name","log","version","file","content","constraint","eclipse","tracker","generic","step","cond","error","bundle","ws","stream","value","elements","content","string","stream","bundle","filter","start","output","left","exception","locker","action","context"
"4","version","object","eclipse","certificate","admin","msg","ee","mask","system","console","file","start","iterator","console","size","index","invalid","bundle","lines","roots","version","8","options","exception","non","encoded","system","stats","export","backup","qualifier","c","name","socket","trust","base","supplier","entry","generated","path","entry","suppliers","app","reference","specification","content","info","string","url","nls","files","attributes","hash","urlstream","constants","output","resource","admin","context","stream","length","error","null","privileged","registration"
"5","manifest","element","org","key","log","println","consumer","actions","disabled","length","bundle","debug","size","help","dictionary","rdn","syntax","location","prompt","exports","element","6","option","li","operation","type","launcher","listener","read","non","minor","p","configurators","ioexception","context","manager","pkg","scope","library","prop","digest","supplier","location","object","data","cert","permissions","disabled","zip","system","manager","non","keyed","service","value","ioexception","proxy","p","level","length","idx","cause","base","exception","listener"
"6","file","push","see","anchor","location","nls","id","name","bundle","initial","storage","refresh","values","interpreter","locale","match","non","file","answer","bundle","constants","4","admin","framework","lt","info","run","listeners","impl","nls","component","index","proxy","reader","bundle","cp","friends","option","converter","install","info","bundles","file","tracked","set","structure","perm","resolver","base","arch","output","manifest","key","reference","append","code","result","type","tests","ioexception","string","stack","ioexception","dir","services"
"7","list","lazystart","java","cert","adaptor","argument","lists","permissions","properties","target","framework","system","component","message","object","c","3","state","user","resolver","j","1","print","bundledata","gt","string","trailing","manager","host","max","major","text","result","osgi","delta","entries","include","flag","name","string","infos","fragment","startup","filter","bundle","signature","infos","state","file","string","read","name","pkg","protocol","result","read","find","li","sl","version","bytesread","throwable","locked","param","reference"
"8","info","attr","used","exception","register","next","wiring","object","time","arg","registry","level","fullarg","bundles","keys","cn","false","extension","out","j","generic","returns","nls","resolved","println","c","slash","queue","resolved","write","micro","str","library","buffered","support","data","max","prop","info","non","certificate","generic","framework","customizer","impl","unsigned","collection","platform","index","policies","id","1","required","factory","table","io","packages","lifecycle","startlevel","data","classbytes","framework","non","directory","debug"
"9","non","extension","internal","chain","name","arg","attempt","collection","stamp","osgi","base","nls","hash","admin","value","name","attr","dir","disconnect","results","data","2","x","uninstalled","value1","output","dir","trace","state","1","next","given","loading","digests","change","find","description","options","element","nls","file","imports","adaptor","services","imports","oid","conds","adaptor","host","1","ioexception","list","set","method","library","input","parent","event","simple","object","buffer","severity","nls","e","use"
"10","enforce","fragment","p","ioexception","eclipse","help","ranked","bundle","info","set","log","listener","true","startlevel","properties","end","nls","read","input","name","attribute","argument","println","check","pos","args","home","object","packages","size","graph","delimiter","null","writer","type","protection","base","startup","string","1","tsa","resolved","application","track","dynamic","berprocessor","perms","policy","1","non","table","header","sources","string","equals","open","null","see","activator","string","0","nls","temp","secure","event"
"11","properties","requires","match","engine","tracker","1","require","x","resolve","properties","parent","event","add","service","nl","array","equal","manager","method","imports","0","index","bundle","stop","value","segments","spec","dispatcher","bundles","date","list","buffer","add","read","cc","path","internal","logger","eclipse","splash","certs","constraints","property","references","code","attrs","conditions","description","nls","constants","storage","tokenizer","length","tracker","map","see","classloader","s","framework","prop","i1","1","string","access","object"
"12","nls","itest","core","general","factory","non","suppliers1","sb","infos","ignore","properties","state","elements","description","values","list","td","save","o","bundles","header","method","framework","installed","object","append","value","loading","exports","framework","object","character","dependents","close","check","name","min","nls","adaptor","configuration","signers","host","running","initial","spec","tag","condition","ci","0","nl","set","null","null","net","null","java","resources","license","osgi","bundles","given","e","location","stream","framework"
"13","append","runner","specified","security","osgi","param","matches","p","filter","result","osgi","symbolic","map","s","string","argument","parse","path","t","null","length","l","1","activator","compare","begin","object","dispatch","add","print","vertexes","table","buddy","exceptions","verify","result","osgi","string","runtime","config","anchor","description","properties","being","original","certificates","satisfied","admin","substring","internal","entry","equals","index","entry","directives","b","found","link","results","keys","append","state","str","ioexception","impl"
"14","osgi","sort","implementation","aliases","properties","append","eclipse","quot","impl","exception","configured","installed","nothing","services","header","dnchain","substring","manifest","substitutes","array","alias","p","non","active","impl","count","set","size","version","children","components","map","array","os","listener","file","index","accum","log","area","index","selected","profile","tracking","requires","exception","security","bundles","debug","running","lock","token","true","set","export","param","fragment","listener","exception","table","representation","code","org","java","s"
"15","string","master","each","string","org","arguments","suppliers2","e","os","start","loader","id","num","msg","existing","start","filterstring","type","con","constraint","aliases","symbolic","trace","change","2","character","put","current","set","root","id","last","delegate","connections","null","loading","string","enter","requires","result","algorithm","resolve","runnable","listener","exports","over","impl","name","id","locale","open","attribute","capacity","java","nls","filter","local","value","stop","value","size","string","osgi","name","registered"
"16","filter","ignored","using","osname","constants","thread","success","c","j","passed","bundledata","name","keys","string","null","pat","append","exception","confirm","packages","elements","specified","false","ul","approx","whitespace","returns","array","hosts","system","adjacent","rtl","size","encoding","reg","sourcedata","false","exit","lazy","null","results","length","context","adding","reader","ber","array","osgi","adaptor","indicating","write","line","search","port","non","append","ext","under","started","fos","arraycopy","nested","append","controller","link"
"17","iterator","id","bootdelegation","remove","registration","token","find","matchlen","removal","relative","factory","admin","existing","non","stream","value","1","set","cmd","length","array","otherwise","activation","worker","array","end","temp","loaded","exported","session","time","specified","policy","nothing","osgi","hooks","eclipse","non","entry","property","str","unresolved","prop","context","create","pkcs7","bundle","unsatisfied","string","win32","string","jar","found","urlconnection","put","close","fragments","context","org","null","order","runtime","eclipse","input","factory"
"18","generate","legacy","baseadaptor","master","options","level","specification","string","current","starts","baseadaptor","null","up","containing","enumeration","wild","length","paths","providers","set","exception","5","osgi","s","less","device","sm","classes","0","file","dfs","param","results","eclipse","removed","local","service","report","compatibility","base","name","exports","nls","invalid","capabilities","current","cpis","message","entries","app","target","tt","reexport","proxy","ee","error","thread","returns","bundles","bundle","temp","true","mode","mru","references"
