"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1","non","conds","vertex","store","dn","log","eclipse","code","file","bundle","platform","hook","framework","loader","intp","manifest","qualifier","fragment","debug","permission","data","service","file","adaptor","service","roots","code","filter","os","type","string","generic","bp","key","resolver","privileged","content","console","description","version","state","handler","base","signed","constants","location","bits","event","bundle","bundle","bundle","url","conditional","manifest","entry","parent","element","path","stats","bundle","start","startup","policy","classpath","write","offset","permission","file","code","service"
"2","nls","array","code","trust","pattern","entry","ci","p","read","resolver","info","storage","osgi","source","console","value","component","host","nls","code","bundle","reference","stream","eclipse","bundle","bundle","pos","debug","string","delta","alias","exports","step","object","supplier","loader","error","socket","lazy","suppliers","time","url","path","content","version","url","data","listener","state","start","bundles","bundle","cond","plugin","digest","internal","list","args","stack","context","array","bundles","buddy","entry","out","content","permissions","entry","exception","context"
"3","profile","object","graph","certificate","chain","message","disabled","see","stream","bundles","properties","adaptor","eclipse","bundle","command","header","major","bundle","options","action","path","tracker","reliable","location","code","export","condition","nls","append","change","aliases","export","cert","values","constraint","action","type","command","data","range","system","urlstream","string","signer","description","file","result","listeners","link","framework","framework","file","info","version","signer","clazz","elements","splash","trace","event","left","initial","policies","domain","output","buffer","bundle","zip","cause","registration"
"4","1","0","next","anchor","index","writer","unsatisfied","value","managed","description","description","hooks","ext","name","msg","headers","minor","id","println","mask","type","object","ioexception","framework","object","required","encoded","non","nls","impl","processor","state","attrs","value","matching","exception","context","input","impl","description","file","factory","given","trust","bundle","prop","j","thread","exception","level","state","resource","permission","constants","info","built","array","adaptor","name","tests","stack","eclipse","list","loader","ioexception","tag","collection","bundle","bundle","services"
"5","string","admin","vertexes","alias","rdn","stack","adaptor","system","manager","resolved","infos","base","system","proxy","help","attribute","micro","fragments","option","actions","manifest","tracked","output","context","s","packages","info","value2","properties","changes","error","requires","certificate","size","cycle","name","authorization","print","state","supplier","flag","protocol","segments","engine","directive","install","index","object","li","event","refresh","lock","perm","location","index","create","0","string","plugin","simple","string","console","start","base","stream","structure","impl","path","admin","bundle"
"6","log","param","time","cert","match","framework","platform","returns","ioexception","resolve","keys","bundle","adaptor","result","println","string","string","result","1","name","bundledata","filter","x","service","exception","dynamic","type","impl","system","removed","osname","imports","unsigned","field","capability","pkg","res","line","result","max","option","method","0","info","result","non","8","queue","bundledata","bundles","name","ioexception","perms","nls","name","framework","hash","nls","attributes","results","matches","profile","name","manager","prop","sb","assigned","dir","3","use"
"7","scope","manager","list","key","end","non","missing","framework","output","j","stamp","file","app","null","print","element","cur","index","print","object","dir","customizer","code","org","debug","results","args","operation","sb","deltas","master","bundle","signature","library","selected","thread","osgi","out","bundle","0","description","log","file","bundle","pkg","nls","6","list","resolved","startlevel","packages","eclipse","infos","library","tsa","pkgs","key","length","id","activator","end","shutdown","results","cp","object","non","framework","directory","1","framework"
"8","dev","cps","id","chain","name","severity","next","out","files","add","delta","data","nls","find","nls","key","li","1","non","permissions","paths","services","input","name","registered","j","c","string","constants","added","defined","set","over","map","possible","access","producer","writer","specification","base","data","string","1","certificate","name","property","bytes","manager","update","sl","description","entry","conditions","file","file","adaptor","remove","found","info","add","sort","lazystart","string","entries","bundle","count","security","open","matchlen","reference"
"9","prop","method","adjacent","engine","cn","size","state","distributed","input","disabled","true","framework","org","resource","interpreter","exception","code","frag","out","p","string","track","filter","match","ranking","exports","string","println","buffer","updated","messages","0","certificates","index","multiple","context","severity","lines","set","min","thread","service","separator","file","range","1","4","dispatcher","uninstalled","installed","0","java","condition","entry","algorithm","references","keyed","e","state","org","loaders","running","resources","find","string","nls","storage","mru","5","debug"
"10","entry","given","dfs","exception","c","error","bind","delivered","storage","suppliers","current","registry","packages","parent","non","directive","str","hash","false","collection","null","context","io","register","factory","array","output","2","non","event","invalid","version","certs","existing","same","e","org","reader","resolved","include","debug","tracker","absolute","infos","symbolic","properties","3","dispatch","change","admin","admin","osgi","satisfied","non","results","secure","size","arguments","element","osgi","cycle","osgi","ibuddy","data","bundles","end","protection","index","lifecycle","link"
"11","properties","length","application","security","start","nls","sets","syntax","set","remove","orig","location","non","resources","message","nls","delimiter","check","e","x","generation","references","b","osgi","count","visited","append","gt","ws","group","table","list","pkcs7","put","null","system","service","more","platform","length","stamp","framework","code","support","supplier","configuration","2","param","check","debug","symbolic","org","context","generated","end","proxies","set","command","activation","exception","right","runnable","order","name","length","current","implied","limit","returns","properties"
"12","osgi","middle","object","ioexception","array","throwable","version","license","table","export","osgi","extension","nothing","dependents","1","table","identifier","entry","general","s","save","initial","param","constants","valid","size","whitespace","lt","1","bundle","mapper","length","berprocessor","name","development","controller","consumer","prompt","code","type","lazy","net","original","certs","export","config","0","action","ul","active","exported","path","check","string","mf","handle","index","1","classloader","stop","finder","monitor","loading","path","keys","append","admin","use","license","references"
"13","options","exception","order","general","pat","backup","infos","throwable","target","unresolved","errors","configurators","main","sources","token","msg","c","idx","trace","bundle","configuration","adding","open","info","reference","bundles","character","value","property","different","optional","host","oid","array","size","found","tracker","framework","reader","possible","manager","reference","end","anchor","specification","area","times","events","context","exception","resolved","null","cc","ignore","content","classes","true","true","classes","start","arg0","listener","registered","file","table","length","sm","list","invalid","impl"
"14","logger","security","visit","password","value","children","errors","li","id","nls","removal","loader","compatibility","local","admin","keys","text","0","stack","sb","storage","code","append","converter","check","name","begin","syntax","key","size","lower","specification","time","java","refresh","object","prop","answer","load","j","method","java","count","null","equals","string","loop","name","worker","tt","service","io","sets","converter","infos","close","length","entries","string","test","context","b","token","result","fos","1","tt","secure","param","clazzes"
"15","id","cpss","finish","problem","dnchain","err","info","s","lock","constraints","system","log","exception","description","next","p","rtl","code","data","quot","constants","tracking","see","target","impl","length","null","3","nl","removal","hashtable","packages","issuer","string","clear","framework","msg","method","generic","empty","start","set","starts","verify","string","log","digit","delivery","h5","started","title","net","vector","1","mdresults","ignored","false","jar","push","library","manager","constraints","result","loading","value","signature","cpis","basefile","signer","nls"
"16","accum","remove","depth","listener","wild","0","label","begin","num","non","substitutes","osgi","1","fragments","s","result","object","security","eclipse","c","store","listener","name","debug","unregistered","list","constructor","value1","internal","primary","initialize","capabilities","bers","internal","generic","security","status","user","fully","true","profile","port","add","hook","internal","result","pad","item","activator","system","version","input","set","list","bytes","message","add","directory","filters","bundles","stop","lazy","policed","hooks","null","8","data","ioexception","e","lock"
"17","name","chars","iterator","string","list","1","leaves","specific","locker","conflict","props","eclipse","exceptions","found","argument","parse","p","null","framework","r","parent","ranking","write","properties","property","imported","obj","object","platform","complete","input","fragments","date","keys","checker","lock","success","disconnect","object","ranges","startup","see","relative","security","resolution","null","encoded","associated","stop","lazy","null","adaptor","add","fragment","result","successor","null","launcher","loading","framework","log","starter","classes","protection","size","section","perm","action","pos","published"
"18","dbg","argument","color","remove","argument","max","admin","created","write","constraint","iter","loading","method","enumeration","startlevel","tt","characters","dot","string","string","symbolic","being","occurs","options","method","used","hash","compare","args","same","line","name","exception","e","array","run","authorize","buffered","spec","null","param","nls","length","enforce","friends","dir","real","used","thrown","method","system","e","enumeration","write","manifest","append","capacity","boot","attr","stopped","iterator","itest","system","hook","descs","3","domain","stamp","throwable","object"
"19","report","next","adj","backing","wildcard","buffer","find","limitations","false","length","changed","properties","note","policy","arguments","code","components","end","osgi","6","temp","open","java","util","tt","imports","length","invalid","value","modified","resource","j","ber","load","grouping","source","allowed","stream","dynamic","invalid","platform","proxy","left","signers","set","system","input","queued","active","stop","hosts","stream","dict","compatibility","str","converted","result","eclipse","nls","t","size","runner","equals","sourcedata","index","value","null","nested","l","non"
"20","enter","uneval","state","ke","illegal","given","failed","1","open","rb","id","configured","launch","cl","arg","bundle","delimiters","require","ioexception","true","var","modified","close","manager","id","importing","object","pos","locale","companion","object","array","obj","variants","list","list","result","osgi","0","paths","admin","e","slash","osgi","exported","user","chunks","snapshot","method","msg","length","internal","empty","lib","offset","vm","initial","osgi","loaded","eclipse","found","framework","url","lib","force","2","event","name","context","clazz"
