"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75"
"1","framework","perms","factory","store","dn","version","adaptor","condition","managed","policy","description","fragment","hook","storage","source","intp","bundle","bundle","console","bundle","eclipse","console","stats","element","read","debug","code","roots","debug","filter","filter","bundle","service","permission","value2","option","field","rb","target","value","signed","write","version","digest","plugin","log","bundle","resolver","path","context","event","state","level","signer","admin","bp","non","location","manifest","bundle","list","nls","url","bundle","adaptor","loader","bundle","bundles","classpath","description","bits","vertex","file","zip","service"
"2","service","properties","content","certificate","pattern","same","eclipse","pos","lock","loader","state","generic","file","data","name","command","export","resource","message","type","string","command","trace","elements","result","permission","permission","results","nls","pos","version","type","code","permissions","operation","out","string","multiple","out","key","content","out","result","entry","name","entry","error","bundle","url","privileged","listener","description","start","entry","context","cert","args","url","constants","framework","array","append","handler","context","log","resource","state","bundle","entry","bundle","data","code","entry","x","bundle"
"3","osgi","system","handler","trust","chain","packageadmin","ci","code","stream","ext","bundle","result","hooks","hook","bundle","console","exports","locale","string","symbolic","osgi","containing","stack","keyed","input","bundle","action","importing","non","value","os","delta","reference","conditional","gt","enabled","index","conflicts","backup","values","trust","lazy","max","time","converter","file","limit","bundles","cause","action","listeners","generic","startlevel","info","bundle","certs","string","file","element","start","element","string","reference","tests","start","proxy","exception","symbolic","entries","proxy","8","graph","stream","debug","context"
"4","context","property","log","anchor","index","vs","osgi","encoded","output","name","platform","export","reliable","bundle","loader","msg","resolver","published","help","require","org","print","time","hash","stream","options","mask","matching","filter","c","string","event","tracker","info","value1","t","text","capability","max","object","engine","data","string","string","state","write","index","resolve","index","exception","thread","specification","sl","infos","state","certificate","nls","path","string","bundles","object","non","urlstream","event","string","fragment","link","name","domain","directive","j","next","ioexception","print","registration"
"5","properties","chars","framework","alias","rdn","vs1","unsatisfied","info","locker","enforce","system","array","registry","adaptor","result","println","requires","size","services","provide","base","arg","manager","key","original","nls","actions","visited","println","3","platform","change","tracked","cond","compare","see","str","list","var","keys","signer","version","name","profile","info","writer","mru","supplier","bundle","access","queue","set","event","tsa","disabled","unsigned","os","prop","header","lazy","size","buffer","service","simple","framework","find","li","packages","path","exported","4","vertexes","files","stream","listener"
"6","dev","sm","method","cert","alias","compare","lazystart","type","socket","buddy","disabled","fragments","configurators","base","null","bundle","constraint","array","description","context","internal","framework","activation","set","state","framework","p","consistent","string","1","sb","refresh","object","perm","equal","filename","delimiter","host","framework","array","bundle","object","null","file","attributes","system","use","unresolved","slash","object","manager","bundle","debug","results","arg","certificates","1","install","value","0","end","1","protocol","results","error","url","uninstalled","required","base","pkg","index","list","path","nested","services"
"7","adaptor","key","parent","chain","match","system","b","args","set","load","bundles","requires","adaptor","hooks","packages","print","j","list","error","host","java","arguments","classloader","index","num","non","object","export","object","cur","invalid","impl","customizer","collection","approx","eclipse","character","iterator","output","size","certificate","description","equals","index","version","1","resolver","cycle","entry","run","dispatcher","version","offset","signers","j","attrs","osgi","nls","list","null","length","length","string","activator","exception","classloader","resolved","hash","manager","dependents","result","time","input","false","framework"
"8","eclipse","security","entry","key","name","vs2","missing","string","manager","system","properties","length","stream","extension","required","interpreter","supplier","headers","required","osgi","util","method","loading","library","count","println","name","uses","code","append","append","resolved","services","infos","array","stack","rtl","constraint","generation","p","authorization","state","min","scope","requires","ioexception","res","constraints","count","controller","object","impl","value","mdresults","start","signer","startup","splash","attribute","result","1","0","net","org","throwable","found","framework","set","cp","constants","6","id","manager","prints","reference"
"9","register","num","adaptor","exception","cn","test","bind","output","ioexception","policies","resolver","j","output","bundledata","pkg","nls","length","find","startlevel","org","baseadaptor","input","classes","true","target","1","permissions","used","2","cursor","match","changes","track","conds","attr","trailing","given","array","writeln","headers","file","string","include","1","generated","value","stamp","conflict","urlconnection","thread","dispatch","range","step","name","uninstall","signature","eclipse","non","version","initial","0","sb","port","osgi","eclipse","parent","stop","state","file","null","bytes","adjacent","name","dbg","event"
"10","org","permission","find","security","start","fos","itest","name","storage","resources","info","0","code","framework","dynamic","non","suppliers","nl","bundle","string","null","line","name","replace","load","system","param","exporting","invalid","lt","range","packages","references","conditions","less","throwable","code","add","append","map","null","ioexception","found","log","element","exception","closer","non","host","system","list","name","content","md","root","berprocessor","name","string","type","length","index","2","tracker","add","nothing","context","admin","order","data","result","3","dfs","dir","out","use"
"11","null","discarded","type","engine","dnchain","previously","runner","c","reader","null","resolve","equals","loading","debug","length","1","imports","reg","command","stored","data","args","id","null","create","null","s","packages","impl","parse","description","deltas","filter","assigned","greater","false","c","require","root","next","info","qualifier","args","start","string","null","remove","nls","1","control","param","export","framework","certs","stop","date","profile","properties","directive","eclipse","code","put","file","stop","osgi","null","start","list","bundle","friends","2","order","open","param","object"
"12","logger","using","context","general","c","profile","legacy","append","update","url","time","exports","see","manager","find","token","list","string","argument","singleton","ioexception","provider","thread","false","expected","tt","collection","null","false","signer","syntax","framework","tracking","condition","td","multihost","buffer","matching","ok","enumeration","support","code","matches","end","library","prop","data","constraint","id","e","delivery","host","structure","impl","service","exception","property","configuration","exception","refresh","param","e","java","exception","stack","result","change","references","protection","export","0","object","directory","flag","s"
"13","prop","invocation","null","ioexception","value","states","port","whitespace","out","loading","resolved","results","ioexception","state","sources","service","selected","localization","status","forget","dirty","t","loaded","capacity","impl","admin","returns","required","exception","match","framework","removed","adding","perms","substring","singleton","fields","hash","depth","put","entry","output","token","flag","stack","integer","substitutes","fragment","separator","application","item","spec","current","signing","next","oid","framework","1","bundle","osgi","add","constants","real","start","left","name","activator","names","loading","strict","digit","visit","string","key","impl"
"14","options","check","e","password","pat","uri","component","character","close","parent","impl","host","configured","save","string","s","null","null","invoke","framework","version","help","monitor","specified","tag","permissions","exception","exporter","syntax","sb","paths","updated","initial","security","parent","debug","last","capabilities","writing","remove","hook","bundles","tokens","nls","adaptor","property","prop","imports","original","param","action","dynamic","tag","result","error","pkcs7","running","area","null","e","copy","write","see","test","urlconnection","thread","fragments","install","hook","equals","times","finish","null","packageadmin","link"
"15","name","such","non","problem","end","copy","excluded","begin","streams","order","add","aliases","configurator","event","resources","next","description","osgi","severity","sure","location","system","startup","count","string","print","x","sub","length","string","languages","added","context","satisfied","1","suppliers2","characters","same","filename","dictionary","anchor","major","true","segments","equals","level","msg","state","end","cc","events","lazy","active","digest","unget","issuer","platform","property","parse","activation","listener","ignore","host","library","stopping","local","event","reachable","sourcedata","ee","loop","depth","java","osgi","registered"
"16","admin","methods","clazz","string","master","sort","fullarg","exception","buffered","ibuddy","stamp","remaining","loader","dir","framework","null","0","consumer","imported","bd","core","object","load","param","data","location","t","root","see","skip","supplier","value","being","impl","size","trim","p","refs","old","exception","security","minor","fragment","str","manifest","nls","nativecode","debug","device","app","queued","required","tt","hash","bundles","bers","ws","config","result","status","exception","out","set","framework","stop","called","installed","map","find","add","input","state","e","extract","properties"
"17","method","access","tracker","listener","wild","existing","exception","length","locked","classes","remove","alias","add","exception","list","help","resolved","java","msg","refreshed","status","more","filters","length","timestamp","error","license","reexported","lt","impl","processor","removal","modified","implied","filters","force","delimiters","generic","space","unsupported","verify","loaded","check","accum","runtime","t","min","mode","adaptor","security","snapshot","capabilities","specified","last","system","os","properties","dir","line","console","capacity","eclipse","connection","stopped","org","enumeration","bundledata","sort","bundlefile","loader","length","color","id","reference","factory"
"18","constants","manager","multiplexing","backing","osname","1","c","constructor","idx","enumeration","osgi","version","append","location","cl","bundles","array","search","util","systembundle","set","token","bundles","found","description","trace","1","name","tt","properties","aliased","delivered","null","check","true","don","process","2","writes","table","osgi","0","main","mf","nls","stack","conflict","combination","spec","runnable","used","symbolic","end","time","platform","process","internal","null","key","msg","elements","jar","stream","bundles","cause","java","active","pkg","hooks","exporter","real","adj","eclipse","general","null"
"19","id","string","internal","ke","non","o1","resolver","null","release","resource","removal","frag","method","paths","search","admin","possible","varient","pending","bsn","suppliers","param","option","0","exception","host","string","returned","type","dictionary","processors","str","removed","cpis","operands","iterator","non","generics","info","param","infos","micro","add","append","xml","non","y","imp","substring","null","group","filter","installed","map","containing","algorithm","constants","parent","nls","shutdown","right","org","u","t","value","event","method","generics","debug","version","1","component","length","var0","valid"
"20","registration","java","object","remove","array","o2","constraint","represented","smos","string","current","names","param","store","0","argument","host","raw","header","allow","io","println","end","loaded","type","osgi","see","check","service","l","ranges","complete","1","cpi","substr","good","variants","found","secure","c","eclipse","prop","next","buffer","fragment","arg","nls","rejected","trailing","found","name","resolution","1","idsaved","refresh","obj","system","base","tt","true","null","3","ranking","started","middle","check","s","ordered","lib","org","extra","iterator","1","monitor","references"
