"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","service","console","bundle","permission","file","resolver","url","description"
"2","listener","intp","debug","code","entry","bundle","file","state"
"3","event","command","data","permissions","signed","export","adaptor","lazy"
"4","reference","println","exception","filter","content","bundles","path","generic"
"5","context","help","framework","mask","signer","constraint","location","specification"
"6","tracker","print","permission","pos","stream","fragment","log","impl"
"7","registration","msg","link","debug","certificate","supplier","handler","platform"
"8","object","level","options","actions","classpath","exports","plugin","data"
"9","services","bundles","state","info","digest","imports","base","write"
"10","hook","interpreter","event","condition","ioexception","host","hook","version"
"11","code","bundle","option","c","info","description","string","manifest"
"12","dn","start","manager","action","output","requires","prop","read"
"13","hooks","admin","domain","vertex","managed","version","storage","bundle"
"14","registry","startlevel","bundledata","conditional","trust","roots","dir","set"
"15","list","token","storage","source","reliable","packages","eclipse","export"
"16","listeners","event","start","encoded","manifest","suppliers","entry","result"
"17","tracked","context","resource","value2","input","list","property","out"
"18","use","sl","loader","p","key","resolved","args","requires"
"19","factory","message","li","cond","path","j","properties","delta"
"20","engine","tests","admin","collection","cert","constraints","parent","disabled"
