"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1","cond","event","adaptor","permission","type","condition","level","resolver","args","state","conditions","location","disabled","hook","array","result","intp","supplier","key","string","aliases","bundle","console","policy","state","manifest","code","debug","bundle","listener","anchor","filter","version","packages","list","source","log","vertex","os","roots","factories","cert","object","classpath","description","path","time","bundle","bits","signed","plugin","bundle","service","element","entry","bundle","exception","bundle","error","bundle","url","managed","content","string","list","offset","handler","string","file","loader","store","stats","lib","write","log","action","version","file","dn","service"
"2","admin","listener","framework","permissions","delta","code","start","constraint","print","read","satisfied","properties","description","storage","start","ext","bundle","suppliers","value","entry","attr","mru","command","buddy","attributes","element","permission","options","state","count","trust","debug","constants","refresh","array","name","writer","code","field","results","admin","certificate","values","entry","generic","index","profile","url","data","content","manifest","bundles","reference","elements","signer","framework","cause","description","eclipse","context","string","manager","factory","1","matches","content","url","eclipse","reliable","proxy","alias","stack","base","out","framework","privileged","description","entry","pattern","registration"
"3","framework","thread","context","conditional","bundle","encoded","bundles","export","input","file","condition","install","platform","data","producer","id","command","fragment","size","append","require","limit","string","name","element","string","action","option","exception","non","certificate","nls","range","framework","loading","bundle","stack","version","args","used","log","bp","headers","domain","export","base","log","osgi","result","trust","string","resolve","code","hash","digest","event","message","bundles","string","event","file","stream","signed","url","start","buffer","urlstream","org","stream","resource","exception","trace","delegate","output","start","access","state","path","chain","context"
"4","permission","listeners","osgi","info","change","pos","startlevel","list","socket","lazy","cpis","property","info","bundle","object","j","print","resolver","values","message","attribute","index","help","loader","requires","header","mask","context","link","debug","locale","value2","append","dependents","published","pkg","entry","component","ws","importing","close","step","key","find","set","string","scope","entry","j","engine","location","0","tracker","keyed","info","code","throwable","state","adaptor","tests","path","output","cur","dev","find","structure","protocol","nls","output","find","lazystart","time","attributes","data","entry","exception","specification","lock","index","bundle"
"5","perm","list","eclipse","collection","impl","info","sl","j","stream","stream","platform","null","properties","adaptor","end","hash","msg","requires","p","1","defined","use","description","policies","name","attribute","actions","permission","permission","code","resource","non","directive","bundle","add","packages","backup","qualifier","nls","export","factory","key","dictionary","result","specification","separator","flag","eclipse","index","authorization","version","nls","tracked","set","signed","p","nested","symbolic","bundle","activator","prop","files","entries","properties","osgi","current","string","library","ioexception","null","itest","classes","non","version","eclipse","context","set","zip","rdn","services"
"6","infos","object","org","perm","changes","string","listener","imports","line","data","os","dir","resolver","base","left","true","println","bundle","tt","non","header","file","arg","load","stack","list","name","print","li","check","chain","pos","name","proxy","stats","required","throwable","minor","constants","bundle","entry","signed","operation","loader","state","segments","option","stream","8","bundle","info","length","object","index","content","link","invalid","name","platform","simple","nls","storage","verifier","property","iterator","tag","service","osgi","code","fragment","runner","classloader","nl","prop","lazy","controller","impl","dir","match","reference"
"7","locations","queue","application","perms","removed","args","active","constraints","reader","num","sets","area","resolved","hooks","right","string","interpreter","generic","0","buffer","nls","stamp","param","null","library","result","object","println","debug","exception","headers","string","bundle","debug","quot","loader","max","micro","internal","consistent","e","certificates","exception","entries","bundle","id","options","org","6","context","converter","non","customizer","array","infos","type","text","list","ci","results","non","table","exceptions","arg","append","sb","reference","non","input","parent","password","activation","nls","ioexception","null","system","string","ioexception","array","debug"
"8","options","manager","factory","assigned","updated","output","initial","array","out","time","conds","parent","exports","file","consumer","enumeration","non","constraint","param","nls","profile","remove","msg","resources","push","array","permissions","x","admin","t","engine","value","symbolic","exported","returns","result","children","major","name","matching","multiplexing","unsigned","sort","cp","lazy","host","logger","java","bytes","support","nls","null","context","false","tsa","start","specified","descriptions","resolver","org","1","set","val","non","notifications","non","factory","1","b","alias","b","loading","manager","stream","exception","object","bundle","null","cn","use"
"9","system","dispatcher","log","infos","str","c","debug","exports","buffered","input","j","framework","resolve","framework","code","0","nls","selected","c","log","jvm","closer","thread","results","equals","exception","p","nls","bundledata","valid","parent","3","equals","system","reg","null","date","next","nl","visited","security","certs","array","path","impl","0","prop","resource","4","hook","generated","debug","services","true","file","see","msg","id","state","add","splash","id","t","nls","symbolic","nls","method","equinox","open","fragments","legacy","id","spec","object","0","security","original","directory","end","object"
"10","context","dispatch","app","bundle","added","license","installed","requires","writer","system","sb","prop","infos","registry","sort","framework","console","version","keys","index","1","prop","message","string","extension","elements","collection","false","resolved","tt","general","2","include","description","remove","dynamic","session","graph","locale","str","error","exception","existing","file","exports","end","accum","adaptor","3","anchor","non","resolved","track","count","index","param","state","resolver","msg","osgi","args","update","ioexception","user","bsn","end","port","key","append","context","excluded","monitor","vendor","keys","activation","secure","range","input","value","framework"
"11","register","param","internal","impl","record","name","shutdown","conflict","output","ioexception","0","file","system","loader","index","found","1","possible","specified","0","nativecode","open","handle","order","attr","constants","x","cond","uninstalled","invalid","problem","operation","null","deltas","size","sources","severity","object","value","delimiter","successor","signer","unsupported","manager","result","original","exit","ioexception","2","certificate","1","cycle","filter","length","certs","method","param","host","unsatisfied","exception","config","type","invalid","osgi","searched","length","net","internal","param","result","ke","load","mapped","string","excludes","manager","create","e","list","impl"
"12","name","null","parent","security","removal","whitespace","set","unresolved","osgi","save","match","result","impl","configurators","length","suppliers","admin","exports","remove","length","optional","min","arguments","result","integer","headers","quot","manager","active","filter","ioexception","gt","string","result","include","local","writeln","vertexes","constant","text","performance","attrs","put","loading","0","1","dbg","name","substitutes","enforce","eclipse","hosts","references","null","name","value","osgi","remove","disabled","stop","version","read","legacy","launcher","highest","append","set","manifest","io","classloader","org","loaded","title","bundle","1","control","generic","1","name","properties"
"13","service","delivery","nls","implied","existing","begin","bundle","rb","port","bundle","empty","user","time","extension","string","used","token","length","list","2","syntax","opened","argument","ibuddy","prerequisite","directive","admin","framework","start","returned","security","lt","false","loader","exclude","export","err","list","system","null","authority","over","eclipse","debug","required","count","enter","net","0","null","min","impl","initial","replace","results","tt","created","0","missing","framework","base","string","max","development","add","1","see","ee","close","java","test","name","name","null","nls","run","spec","java","c","s"
"14","null","events","method","conds","resolved","exception","value","add","connections","stamp","cps","equals","stamp","bundledata","param","null","service","capability","capacity","param","quot","list","startlevel","system","info","bundle","string","1","stop","one","listener","value1","max","admin","delegate","found","level","components","indicating","character","tracker","pkcs7","set","resource","imports","slash","string","framework","times","osgi","null","1","tracking","specified","null","change","java","removed","startup","start","configuration","write","cursor","token","fwk","0","real","todo","occurs","load","chain","manager","hook","length","name","e","name","close","start","null"
"15","constants","action","non","null","complete","array","specified","conflicts","true","count","cond","configuration","null","string","given","need","bundles","imports","map","error","names","closed","object","loading","ignored","parse","1","check","check","name","localization","impl","friends","null","element","length","root","adjacent","qnx","set","backup","issuer","remove","bundle","length","append","debug","string","y","bundles","xml","check","adding","found","signers","li","sbe","version","description","test","log","idx","count","tokenizer","connection","count","null","java","write","list","security","thread","org","bundles","error","found","filter","open","pat","factory"
"16","save","element","clazz","domain","sb","append","event","host","disconnect","load","true","home","keys","manifest","middle","add","s","fragments","code","given","osgi","num","framework","equals","handle","value","s","non","installed","bundle","string","invalid","exported","dependent","builtin","cl","system","id","fields","uses","extend","signature","argument","protection","host","paths","description","io","digit","verify","fragment","refresh","being","capacity","mf","returns","conversion","delta","arg","eclipse","ignore","reliable","general","search","substring","signature","java","true","filter","found","aliases","start","1","copy","true","loader","base","name","dnchain","registered"
"17","adaptor","item","register","admin","put","character","admin","state","t","manager","vector","system","current","location","representation","util","help","description","initial","severity","results","set","invoke","resource","id","table","obj","bundle","activator","see","code","println","dictionary","size","used","delegation","ok","dfs","eclipse","rtl","iterator","berprocessor","user","name","map","substring","perf","urlconnection","loop","org","compatibility","supplier","ranking","constructs","algorithm","s","sort","length","constraints","find","system","base","util","set","resources","8","tracker","loaded","see","master","eclipse","startup","version","size","includes","properties","invalid","locker","illegal","event"
"18","conditional","copy","name","sm","pending","0","changed","require","encoding","flag","languages","put","removal","exception","stop","false","null","null","1","number","deprecated","queue","provider","bundle","master","nls","sb","cc","worker","permission","nl","object","osgi","delta","hash","parent","files","time","linux","string","designate","x509certificate","read","sourcedata","data","device","report","core","pad","log","list","set","modified","compare","mdresults","started","sorted","org","message","bundles","location","out","chains","trailing","bi","tagclass","proxy","ignore","len","resources","c","filters","eclipse","range","status","property","hosts","length","wild","nls"
"19","unregister","associated","object","cpi","eclipse","length","system","exporter","cmdline","expected","aliased","config","false","configured","exception","load","next","matching","null","messages","filter","closing","println","flags","ex","line","bundle","param","ul","lang","remove","1","resolution","requester","values","0","property","identifier","variants","process","next","oid","mapped","fragment","null","code","id","protocol","encoded","tracker","adaptor","description","null","requested","bytes","stopping","serial","exception","admin","stopped","running","smos","space","spec","elements","code","host","load","crc","osname","messages","bundles","variants","reader","state","calling","optional","false","argument","lock"
"20","hashtable","snapshot","runnable","java","changed","illegal","already","name","server","false","array","non","factory","null","compare","nothing","services","0","append","filename","provide","disabled","method","registered","locator","keys","param","admin","h5","classes","backing","compare","mandatory","e","property","resources","info","argument","accessible","bytesread","grow","date","previous","data","dynamic","last","null","baseadaptor","length","signer","export","iterator","removed","iterator","end","1","setting","unsupported","bind","t","os","file","terminals","mode","0","section","stream","util","opening","table","osgi","bundle","info","fos","starter","param","paths","value","non","references"
