"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85"
"1","service","listener","handler","intp","filter","alias","level","eclipse","condition","socket","domain","bundle","mask","fragment","hook","vertex","source","entry","array","service","console","bundle","storage","tracked","store","bundle","signer","file","string","element","bundle","lib","service","pos","state","resource","permission","code","roots","bp","debug","string","list","classpath","exception","bundle","lazy","constants","path","log","log","managed","description","trust","resolver","location","event","max","bundle","read","state","bits","version","cond","os","plugin","value","url","element","install","offset","action","bundle","loader","host","p","stats","write","osgi","segments","state","lock","file","dn","service"
"2","context","list","content","command","debug","processor","start","disabled","type","input","protection","bundles","permission","requires","adaptor","ext","name","digest","object","reference","command","id","data","tracking","content","description","content","stream","options","elements","link","name","code","operation","system","policy","permissions","permission","bundle","step","x","library","array","entry","cause","delta","version","version","file","entry","profile","output","platform","signed","constraint","url","thread","include","bundles","num","error","data","range","perms","string","manifest","manifest","handler","manifest","dir","content","system","context","proxy","hosts","type","stack","out","framework","count","description","file","entry","pattern","bundle"
"3","framework","event","factory","msg","nls","osname","sl","bundle","encoded","stream","bundledata","resolve","action","exports","bundle","code","result","info","start","services","string","adaptor","base","1","certificate","bundles","signed","ioexception","option","key","state","attributes","tracker","array","time","bundle","conditional","actions","export","cert","option","text","size","loader","message","type","qualifier","directive","index","writer","entry","manager","disabled","engine","bundle","file","queue","maximum","framework","count","bundle","result","supplier","context","splash","location","header","urlstream","attributes","path","structure","privileged","tests","null","multiple","lazystart","trace","output","adaptor","string","generic","locker","bundle","chain","debug"
"4","admin","object","tracker","print","non","master","framework","ci","info","out","bundle","requires","collection","remaining","hooks","graph","dynamic","signer","left","context","help","path","location","producer","signed","packages","info","reliable","debug","keyed","exception","nl","reference","length","stamp","locale","info","name","results","certificate","print","index","iterator","loading","code","change","minor","string","use","framework","time","files","bundle","anchor","supplier","prop","manager","vr","start","load","permission","j","append","check","nls","string","string","protocol","name","base","buffer","properties","event","resource","unresolved","code","classloader","version","args","separator","set","value","path","index","framework"
"5","properties","listeners","framework","println","value2","aliases","startlevel","platform","pos","line","user","state","x","fragments","framework","next","required","start","end","ranking","message","entry","extension","system","cert","name","infos","input","slash","hash","li","spec","object","c","manager","string","infos","action","importing","attrs","field","str","add","base","string","refresh","major","symbolic","mru","file","startup","table","resolver","content","imports","property","dispatcher","minimum","debug","input","resolver","8","min","cc","system","version","key","string","requires","config","non","exception","simple","find","log","itest","loading","stream","nls","original","bundle","adaptor","dir","rdn","use"
"6","register","events","log","interpreter","string","table","debug","adaptor","args","print","eclipse","j","admin","frag","storage","vertexes","sources","tsa","headers","registration","startlevel","idx","string","cached","authorization","exported","certs","read","trailing","set","permission","nls","filter","0","thread","url","collection","object","visited","unsigned","message","delimiter","bundle","entries","param","impl","micro","key","host","message","scope","set","info","certificate","export","configuration","listeners","false","0","tag","data","index","sb","perm","1","nls","element","net","stack","jar","tag","access","results","name","rejected","runner","activation","object","eclipse","device","specification","mode","zip","match","context"
"7","osgi","copy","adaptor","nls","impl","lower","bundle","state","string","writer","param","non","sb","actual","file","time","pkg","name","index","property","start","end","manager","removed","key","required","signers","output","eclipse","index","activator","vendor","customizer","constructor","data","policies","perm","bundle","used","signature","out","character","remove","cp","msg","state","fully","name","limit","error","string","stream","properties","support","suppliers","non","delivery","substitutes","event","ioexception","manager","6","string","dict","properties","constants","values","method","attr","user","current","property","activator","bundle","refresh","see","classes","target","non","1","result","release","directory","array","registration"
"8","debug","dispatch","type","non","println","string","active","unsatisfied","output","reader","java","resolved","t","export","base","id","list","string","string","references","error","hash","save","out","enforce","pkg","null","code","enabled","true","s","mapped","track","append","context","null","conds","p","packages","certificates","stream","splash","iter","data","throwable","resolved","code","result","0","non","prop","string","keys","bundle","length","result","dispatch","trim","exception","index","description","4","paths","condition","non","state","keys","java","equals","string","nls","controller","osgi","source","1","lifecycle","time","ioexception","1","segment","impl","id","name","list","services"
"9","name","null","parent","console","lt","object","event","missing","append","lines","bundlefile","debug","e","id","registry","adjacent","packages","mf","right","published","osgi","substring","debug","object","alias","symbolic","exception","java","messages","capacity","stop","version","listener","skip","platform","buddy","framework","permissions","j","over","println","rtl","next","find","invalid","description","component","equals","remove","nls","flag","update","infos","algorithm","exports","properties","item","given","admin","false","type","bytes","base","sets","path","info","attribute","urlconnection","elements","policy","end","e","add","result","bundles","legacy","manager","data","string","end","export","ioexception","length","value","event"
"10","eclipse","capacity","service","1","gt","hashtable","bundles","error","whitespace","user","osgi","nls","5","old","osgi","dfs","length","result","param","object","description","nls","set","id","policy","exports","signing","close","header","object","bundledata","non","initial","null","resolver","name","assigned","string","array","pkcs7","false","li","0","manager","argument","changes","object","export","stamp","throwable","nls","idx","resolved","security","generic","area","param","comma","check","skip","nls","3","languages","vector","dev","non","list","reference","extension","length","sb","security","org","parent","non","excluded","name","length","name","len","exports","read","files","cn","object"
