"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","element","bundle","console","service","bundle","file","content","loader","file"
"2","manifest","debug","intp","permission","description","path","signed","hook","state"
"3","key","framework","command","code","resolver","entry","signer","adaptor","read"
"4","array","context","help","action","export","url","event","handler","data"
"5","dn","bundles","print","permissions","version","location","entry","url","write"
"6","string","event","msg","reference","exports","log","trust","storage","storage"
"7","value","start","interpreter","context","generic","dir","certificate","hooks","out"
"8","tracker","state","println","filter","constraint","string","digest","classpath","stream"
"9","alias","level","bundle","mask","bundles","prop","engine","bundle","lazy"
"10","elements","properties","admin","listener","requires","nls","listener","entry","ioexception"
"11","index","nls","message","services","supplier","properties","cert","base","manager"
"12","header","admin","token","bundle","imports","1","anchor","source","managed"
"13","size","options","nls","object","resolved","args","info","name","output"
"14","attribute","println","arg","pos","host","configuration","listeners","data","cond"
"15","pattern","filter","description","actions","state","install","sl","find","vertex"
"16","list","activator","service","condition","suppliers","splash","certs","resource","conditional"
"17","values","exception","bundles","registration","packages","non","authorization","file","files"
"18","chain","system","arguments","li","impl","os","offset","parent","info"
"19","attr","value2","services","p","j","property","queue","loading","lock"
"20","nls","tests","startlevel","privileged","specification","zip","tsa","stats","reader"
