file,bug,bf,loc,hcm,V1,V2,V3,V4,V5
org::eclipse::jdt::core::BindingKey,0,7,82,17.6471,149,156,0,550,54
org::eclipse::jdt::core::BufferChangedEvent,0,0,18,6.70304,101,50,1,1,102
org::eclipse::jdt::core::CheckDebugAttributes,0,3,50,10.4982,17,251,0,0,57
org::eclipse::jdt::core::ClasspathContainerInitializer,0,4,69,7.05208,189,1204,0,11,9
org::eclipse::jdt::core::ClasspathVariableInitializer,0,0,3,4.07501,30,106,0,3,0
org::eclipse::jdt::core::compiler::batch::BatchCompiler,0,1,6,2.2601,57,273,0,10,12
org::eclipse::jdt::core::compiler::BuildContext,0,3,56,3.92315,13,299,33,30,23
org::eclipse::jdt::core::compiler::CategorizedProblem,0,4,6,8.58795,162,514,5,79,0
org::eclipse::jdt::core::compiler::CharOperation,0,20,845,27.6193,5677,215,22,0,3273
org::eclipse::jdt::core::compiler::CompilationParticipant,1,5,24,12.3914,47,355,1,0,30
org::eclipse::jdt::core::compiler::CompilationProgress,0,1,0,0,34,176,0,0,0
org::eclipse::jdt::core::compiler::InvalidInputException,0,1,3,7.82241,15,33,0,0,0
org::eclipse::jdt::core::compiler::ReconcileContext,0,4,44,7.99162,191,474,0,5,10
org::eclipse::jdt::core::CompletionContext,1,14,123,10.2625,326,156,68,350,176
org::eclipse::jdt::core::CompletionFlags,0,1,6,0,29,0,0,13,10
org::eclipse::jdt::core::CompletionProposal,1,19,347,20.2197,3668,31,0,2626,148
org::eclipse::jdt::core::CompletionRequestor,0,10,79,13.4356,379,28,0,633,0
org::eclipse::jdt::core::CompletionRequestorAdapter,0,0,42,5.07933,20,0,0,308,5
org::eclipse::jdt::core::CorrectionEngine,1,6,128,13.0232,96,419,19,581,249
org::eclipse::jdt::core::dom::AbstractTypeDeclaration,0,6,61,4.13346,561,0,0,70,0
org::eclipse::jdt::core::dom::Annotation,0,5,53,7.93371,318,0,0,51,0
org::eclipse::jdt::core::dom::AnnotationBinding,2,11,190,10.0587,69,131,2,597,31
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration,0,6,98,6.84846,679,0,0,20,1
org::eclipse::jdt::core::dom::AnnotationTypeMemberDeclaration,0,8,170,6.84846,1025,0,0,56,0
