"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","bug","loc","bf","hcm"
"1",0,0,0,0,0,0,0,0,0,0,0,0,3.68887945411394,0,0,2.94443897916644,0,0,3.25809653802148,0,3.29583686600433,0.693147180559945,0,0,3.29583686600433,0,0,0,0,0,0,0,3.71357206670431,0,6.04263283368238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,1.79175946922805,0,0,0,3.76120011569356,1.09861228866811,0,0,0.693147180559945,2.19722457733622,0,0.693147180559945,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,4.38202663467388,0,0,0.693147180559945,0,0,0,5.00394630594546,0,0,0,0,3.04452243772342,0,4.4188406077966,7,17.6471
"2",0,0,0,0,0,0,0,0.693147180559945,1.6094379124341,3.43398720448515,1.09861228866811,0.693147180559945,0,0,0,4.26267987704132,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21950770517611,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,1.09861228866811,0,0,0,0,3.78418963391826,0,0,2.63905732961526,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,2.39789527279837,0,2.94443897916644,0,6.70304
"3",0,0,2.70805020110221,0.693147180559945,0,0,0,0,0,0,2.19722457733622,1.38629436111989,0,0,0,2.77258872223978,0.693147180559945,0.693147180559945,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1.6094379124341,0,0,0,1.38629436111989,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77258872223978,0,0,3.85014760171006,2.39789527279837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,2.484906649788,0,0,5.11198778835654,1.79175946922805,0,0,0,0,0,0,0,0,0,1.79175946922805,0,3.93182563272433,3,10.4982
"4",0.693147180559945,0,0.693147180559945,0,0,0,0,0,2.94443897916644,0,3.36729582998647,0,0,0,0,4.48863636973214,0,0,1.38629436111989,0,0.693147180559945,0,0,1.38629436111989,5.46806014113513,0,0,0,1.6094379124341,0.693147180559945,2.77258872223978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,4.55387689160054,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0,0,0,0,0,0,3.78418963391826,0,3.36729582998647,0,0,0,0,0,0,1.94591014905531,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,6.52649485957079,1.79175946922805,0,0,4.70048036579242,0.693147180559945,0,0,0,0,3.66356164612965,0,4.24849524204936,4,7.05208
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89037175789616,0,0.693147180559945,0,0,0,0,0,0,1.38629436111989,0,0.693147180559945,0.693147180559945,0,1.38629436111989,0,3.36729582998647,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,3.8286413964891,0,0,0,2.70805020110221,0,0,0,0.693147180559945,0,2.56494935746154,0,1.38629436111989,0,4.07501
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56494935746154,3.25809653802148,0,0,0.693147180559945,0,0,0,0,0,4.11087386417331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71357206670431,0,0,4.9416424226093,0,0,0,0,0.693147180559945,0,0,0,0,0,0,2.484906649788,0,0,0.693147180559945,0,0,0,0,2.30258509299405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40119738166216,0,0,0,0,3.2188758248682,0,0,0,1.94591014905531,1,2.2601
"7",0,0,0,0,0,0,0,0,0,0,1.79175946922805,0,0,0,0,2.484906649788,2.07944154167984,0,0,0,0,0,0,0.693147180559945,3.29583686600433,0,0,0,1.79175946922805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,5.80814248998044,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1.09861228866811,0,4.04305126783455,3,3.92315
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71357206670431,0,0,0,0,0,0,0.693147180559945,0,4.58496747867057,0,1.79175946922805,0,0,0,1.09861228866811,3.04452243772342,0,0,0,0,0,0,0,0,0,1.09861228866811,0,2.39789527279837,0,0,0,0,0,0,0,5.47646355193151,0,0,0,0,0.693147180559945,0,0,1.79175946922805,0,5.60947179518496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07944154167984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,1.6094379124341,3.95124371858143,1.6094379124341,0,1.94591014905531,4,8.58795
"9",0,1.38629436111989,0,0,4.85203026391962,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,4.84418708645859,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,9.08159749608346,1.6094379124341,0,1.09861228866811,0,4.47733681447821,0.693147180559945,0,2.19722457733622,0,0,0,0,0,0,0,0,0,2.77258872223978,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,0,2.83321334405622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74051935960622,20,27.6193
"10",0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,2.39789527279837,0,0,0,0,0,0,0,3.25809653802148,3.80666248977032,0,0,0,1.6094379124341,0,0,0,0,1.6094379124341,0,0,1.09861228866811,0,0,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,5.25227342804663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,3.63758615972639,0,0.693147180559945,4.26267987704132,0,0,0,0,0,0,3.66356164612965,1,3.2188758248682,5,12.3914
