file,V1,V2,V3,V4,V5,bug,loc,bf,hcm
org::eclipse::jdt::core::BindingKey,2.48490665,6.224558429,3.526360525,0,5.891644212,0,4.418840608,7,17.6471
org::eclipse::jdt::core::BufferChangedEvent,0,0.693147181,4.510859507,4.394449155,4.442651256,0,2.944438979,0,6.70304
org::eclipse::jdt::core::CheckDebugAttributes,0,0,3.044522438,2.833213344,5.669880923,0,3.931825633,3,10.4982
org::eclipse::jdt::core::ClasspathContainerInitializer,3.663561646,0,4.007333185,0,7.18690102,0,4.248495242,4,7.05208
org::eclipse::jdt::core::ClasspathVariableInitializer,1.098612289,1.386294361,3.135494216,0,4.727387819,0,1.386294361,0,4.07501
org::eclipse::jdt::core::compiler::batch::BatchCompiler,4.48863637,0,0,0,5.579729826,0,1.945910149,1,2.2601
org::eclipse::jdt::core::compiler::BuildContext,3.80666249,3.091042453,0.693147181,3.044522438,5.746203191,0,4.043051268,3,3.92315
org::eclipse::jdt::core::compiler::CategorizedProblem,5.590986981,0,4.204692619,2.079441542,6.042632834,0,1.945910149,4,8.58795
org::eclipse::jdt::core::compiler::CharOperation,0,6.470799504,4.394449155,7.671826798,8.750999691,0,6.74051936,20,27.6193
org::eclipse::jdt::core::compiler::CompilationParticipant,2.995732274,0,0,2.890371758,5.986452005,1,3.218875825,5,12.3914
org::eclipse::jdt::core::compiler::CompilationProgress,0,0,2.890371758,0,5.267858159,0,0,1,0
org::eclipse::jdt::core::compiler::InvalidInputException,3.433987204,0,2.708050201,1.098612289,1.098612289,0,1.386294361,1,7.82241
org::eclipse::jdt::core::compiler::ReconcileContext,3.135494216,3.218875825,4.86753445,2.772588722,6.196444128,0,3.80666249,4,7.99162
org::eclipse::jdt::core::CompletionContext,3.784189634,5.545177444,5.231108617,5.347107531,5.950642553,1,4.820281566,14,10.2625
org::eclipse::jdt::core::CompletionFlags,0,2.63905733,3.295836866,0,2.63905733,0,1.945910149,1,0
org::eclipse::jdt::core::CompletionProposal,3.401197382,7.956476798,8.108924156,3.912023005,5.393627546,1,5.85220248,19,20.2197
org::eclipse::jdt::core::CompletionRequestor,3.63758616,6.295266001,5.874930731,0,4.682131227,0,4.382026635,10,13.4356
org::eclipse::jdt::core::CompletionRequestorAdapter,1.098612289,5.65248918,3.871201011,0,0,0,3.761200116,0,5.07933
org::eclipse::jdt::core::CorrectionEngine,5.111987788,6.259581464,5.700443573,4.369447852,5.710427017,1,4.859812404,6,13.0232
org::eclipse::jdt::core::dom::AbstractTypeDeclaration,0,4.077537444,6.352629396,0,0,0,4.127134385,6,4.13346
org::eclipse::jdt::core::dom::Annotation,0,4.219507705,5.713732806,0,0,0,3.988984047,5,7.93371
org::eclipse::jdt::core::dom::AnnotationBinding,0,6.308098442,4.672828834,0,5.176149733,2,5.252273428,11,10.0587
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration,0,3.496507561,6.50578406,0,0,0,4.59511985,6,6.84846
org::eclipse::jdt::core::dom::AnnotationTypeMemberDeclaration,0,1.791759469,6.981934677,0,0,0,5.141663557,8,6.84846
org::eclipse::jdt::core::dom::AnonymousClassDeclaration,0,0,6.070737728,0,1.386294361,0,3.988984047,7,7.95479
org::eclipse::jdt::core::dom::ArrayAccess,0,0,6.43775165,1.098612289,0,0,4.700480366,8,7.95479
org::eclipse::jdt::core::dom::ArrayCreation,0,0.693147181,6.830874235,0,0,0,4.709530201,9,9.64599
org::eclipse::jdt::core::dom::ArrayInitializer,0,0,5.840641657,0,0,0,3.828641396,5,7.95479
org::eclipse::jdt::core::dom::ArrayType,0.693147181,3.33220451,6.278521424,0,0,0,4.477336814,9,7.95479
org::eclipse::jdt::core::dom::AssertStatement,0,0,6.380122537,0,0,0,4.59511985,8,7.95479
org::eclipse::jdt::core::dom::Assignment,0,0,7.049254841,0,0,0,4.890349128,9,7.95479
org::eclipse::jdt::core::dom::AST,4.762173935,6.056784013,8.781555459,5.998936562,6.993932975,0,6.690842277,66,24.6967
org::eclipse::jdt::core::dom::ASTConverter,5.347107531,8.932872622,8.762019954,8.892473968,0,1,7.574558484,196,37.2855
