"","V1","V2","V3","V4","V5","V6","V7","bug","loc","bf","hcm"
"1",0,0,6.13988455222626,5.09375020080676,5.52942908751142,3.29583686600433,2.07944154167984,0,4.4188406077966,7,17.6471
"2",3.68887945411394,0,0,4.17438726989564,0,4.43081679884331,4.24849524204936,0,2.94443897916644,0,6.70304
"3",3.55534806148941,0,0,3.17805383034795,4.93447393313069,1.09861228866811,4.85981240436167,0,3.93182563272433,3,10.4982
"4",3.17805383034795,3.29583686600433,0,4.39444915467244,0,0,7.15851399732932,0,4.24849524204936,4,7.05208
"5",0,0,1.09861228866811,3.13549421592915,0,0,4.75359019110636,0,1.38629436111989,0,4.07501
"6",0,0,1.38629436111989,3.91202300542815,5.37063802812766,2.83321334405622,4.26267987704132,0,1.94591014905531,1,2.2601
"7",3.29583686600433,1.38629436111989,0,1.94591014905531,5.45958551414416,0,4.86753445045558,0,4.04305126783455,3,3.92315
"8",3.2188758248682,3.95124371858143,0.693147180559945,4.44265125649032,5.48893772615669,0,5.88610403145016,0,1.94591014905531,4,8.58795
"9",0,7.35500192110526,1.38629436111989,6.31535800152233,1.09861228866811,8.79224584746788,6.18620862390049,0,6.74051935960622,20,27.6193
"10",0,2.484906649788,0.693147180559945,2.83321334405622,4.12713438504509,0,5.84354441703136,1,3.2188758248682,5,12.3914
"11",0,0,0,3.13549421592915,4.17438726989564,0,4.8283137373023,0,0,1,0
"12",0,0,0,2.77258872223978,3.40119738166216,1.6094379124341,0,0,1.38629436111989,1,7.82241
"13",0,0,1.79175946922805,5.12989871492307,4.90527477843843,0,5.92425579741453,0,3.80666248977032,4,7.99162
"14",3.93182563272433,5.48063892334199,5.03695260241363,5.37989735354046,0,5.05624580534831,5.57215403217776,1,4.82028156560504,14,10.2625
"15",2.07944154167984,2.07944154167984,0,3.52636052461616,1.79175946922805,0,0,0,1.94591014905531,1,0
"16",4.89783979995091,7.59588991771854,6.7990558620588,8.1146238864201,3.78418963391826,2.77258872223978,4.02535169073515,1,5.85220247977447,19,20.2197
"17",3.29583686600433,6.12905021006055,4.07753744390572,5.91620206260743,0,1.94591014905531,4.81218435537242,0,4.38202663467388,10,13.4356
"18",1.38629436111989,5.6937321388027,1.79175946922805,3.40119738166216,0,0,0,0,3.76120011569356,0,5.07933
"19",3.63758615972639,6.15485809401642,4.81218435537242,4.27666611901606,6.11368217983223,0,5.36597601502185,1,4.85981240436167,6,13.0232
"20",0,0.693147180559945,3.25809653802148,6.40687998606931,0,0,0,0,4.12713438504509,6,4.13346
"21",0,0,0.693147180559945,5.91079664404053,0,0,0,0,3.98898404656427,5,7.93371
"22",0,0,6.19236248947487,4.84418708645859,4.62497281328427,0.693147180559945,4.74493212836325,2,5.25227342804663,11,10.0587
"23",0,0.693147180559945,0,6.5510803350434,0,0,0,0,4.59511985013459,6,6.84846
"24",0,0,0,6.98656645940643,0,0,0,0,5.14166355650266,8,6.84846
"25",0,0,0,6.07764224334903,0,0,0,0,3.98898404656427,7,7.95479
"26",3.55534806148941,0,0.693147180559945,6.38012253689976,0,1.09861228866811,0,0,4.70048036579242,8,7.95479
"27",0,0,0.693147180559945,6.82546003625531,0,1.79175946922805,0,0,4.70953020131233,9,9.64599
"28",0,0,0,5.8406416573734,0,0,0,0,3.8286413964891,5,7.95479
"29",0.693147180559945,0,1.38629436111989,6.29710931993394,2.70805020110221,0,0,0,4.47733681447821,9,7.95479
"30",0,0,0,6.38012253689976,0,0,0,0,4.59511985013459,8,7.95479
"31",0,0,0,7.00669522683704,3.89182029811063,0,0,0,4.89034912822175,9,7.95479
"32",0,5.4510384535657,5.02388052084628,8.84404789894249,6.45990445437753,5.25749537202778,5.99645208861902,0,6.69084227741856,66,24.6967
"33",0,9.47570014542347,7.09506437728713,8.61902749729751,4.83628190695148,7.34277918933185,0,1,7.57455848420248,196,37.2855
"34",0,2.94443897916644,0,8.90408691393897,0,0,0,0,3.97029191355212,11,7.97103
"35",4.21950770517611,4.00733318523247,4.71849887129509,8.7662383802531,5.23644196282995,5.33271879326537,5.6970934865054,0,6.48920493132532,26,14.5995
"36",2.07944154167984,6.23441072571837,4.20469261939097,7.4759059693674,6.95463886488099,5.27811465923052,6.89669433162271,1,6.05678401322862,38,28.8029
"37",0,6.79234442747081,0,5.51745289646471,0,6.19031540585315,0,0,5.5683445037611,7,8.11626
"38",0,0,4.21950770517611,5.21493575760899,4.11087386417331,0,4.04305126783455,0,3.04452243772342,2,2.96868
"39",0,5.07517381523383,0,4.52178857704904,1.09861228866811,4.31748811353631,0,0,4.14313472639153,6,6.89725
"40",0,2.70805020110221,0,8.60300384782935,0,3.04452243772342,0,0,2.77258872223978,5,7.97103
"41",0,0,7.16626597413364,1.6094379124341,0,0.693147180559945,0,0,1.38629436111989,19,18.3087
"42",0,0,6.71295620067707,7.57095858316901,1.6094379124341,0,2.89037175789616,0,4.66343909411207,23,14.6512
"43",0,0,0,5.87211778947542,0,0,0,0,3.87120101090789,5,7.95479
"44",0,0,0,5.50125821054473,0,3.09104245335832,0,0,3.46573590279973,3,7.95479
"45",0,0,0,6.50578406012823,0,0,0,0,4.31748811353631,6,2.96868
"46",0,0,0,5.8348107370626,0,0,0,0,3.97029191355212,5,7.95479
"47",2.19722457733622,0,0,5.96357934361845,0,0,0,0,4.0943445622221,6,7.95479
"48",0,0,0,6.361302477573,0,0,0,0,4.67282883446191,8,7.95479
"49",0,0.693147180559945,0,6.40357419793482,0.693147180559945,0,0,0,4.68213122712422,8,7.95479
"50",0.693147180559945,0,0,6.31535800152233,4.71849887129509,5.36597601502185,0.693147180559945,1,5.39816270151775,9,14.7589
"51",2.39789527279837,0.693147180559945,0,5.44241771052179,0,0,0,0,2.70805020110221,1,6.70304
"52",0,1.38629436111989,1.79175946922805,5.605802066296,2.07944154167984,0,0,0,2.94443897916644,1,6.70304
"53",0,2.07944154167984,0,7.36833968631138,0,0,0,0,5.34233425196481,14,9.64335
"54",0,0,0,5.24174701505964,0,3.85014760171006,3.63758615972639,0,3.2188758248682,0,4.07501
"55",1.09861228866811,4.29045944114839,4.66343909411207,7.44424864949671,6.25958146406492,6.64509096950564,5.29330482472449,0,5.84354441703136,38,21.3966
"56",0,5.83188247728352,6.52649485957079,5.75257263882563,7.46336304552002,0,6.48004456192665,0,5.64544689764324,54,29.1299
"57",0,0,0,6.61472560020376,0,0,0,0,4.95582705760126,8,7.95479
"58",0,0,2.94443897916644,6.40687998606931,0.693147180559945,0,0,0,4.34380542185368,7,6.84846
"59",2.30258509299405,0,0,5.96100533962327,0,0,0,0,4.0943445622221,6,7.95479
"60",0,4.15888308335967,0.693147180559945,7.13409372119287,0,0,0,0,2.77258872223978,7,7.76307
"61",0,5.62040086571715,8.56712556016445,7.1785454837637,5.57972982598622,0,4.07753744390572,1,7.00940893270864,110,31.5924
"62",0,4.44265125649032,0,5.97635090929793,3.36729582998647,7.37023064180708,1.09861228866811,0,5.97635090929793,24,12.8915
"63",0,0,4.20469261939097,3.13549421592915,1.94591014905531,0,3.43398720448515,0,3.04452243772342,5,1.66466
"64",0,7.02642680869964,2.70805020110221,4.85981240436167,0,7.29437729928882,0,1,6.45990445437753,36,16.6898
"65",0,0,0.693147180559945,6.42162226780652,0,0,0,0,4.67282883446191,10,7.95479
"66",0,0,0,5.37989735354046,0,0,0,0,3.40119738166216,5,7.95479
"67",0,0,1.94591014905531,6.63331843328038,0,0.693147180559945,0,0,4.95582705760126,5,6.84846
"68",0,0,0,6.92853781816467,0,0,0,0,4.95582705760126,9,8.43242
"69",0,0,2.99573227355399,6.7202201551353,0,0,0,0,4.77912349311153,8,6.84846
"70",3.13549421592915,0,3.89182029811063,5.55295958492162,0,1.94591014905531,0,0,2.77258872223978,2,2.96868
"71",0,0,0,6.07764224334903,0,0,0,0,4.29045944114839,8,7.95479
"72",0,0,4.17438726989564,6.56807791141198,0,0,0,0,4.70048036579242,10,7.95479
"73",0,0,0.693147180559945,6.8596149036542,0,0,0,0,4.91998092582813,13,8.43242
"74",0,0.693147180559945,0,6.78219205600679,0,0,0,0,4.77068462446567,11,7.95479
"75",0,0,0,6.72262979485545,0,0,0,0,4.85981240436167,10,7.95479
"76",1.09861228866811,0,0.693147180559945,6.72982407048948,0,0,0,0,4.80402104473326,10,8.43242
"77",1.09861228866811,0,0,7.15070145759253,4.83628190695148,1.94591014905531,0,0,5.06890420222023,11,7.95479
"78",0,0,0,6.55250788703459,0,0,0,0,4.83628190695148,11,6.84846
"79",0,2.56494935746154,0,6.42648845745769,0,0,0,0,4.67282883446191,8,7.95479
"80",0,0,0,6.52795791762255,0,4.12713438504509,4.79579054559674,0,5.0998664278242,3,7.06348
"81",0,0,0,6.4085287910595,0,5.31811999384422,2.39789527279837,0,4.69134788222914,8,6.84846
"82",1.09861228866811,0,0,6.45676965557216,0,0,0,0,4.68213122712422,9,7.95479
"83",0,0,0,5.38449506278909,0,3.43398720448515,0.693147180559945,0,3.46573590279973,3,7.95479
"84",0.693147180559945,0,0,5.8664680569333,0,0,0,0,4.00733318523247,4,5.59671
"85",0.693147180559945,3.58351893845611,0,6.42971947803914,0,0,0,0,4.56434819146784,3,6.70304
"86",0,0,0,6.48157712927643,0,0,0.693147180559945,0,4.70048036579242,6,8.03932
"87",3.46573590279973,0,5.48893772615669,3.40119738166216,5.29330482472449,0,3.87120101090789,0,5.03043792139244,6,3.42644
"88",0,4.07753744390572,2.39789527279837,4.02535169073515,4.23410650459726,4.24849524204936,0.693147180559945,0,3.3322045101752,2,5.26021
"89",0,1.38629436111989,6.95463886488099,3.73766961828337,3.09104245335832,0,3.17805383034795,0,5.67332326717149,59,34.7321
"90",0,0,4.29045944114839,7.81318726752142,0,0,0,0,5.76832099579377,15,7.18067
"91",0,0,2.94443897916644,6.93147180559945,0,0,0,0,4.92725368515721,11,8.63149
"92",0,3.73766961828337,2.19722457733622,6.61204103483309,0,0,0,0,4.70048036579242,3,6.70304
"93",0,3.2188758248682,2.63905732961526,6.7719355558396,0,0.693147180559945,0,0,4.80402104473326,5,5.59671
"94",0,1.09861228866811,4.72738781871234,7.14440718032114,2.56494935746154,0,1.38629436111989,0,4.57471097850338,6,7.27499
"95",1.6094379124341,3.55534806148941,3.46573590279973,5.03695260241363,1.94591014905531,0,0,0,3.13549421592915,2,6.70304
"96",0,0,0,6.28785856016178,3.58351893845611,0,0,0,3.78418963391826,2,6.44569
"97",0.693147180559945,4.82028156560504,4.12713438504509,3.29583686600433,0,0,0,0,2.484906649788,1,4.07501
"98",0,0,1.38629436111989,6.21860011969173,0,0,0,0,4.21950770517611,4,5.59671
"99",0,0,0,5.37527840768417,0,0,0,0,3.46573590279973,5,7.95479
"100",0,2.83321334405622,0,5.83188247728352,0.693147180559945,5.2257466737132,0,0,4.58496747867057,7,10.8068
"101",0,0.693147180559945,6.07304453410041,3.58351893845611,3.13549421592915,0,5.05624580534831,0,5.04985600724954,18,19.5611
"102",0,0,0,6.74170069465205,0,0,2.39789527279837,0,4.87519732320115,11,9.21914
"103",0,0,4.4188406077966,6.24416690066374,0,0,0,0,4.48863636973214,6,6.78585
"104",0,0,0,6.0330862217988,0,0,0,0,4.27666611901606,8,7.95479
"105",0,0,0,6.54965074223381,1.79175946922805,0,0,0,4.57471097850338,8,7.95479
"106",0,0,0,6.60665018619822,2.77258872223978,2.89037175789616,0,0,4.58496747867057,8,7.95479
"107",0,0,0,6.4707995037826,3.29583686600433,0,0,0,4.0943445622221,7,7.95479
"108",0,2.70805020110221,0,6.46146817635372,0,0,0,0,4.70953020131233,14,6.36941
"109",1.09861228866811,2.39789527279837,0,6.51619307604296,0,0,0,0,4.68213122712422,6,6.78585
"110",0.693147180559945,4.11087386417331,7.07411681619736,5.68017260901707,3.36729582998647,0,4.77068462446567,0,5.99893656194668,10,7.87568
"111",0,4.14313472639153,4.70048036579242,3.46573590279973,0,0,0,0,4.47733681447821,4,2.38353
"112",0,0,0,5.97380961186926,0,0,0,0,4.11087386417331,6,7.95479
"113",0,2.07944154167984,0,7.63288550539513,4.14313472639153,5.37527840768417,5.83773044716594,1,5.64190707093811,13,22.3224
"114",2.484906649788,3.43398720448515,7.4265490723973,7.11395610956603,5.18178355029209,3.80666248977032,6.78784498230958,0,5.87773578177964,7,8.98775
"115",0,0,0,7.20563517641036,0,5.25749537202778,3.97029191355212,0,4.85981240436167,3,8.43424
"116",0,4.15888308335967,0,5.14166355650266,2.83321334405622,4.23410650459726,3.87120101090789,0,2.484906649788,2,5.76357
"117",0,4.82028156560504,0,6.34738920965601,1.94591014905531,4.29045944114839,0,0,4.8283137373023,13,10.6043
"118",0,0,0,5.30330490805908,2.30258509299405,0,0,0,2.70805020110221,1,6.70304
"119",0,0,0,6.09356977004514,0,0,1.09861228866811,0,4.29045944114839,9,7.95479
"120",0,0,0.693147180559945,6.28226674689601,0,0,0,0,4.47733681447821,5,5.59671
"121",0,0,2.19722457733622,7.39756153552405,0,0,0,0,5.55295958492162,13,6.84846
"122",0,0,0,5.38449506278909,1.79175946922805,5.66642668811243,0,0,3.89182029811063,7,4.07501
"123",0,1.38629436111989,1.94591014905531,6.41836493593621,4.40671924726425,4.969813299576,0,1,5.11799381241676,10,11.4275
"124",0,0,0,5.65599181081985,3.61091791264422,0,0,0,3.80666248977032,1,6.70304
"125",0,0,0,6.70563909486,0,1.09861228866811,0,0,4.62497281328427,8,6.84846
"126",0,0,3.73766961828337,6.4281052726846,0,0,0,0,4.57471097850338,10,7.95479
"127",0,0,3.04452243772342,6.93049476595163,0,0,0,0,4.91998092582813,11,8.63149
"128",0,0,0,6.14846829591765,0,0,0,0,4.33073334028633,9,7.95479
"129",0,0,0,6.3297209055227,0,0,0,0,4.46590811865458,9,9.21692
"130",0,0,0,6.3456363608286,0,0,0,0,4.67282883446191,8,7.95479
"131",0,0,2.99573227355399,6.68959926917897,3.85014760171006,5.45958551414416,2.19722457733622,0,4.26267987704132,9,7.95479
"132",0,0,0,5.91079664404053,0,3.98898404656427,0,0,4.15888308335967,5,10.4485
"133",0,1.79175946922805,0,5.99893656194668,0,0,0,0,4.0943445622221,8,7.95479
"134",0,0,0,6.00881318544259,0,0,0,0,4.29045944114839,8,7.95479
"135",0,0,0.693147180559945,6.48004456192665,0,0,0,0,4.69134788222914,8,7.95479
"136",0,0,4.43081679884331,5.67675380226828,0,0,0,0,3.2188758248682,2,2.96868
"137",2.30258509299405,0,8.06369263426952,4.20469261939097,3.95124371858143,0,5.68017260901707,1,6.8596149036542,89,33.5493
"138",0,0.693147180559945,5.64544689764324,7.568895663407,0,0,0,0,5.71702770140622,18,10.2923
"139",2.63905732961526,0,3.46573590279973,6.74641212857337,0,0,0,0,4.82028156560504,12,9.21914
