"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","insert","binding","declaration","signature","node","scope","t","stack","project","pattern"
"2","formatter","type","source","type","property","expression","offset","token","path","match"
"3","space","reference","problem","buffer","code","stream","constant","ptr","model","search"
"4","option","scope","end","parameter","child","flow","table","contents","java","element"
"5","line","completion","compiler","name","list","binding","pool","scanner","classpath","unit"
"6","pc","method","string","info","ast","code","value","position","root","ijava"
"7","before","proposal","options","append","astnode","type","attribute","identifier","entry","li"
"8","alignment","field","method","range","visit","scribe","index","consume","element","requestor"
"9","core","ref","type","annotations","p","compiler","file","current","delta","itype"
"10","opening","node","iproblem","string","li","block","stream","comment","ijava","monitor"
"11","comma","methods","start","f","expression","label","number","line","container","simple"
"12","code","match","reference","length","b","constant","undefined","start","core","type"
"13","lines","receiver","compilation","flags","descriptor","field","key","end","resource","working"
"14","see","enclosing","unit","start","event","info","right","length","file","key"
"15","indent","problem","ast","names","declared","operator","left","text","manager","compilation"
"16","paren","arguments","decl","method","statement","generate","entry","frame","status","name"
"17","brace","relevance","field","field","method","statement","stack","offset","fragment","suffix"
"18","java","declaring","report","annotation","declaration","internal","contents","parser","folder","index"
"19","visitor","types","annotation","array","omit","ast","locals","push","ipath","names"
"20","options","interfaces","modifiers","c","descriptors","cast","bytes","index","string","hierarchy"
