"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","scope","stream","completion","declaration","field","element","token","binding","compiler","t","node","insert","buffer","project","pattern"
"2","binding","pc","type","stack","method","type","scanner","type","options","table","property","contents","append","path","search"
"3","type","offset","proposal","ptr","annotations","unit","position","reference","problem","value","code","formatter","string","entry","match"
"4","flow","code","reference","expression","local","info","end","method","scribe","key","child","space","line","java","li"
"5","context","constant","node","ast","bits","model","start","interfaces","token","undefined","list","offset","f","classpath","name"
"6","problem","pool","match","consume","acc","requestor","node","wildcard","print","constant","ast","before","nls","root","left"
"7","expression","label","method","identifier","annotation","java","tag","bound","preferences","println","p","option","non","model","index"
"8","block","file","name","type","info","working","current","bindings","problems","size","astnode","frame","comment","delta","rule"
"9","field","entry","ref","end","tag","itype","line","methods","terminal","debug","expression","core","option","element","right"
"10","reference","info","binding","start","methods","name","unicode","parameterized","tokens","nls","li","local","code","resource","names"
"11","code","write","iproblem","source","extra","ijava","edit","variable","file","out","visit","attribute","range","container","suffix"
"12","receiver","generate","field","statement","synthetic","signature","pos","inherited","scope","system","declaration","opening","text","core","simple"
"13","cast","index","relevance","parser","file","compilation","c","types","compilation","index","type","alignment","javadoc","ijava","link"
"14","compiler","attribute","pattern","token","bit","core","event","environment","warning","object","method","stack","document","manager","pre"
"15","visit","value","source","reference","modifiers","monitor","text","lookup","error","lang","descriptor","number","attribute","file","p"
"16","conversion","stack","locator","element","null","fragment","rewrite","compiler","message","non","statement","code","indentation","ipath","value"
"17","current","bytes","arguments","scanner","fields","copy","data","generic","line","length","b","line","separator","folder","param"
"18","reporter","visitor","parameter","push","length","types","character","original","put","current","declared","comma","report","iresource","b"
"19","output","read","qualified","annotation","count","exception","comment","superclass","version","string","omit","paren","formatter","fragment","document"
"20","implicit","bytecode","token","recovery","inits","hierarchy","ptr","arguments","internal","right","javadoc","verification","html","status","array"
