"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","property","insert","offset","completion","ptr","node","type","scope","position","binding","expression","options","binding","element","declaration","code","line","project","value","search"
"2","child","formatter","contents","type","stack","visit","method","stream","token","type","token","compiler","t","model","type","buffer","comment","path","right","pattern"
"3","list","space","pool","proposal","consume","code","signature","flow","unicode","scope","scope","problem","type","java","source","f","tag","entry","constant","match"
"4","ast","before","attribute","match","identifier","p","string","code","current","field","ast","option","table","root","element","range","text","classpath","left","li"
"5","astnode","option","constant","reference","token","nothing","name","info","rewrite","reference","scribe","file","undefined","ijava","annotation","append","pc","container","key","name"
"6","node","alignment","stack","pattern","scanner","ast","parameter","generate","c","problem","declaration","string","wildcard","info","unit","flags","buffer","java","t","index"
"7","expression","core","local","node","expression","implementation","parameters","label","pos","method","tokens","unit","lang","delta","ast","li","append","code","table","type"
"8","descriptor","opening","info","name","parser","param","declaring","context","data","enclosing","operator","report","ids","project","compilation","document","visitor","core","size","names"
"9","type","line","file","ref","push","children","types","local","character","receiver","statement","problems","lookup","resource","modifiers","p","string","ipath","index","suffix"
"10","method","comma","frame","binding","position","given","iproblem","constant","edit","bits","compiler","compilation","bindings","fragment","member","string","javadoc","iclasspath","object","requestor"
"11","b","paren","number","relevance","end","match","source","type","event","tag","terminal","nls","resolver","file","field","contents","scanner","dt","current","b"
"12","declared","java","pc","qualified","length","object","arguments","conversion","bit","methods","type","error","bound","path","initializer","see","offset","dd","string","rule"
"13","omit","declaration","index","locator","start","type","readable","output","group","synthetic","reference","put","compiler","core","end","tab","see","manager","element","pre"
"14","descriptors","brace","stream","set","reference","dom","argument","expression","index","reporter","start","warning","java","working","info","signature","start","model","length","given"
"15","code","pre","locals","names","recovery","subclasses","length","block","next","declaring","internal","non","itype","status","method","separator","iopcode","id","values","array"
"16","li","code","entry","scope","completion","nodes","inherited","implicit","curr","resolved","print","version","object","name","start","s","mnemonics","output","cache","ijava"
"17","structural","constants","code","requestor","assist","statement","superclass","required","source","invocation","block","source","parameterized","monitor","body","returns","indent","patterns","threshold","result"
"18","javadoc","closing","bytes","token","tokens","subtree","interfaces","current","start","acc","literal","unused","cast","itype","recovered","name","token","location","hashtable","simple"
"19","statement","indent","item","declaration","k","event","append","inits","scanner","types","name","files","variable","elements","parser","param","ibytecode","folder","elements","prefix"
"20","api","lines","verification","level","system","end","start","compiler","extra","found","preferences","map","key","children","decl","kind","indentation","option","hash","link"
