"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1","nls","method","pc","pattern","completion","token","node","name","signature","insert","node","tag","option","binding","property","binding","file","code","ptr","contents","line","project","t","element","scope"
"2","non","type","pool","match","proposal","position","visit","names","type","formatter","range","bits","compiler","scope","child","type","string","p","stack","offset","token","path","value","model","stream"
"3","value","binding","offset","search","type","current","expression","type","length","space","f","bit","problem","type","list","reference","options","li","declaration","attribute","comment","entry","table","info","code"
"4","append","methods","constant","li","scope","unicode","ast","length","buffer","before","event","extra","unit","field","node","parameterized","path","param","expression","local","text","classpath","right","ijava","flow"
"5","annotation","source","file","locator","binding","scanner","declaration","field","array","option","rewrite","null","options","receiver","ast","lookup","files","given","consume","info","scribe","root","left","java","label"
"6","string","parameters","entry","rule","relevance","c","statement","annotations","parameter","core","document","inits","compilation","problem","astnode","compiler","nls","link","identifier","frame","scanner","java","constant","monitor","info"
"7","javadoc","constructor","stream","level","ref","data","type","qualified","c","opening","edit","local","dt","reference","expression","scope","compiler","returns","end","stack","print","delta","key","working","generate"
"8","report","string","index","matching","reference","index","end","simple","append","alignment","pos","length","dd","expression","descriptor","environment","classpath","match","type","number","preferences","model","undefined","unit","block"
"9","pair","declaring","write","r","token","character","modifier","suffix","bound","java","group","info","id","bits","method","bindings","build","object","start","verification","tokens","container","object","itype","output"
"10","see","problem","stack","matches","name","start","nothing","annotation","key","comma","offset","flow","problems","local","b","resolve","non","ul","length","item","terminal","resource","index","core","current"
"11","buffer","field","visitor","ijava","method","next","compiler","java","wildcard","paren","buffer","tags","code","compiler","type","wildcard","zip","whether","reference","pool","position","element","string","requestor","context"
"12","operator","iproblem","bytes","element","signature","tokens","literal","answer","start","brace","dom","param","warning","synthetic","declared","internal","out","flags","ast","locals","space","ipath","current","copy","expression"
"13","accept","inherited","names","name","requestor","source","astnode","binary","string","declaration","curr","size","result","cast","omit","null","system","subtree","source","index","lines","ijava","size","type","required"
"14","behavior","types","b","simple","receiver","identifier","internal","requestor","name","code","start","vector","source","constant","descriptors","resolved","put","o","element","length","indentation","core","length","fragment","visitor"
"15","member","readable","code","qualification","field","ptr","nodes","parameter","interfaces","line","body","reference","error","enclosing","structural","arguments","bind","method","parser","items","start","manager","element","elements","true"
"16","literal","modifiers","position","length","set","end","set","results","exception","pre","parent","b","units","lookup","code","resolver","writer","imports","scanner","constant","alignment","iresource","hashtable","parent","constant"
"17","nothing","reference","bytecode","node","qualified","repair","convert","prefix","method","closing","end","j","enabled","conversion","javadoc","variable","source","subclasses","push","code","format","iclasspath","id","hierarchy","false"
"18","pairs","decl","iopcode","participant","names","invalid","qualified","operation","argument","constants","position","nb","dl","variable","li","unit","reader","implementation","statement","binding","number","folder","lang","root","statement"
"19","core","name","mnemonics","sensitive","node","stack","implementation","types","generic","options","children","javadoc","map","access","api","qualified","print","safe","token","annotations","indent","status","threshold","owner","optimized"
"20","operand","acc","read","enclosing","context","line","reference","core","sig","id","next","index","variable","reporter","statement","compound","message","creates","position","method","next","fragment","hash","handle","type"
