"","V1","V2","V3"
"1","binding","property","project"
"2","type","node","insert"
"3","field","expression","path"
"4","scope","stack","java"
"5","reference","constant","model"
"6","method","ast","formatter"
"7","completion","ptr","option"
"8","types","offset","core"
"9","problem","contents","root"
"10","declaring","t","entry"
"11","methods","statement","classpath"
"12","signature","pc","ijava"
"13","proposal","position","space"
"14","bits","value","resource"
"15","enclosing","code","options"
"16","flow","token","element"
"17","name","astnode","container"
"18","receiver","line","monitor"
"19","parameter","child","delta"
"20","context","pool","string"
