"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","type","name","code","buffer","match","binding","ptr","code","bit","source","signature","append","flow","value","binding","declaration","binding","property","t","file","status","range","insert","offset","line","project","completion","element","element","scope"
"2","declaration","type","option","index","pattern","type","stack","node","extra","method","array","output","info","node","type","expression","field","child","table","println","string","f","space","contents","comment","path","proposal","info","ijava","stream"
"3","node","names","options","names","search","method","token","p","options","type","c","buffer","label","right","scope","ast","type","list","key","out","java","node","formatter","pool","tag","entry","relevance","assist","model","code"
"4","visit","parameter","compiler","string","node","wildcard","identifier","li","compiler","string","start","problem","stream","left","tag","type","local","expression","undefined","unit","file","unit","before","attribute","pc","root","delta","annotation","monitor","type"
"5","modifiers","field","dt","write","locator","reference","consume","visit","tag","iproblem","name","nls","context","constant","bits","statement","synthetic","astnode","value","system","core","ast","option","constant","text","classpath","token","k","search","expression"
"6","jls","requestor","dd","append","level","bound","position","nothing","warning","name","li","print","inits","event","reference","end","depth","ast","object","debug","model","code","scribe","stack","visitor","java","scope","completion","type","generate"
"7","property","declaration","id","nls","rule","parameterized","scanner","link","nls","readable","string","non","local","rewrite","method","reference","ids","descriptor","index","compilation","exception","compilation","alignment","local","scanner","container","set","method","java","flow"
"8","accept","method","report","info","matching","interfaces","current","param","put","javadoc","length","node","code","edit","methods","start","access","method","size","source","marker","source","core","frame","start","model","repair","pair","working","constant"
"9","variable","qualified","core","bytecode","matches","inherited","push","implementation","path","problem","index","completion","variable","pos","missing","source","lang","omit","length","name","messages","document","opening","number","iopcode","resource","elements","value","itype","cast"
"10","list","signature","p","file","set","declaring","unicode","given","vector","constructor","type","compiler","statement","group","modifiers","block","scope","node","current","binary","fragment","body","line","info","javadoc","element","buffer","annotations","requestor","block"
"11","ast","imports","map","stream","reference","methods","start","subclasses","string","ref","buffer","internal","state","curr","problem","compiler","declaring","descriptors","lang","length","org","declaration","comma","pc","indentation","manager","offset","elements","unit","value"
"12","dom","types","problem","non","qualification","lookup","parser","flags","arg","end","b","snippet","branch","property","enclosing","name","b","declared","string","result","eclipse","child","java","index","mnemonics","delta","flags","cache","core","implicit"
"13","code","accept","nls","read","element","compiler","source","ul","non","arguments","pre","indent","init","text","length","annotation","receiver","structural","hashtable","environment","message","parent","paren","file","ibytecode","ipath","top","size","copy","required"
"14","javadoc","length","value","tab","r","bindings","index","end","version","binding","param","reference","definitely","string","original","node","constant","b","hash","build","code","contents","declaration","code","position","core","kind","inside","hierarchy","conversion"
"15","dimensions","source","unused","document","simple","variable","end","returns","nb","start","character","scope","null","offset","acc","token","position","statement","threshold","files","istatus","element","brace","locals","buffer","folder","compute","length","name","current"
"16","arguments","start","string","entry","o","arguments","data","modifier","logger","field","end","problems","merged","t","types","field","problem","li","element","units","name","set","preferences","entry","end","fragment","element","kind","handle","label"
"17","method","range","non","jem","ijava","generic","c","ast","writer","argument","result","string","unconditional","children","fields","recovered","variable","javadoc","nls","type","resource","dom","pre","verification","lines","iresource","position","pairs","owner","visitor"
"18","modifier","find","variable","category","type","length","tokens","reimplement","count","reference","given","javadoc","condition","visit","context","tokens","enclosing","code","values","problem","util","param","closing","item","offset","ijava","receiver","known","fragment","compiler"
"19","astvisitor","operation","dl","cache","ref","name","character","true","equals","decl","append","evaluation","count","astnode","environment","initializer","reference","set","java","builder","read","illegal","print","opcodes","token","iclasspath","symbol","job","parent","left"
"20","api","modifiers","enabled","memento","impossible","resolved","recovery","specific","na","parameters","first","context","index","id","constants","body","arg","pre","non","nls","imarker","position","constants","opc","html","resources","operation","current","types","visit"
