"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1","property","pool","code","offset","code","string","match","type","stream","node","method","flow","signature","unit","completion","text","option","declaration","scribe","binding","insert","token","expression","file","name","stack","line","buffer","scope","pc","project","t","element","type","binding"
"2","list","file","p","contents","li","source","pattern","binding","code","visit","binding","info","c","problem","proposal","comment","tag","start","token","scope","formatter","current","statement","path","names","ptr","indentation","append","reference","dt","path","value","info","name","type"
"3","child","offset","param","attribute","p","iproblem","search","wildcard","scope","code","methods","context","array","compilation","relevance","edit","options","source","tokens","type","space","position","ast","model","simple","consume","formatter","f","type","dd","entry","table","ijava","names","compiler"
"4","astnode","stack","given","pool","link","method","locator","bound","label","p","type","inits","start","compiler","scope","node","compiler","end","terminal","field","before","scanner","operator","java","qualified","identifier","lines","range","output","visitor","classpath","key","working","itype","internal"
"5","descriptor","position","link","info","ul","name","level","parameterized","generate","implementation","parameters","local","li","source","token","event","report","type","print","problem","option","start","type","status","set","parser","column","string","ref","iopcode","delta","constant","monitor","types","reference"
"6","expression","arg","imports","local","ast","type","node","original","value","nothing","annotation","bit","result","problems","type","rewrite","value","ast","preferences","receiver","core","unicode","nls","string","access","end","format","nls","block","mnemonics","container","undefined","model","key","lookup"
"7","node","b","core","constant","child","readable","reference","generic","constant","end","modifiers","extra","pre","file","set","offset","id","compiler","scope","reference","opening","index","println","root","type","element","flags","attribute","javadoc","ibytecode","java","right","unit","hierarchy","bindings"
"8","method","t","returns","frame","node","end","type","reference","left","subclasses","declaring","scope","b","result","name","line","nls","annotation","expression","enclosing","java","next","debug","resource","answer","length","code","line","qualified","bytecode","root","left","java","parameter","resolver"
"9","omit","depth","options","stack","param","start","rule","variables","required","subtree","bits","null","length","options","binding","pos","non","field","next","local","alignment","data","out","core","length","scanner","indent","flags","visit","names","ipath","object","copy","suffix","declaration"
"10","javadoc","lang","compilation","index","returns","arguments","matching","environment","current","false","interfaces","variable","end","environment","signature","range","tags","internal","alignment","cast","paren","line","non","fragment","binary","push","html","document","end","values","folder","size","requestor","binary","resolve"
"11","declared","pc","unit","number","unparented","problem","matches","variable","right","object","length","index","index","units","ref","group","javadoc","modifiers","compiler","synthetic","comma","character","declaration","classpath","fragments","reference","alignment","non","internal","see","iclasspath","index","owner","accept","node"
"12","ast","nls","string","file","creates","constructor","r","enclosing","flow","statement","types","statement","pattern","files","receiver","curr","warning","initializer","space","compiler","line","c","compilation","jar","fragment","token","region","separator","arguments","dl","model","string","search","requestor","ast"
"13","descriptors","count","level","bytes","declaration","declaring","set","arguments","implicit","children","fields","definitely","name","snippet","requestor","start","string","set","parens","current","code","end","literal","element","last","assist","tab","contents","visitor","opcode","manager","element","elements","length","variable"
"14","b","binding","source","verification","given","binding","simple","raw","conversion","param","inherited","bits","param","requestor","field","astnode","put","name","declaration","reporter","pre","source","right","zip","list","recovery","jem","name","expression","category","element","current","buffer","prefix","itype"
"15","type","stream","java","item","illegal","handle","element","length","false","declaration","annotations","unconditional","character","count","names","end","problem","member","number","bits","declaration","invalid","operand","exception","demand","k","width","tab","compiler","string","resource","values","document","java","null"
"16","structural","constant","argument","locals","none","javadoc","ijava","compound","true","accept","acc","vector","given","internal","qualified","scanner","unused","decl","parenthesized","access","brace","ptr","keyword","util","l","source","level","parameter","single","buffer","ijava","hashtable","core","core","key"
"17","api","println","variable","code","parent","parameter","qualification","name","type","true","tag","b","string","context","compute","list","version","range","block","invocation","constants","identifier","wildcard","ijava","string","position","string","see","param","write","iresource","length","parent","ibinary","core"
"18","result","opcodes","exception","read","created","severity","ref","signature","optimized","o","field","nb","second","build","reference","prefix","map","body","internal","outer","closing","input","cast","elements","file","start","block","annotations","resolve","append","core","threshold","compilation","index","bugs"
"19","statement","out","added","entry","type","location","declaring","types","pc","astvisitor","reference","condition","pos","categorized","offset","nodes","missing","convert","statement","resolved","options","tokens","unit","name","locations","system","modifier","disassembler","print","behavior","location","hash","icompilation","simple","method"
"20","body","opc","context","items","flags","parameters","name","interfaces","t","given","selector","assigned","buffer","evaluation","missing","position","equals","method","traverse","declaring","id","previous","array","pkg","size","block","snippet","body","nothing","line","output","elements","handle","count","qualified"
